player,player_index,skill,rating,player_influence_signed,player_influence_abs,fitted_row_count,player_influence_joint_newton,player_influence_joint_newton_abs,player_influence_two_step,player_influence_two_step_abs,degree,bridge_var,closeness,surprise,influence
mixtral-8x7b-instruct-v0.1,5,-0.7896928935688085,1114.0,-0.0003235921714611602,0.04716119812275881,7090,-0.018842237138282147,0.018842237138282147,-0.018842237138282147,0.018842237138282147,3545,0.12665720440985662,0.26232037576707234,0.4847626504593678,0.04716119812275881
gpt-3.5-turbo-0125,43,-0.9192870684501169,1091.4871859848972,0.00045078606931299984,0.019388166218696292,1722,-0.016705667831321325,0.016705667831321325,-0.016705667831321325,0.016705667831321325,861,0.15443519435779576,0.31679977985536184,0.47817796983184674,0.019388166218696292
gpt-4-0314,7,-0.4060459441336025,1180.6463012554905,-0.0015846594551078323,0.04330092910668048,8244,-0.015363175617620128,0.015363175617620128,-0.015363175617620128,0.015363175617620128,4122,0.4097180281482591,0.6749276141238683,0.42835992730546363,0.04330092910668048
claude-instant-1,16,-0.8421359606599612,1104.8897061392922,-0.0010566762373124582,0.04805797535031122,8272,-0.014996571572171824,0.014996571572171824,-0.014996571572171824,0.014996571572171824,4136,0.20065898233905316,0.3233587713475101,0.4732173046663596,0.04805797535031122
llama-2-70b-chat,30,-0.8652892555388267,1100.8675668577841,-0.0002843346048768615,0.04593999254014749,6856,-0.0142567503572536,0.0142567503572536,-0.0142567503572536,0.0142567503572536,3428,0.08620302122050026,0.25130753408445966,0.4882692388726514,0.04593999254014749
vicuna-13b,4,-1.267167707434382,1031.0541292361597,-0.0021127258634719604,0.06022261332726791,6896,-0.013231409593797094,0.013231409593797094,-0.013231409593797094,0.013231409593797094,3448,0.41165055108557386,0.525322847145408,0.45146610534799003,0.06022261332726791
mistral-medium,48,-0.5828316220593313,1149.9354834944224,0.001045620377036628,0.030454948623278986,6630,-0.013165020605357847,0.013165020605357847,-0.013165020605357847,0.013165020605357847,3315,0.16973706498172006,0.3865244992526956,0.4768893817111479,0.030454948623278986
gpt-4-0613,24,-0.5222676671748594,1160.4565200578481,-0.0016870278529726196,0.059182509948325315,12330,-0.01304725662576367,0.01304725662576367,-0.01304725662576367,0.01304725662576367,6165,0.1910359880746173,0.411260354927477,0.4737282004681938,0.059182509948325315
claude-2.0,18,-0.7170777731647637,1126.6145384376869,7.822475965699714e-05,0.03353457165927463,4912,-0.01278582419024099,0.01278582419024099,-0.01278582419024099,0.01278582419024099,2456,0.22202669974313788,0.38492933629246795,0.472457139287863,0.03353457165927463
tulu-2-dpo-70b,53,-0.9676735669098459,1083.081590273025,-0.0003523260607656342,0.013535173779038736,2400,-0.012592399738676208,0.012592399738676208,-0.012592399738676208,0.012592399738676208,1200,0.09052197236179609,0.2210623427643,0.49014339643443633,0.013535173779038736
wizardlm-70b,25,-0.8641117644801761,1101.072118005489,-0.00023976434326134855,0.019418621467877074,3288,-0.012504998146484758,0.012504998146484758,-0.012504998146484758,0.012504998146484758,1644,0.11409829560347243,0.23171431524453504,0.4856112725399248,0.019418621467877074
yi-34b-chat,38,-0.8113900188456443,1110.2308232876426,-2.1457240581228392e-05,0.036687326232470514,2894,-0.01221395014632265,0.01221395014632265,-0.01221395014632265,0.01221395014632265,1447,0.1323861960923062,0.25193967634059955,0.4818905372400002,0.036687326232470514
openchat-3.5-0106,63,-1.2630815967827005,1031.7639593595482,-0.00017667329187302384,0.035165014534860366,488,-0.012057435940955874,0.012057435940955874,-0.012057435940955874,0.012057435940955874,244,0.10139014538521401,0.4482153563431109,0.4645173996491897,0.035165014534860366
chatglm2-6b,28,-2.0114962224328954,901.7510225213211,-0.0005142043778808344,0.010955651274882154,1128,-0.012004342675491109,0.012004342675491109,-0.012004342675491109,0.012004342675491109,564,0.1244290506986589,0.9605424879561395,0.3972245013201755,0.010955651274882154
palm-2,32,-1.3784782635504726,1011.7175051166395,-0.0008516301289916669,0.028125294070372897,3954,-0.011856787944357183,0.011856787944357183,-0.011856787944357183,0.011856787944357183,1977,0.3027450613087985,0.48884823778527564,0.46030981443453445,0.028125294070372897
qwen-14b-chat,40,-1.4169737164000438,1005.0301600162653,-0.0002543817107462744,0.01658893555233778,2144,-0.011498424991008172,0.011498424991008172,-0.011498424991008172,0.011498424991008172,1072,0.18014239015076258,0.46491276114939417,0.4630261581613741,0.01658893555233778
vicuna-7b,8,-1.5424709995132417,983.2290489963004,-0.0007181606474092948,0.02157712066581018,3182,-0.011394973064177916,0.011394973064177916,-0.011394973064177916,0.011394973064177916,1591,0.3167231690095168,0.5625152091988889,0.45669978331755323,0.02157712066581018
gpt-4-1106-preview,0,0.0,1251.1837064300582,-0.0002867115949569359,0.05288378082470704,14774,-0.011373638850227685,0.011373638850227685,-0.011373638850227685,0.011373638850227685,7387,0.0746049862636786,0.8074243297345685,0.4229640957515118,0.05288378082470704
llama-2-7b-chat,23,-1.189002566050928,1044.6328050681682,0.0005040488847553959,0.035224640858098184,3586,-0.01130174123512473,0.01130174123512473,-0.01130174123512473,0.01130174123512473,1793,0.14467678548406807,0.27573426094653314,0.48817645148474054,0.035224640858098184
nous-hermes-2-mixtral-8x7b-dpo,49,-0.9228846308811643,1090.8622253800545,-7.860438580017976e-05,0.015373029884085287,650,-0.011248733784455234,0.011248733784455234,-0.011248733784455234,0.011248733784455234,325,0.14634999912824156,0.30196253660957895,0.4763668097914323,0.015373029884085287
oasst-pythia-12b,39,-2.206868035317854,867.8114624191724,-0.0007721046152335057,0.013605054553650292,2988,-0.011203971465721052,0.011203971465721052,-0.011203971465721052,0.011203971465721052,1494,0.44802542847204535,0.7653192207596105,0.41462515562636204,0.013605054553650292
gpt-3.5-turbo-0613,2,-0.8419585855273,1104.9205193558287,0.000568247057498175,0.08061147952493491,14166,-0.010933456086605675,0.010933456086605675,-0.010933456086605675,0.010933456086605675,7083,0.15489797245222253,0.2880129661711059,0.4808601612229501,0.08061147952493491
stripedhyena-nous-7b,59,-1.2178365938202678,1039.6238214076607,-0.0008941522911569926,0.022574377085857626,1828,-0.010848096257689344,0.010848096257689344,-0.010848096257689344,0.010848096257689344,914,0.15101885464123752,0.3952455073686633,0.46870339550178514,0.022574377085857626
pplx-70b-online,10,-0.9937880495686457,1078.5450399864349,-0.00046625880498484305,0.018990306335858395,2840,-0.010843446920903665,0.010843446920903665,-0.010843446920903665,0.010843446920903665,1420,0.09344815154406887,0.24800752727116473,0.4876885464790897,0.018990306335858395
zephyr-7b-beta,50,-1.1894947299931573,1044.5473074344475,0.0003961135407905412,0.0287272754393485,4802,-0.01081039745948531,0.01081039745948531,-0.01081039745948531,0.01081039745948531,2401,0.10223804997020823,0.2590207322805056,0.487311995461083,0.0287272754393485
wizardlm-13b,33,-1.0489704195483633,1068.958880474221,0.0016518618208156593,0.02297243787885024,3160,-0.010737977885964534,0.010737977885964534,-0.010737977885964534,0.010737977885964534,1580,0.25079821436925914,0.39844454243794886,0.4734998744307545,0.02297243787885024
fastchat-t5-3b,46,-2.2736298993658917,856.2137387561172,-0.0005873441960917669,0.008249038867786041,2042,-0.01055843181477023,0.01055843181477023,-0.01055843181477023,0.01055843181477023,1021,0.4686650195681305,0.825792879461623,0.3972716469156537,0.008249038867786041
koala-13b,1,-1.5833952226182173,976.1197832880331,-0.00028284060754679653,0.021363650899246755,3196,-0.010522114567399155,0.010522114567399155,-0.010522114567399155,0.010522114567399155,1598,0.46825546164545523,0.6183686898807049,0.44733744495688366,0.021363650899246755
dolly-v2-12b,17,-2.5509091682168794,808.0453961928563,-0.0006101025037627965,0.006372222122901766,1600,-0.010474211230234842,0.010474211230234842,-0.010474211230234842,0.010474211230234842,800,0.45467154812595234,0.8816432358139668,0.3910615259596536,0.006372222122901766
gpt-4-0125-preview,22,-0.014447562074605678,1248.673907835676,-0.000539735138477262,0.015079079427630884,2320,-0.010422292483929119,0.010422292483929119,-0.010422292483929119,0.010422292483929119,1160,0.12475370402471998,0.7187551140339014,0.4352586862124709,0.015079079427630884
mpt-7b-chat,54,-1.9614393048633727,910.446799753933,0.00018825223351612,0.018164761324758943,1856,-0.010350464883119859,0.010350464883119859,-0.010350464883119859,0.010350464883119859,928,0.39888282675478226,0.6831156508846897,0.42516119407212744,0.018164761324758943
mistral-7b-instruct,52,-1.4323359033898553,1002.3614748004088,0.00052831477179482,0.030420384911108565,3234,-0.010334141064789248,0.010334141064789248,-0.010334141064789248,0.010334141064789248,1617,0.0986123586250608,0.4178092401338195,0.47351378231591573,0.030420384911108565
gpt4all-13b-snoozy,60,-1.835600049059309,932.3073175149398,1.089706417642475e-05,0.005458478759568253,816,-0.010322880941868395,0.010322880941868395,-0.010322880941868395,0.010322880941868395,408,0.32211132176785584,0.6423321821402205,0.44613423766279836,0.005458478759568253
chatglm3-6b,9,-1.7407560846750063,948.7834016645122,0.0001817084906471913,0.010883671811408814,1978,-0.010256276382294871,0.010256276382294871,-0.010256276382294871,0.010256276382294871,989,0.2036730088890188,0.867343272912202,0.4096299565896441,0.010883671811408814
pplx-7b-online,44,-1.3181965830099853,1022.1895056040748,1.021914989924569e-05,0.022822843538891417,2500,-0.010082000160664961,0.010082000160664961,-0.010082000160664961,0.010082000160664961,1250,0.09747883032593149,0.5058380685166914,0.46357303306287667,0.022822843538891417
llama-13b,31,-2.71186665955666,780.0842160689134,-0.00010649630863462712,0.0034665276537313534,1094,-0.009953845268752315,0.009953845268752315,-0.009953845268752315,0.009953845268752315,547,0.3830895393269838,0.9346949005557461,0.39262301855367726,0.0034665276537313534
stablelm-tuned-alpha-7b,26,-2.4713616192283885,821.8642208227084,1.3920966632010924e-05,0.005580591706857645,1542,-0.00993002690989575,0.00993002690989575,-0.00993002690989575,0.00993002690989575,771,0.4406131354059336,0.7919563122573092,0.41594587088385,0.005580591706857645
gemini-pro,6,-0.7879700667271865,1114.2992856762367,-0.00014877705423003043,0.053869894167707835,2876,-0.009896275678500044,0.009896275678500044,-0.009896275678500044,0.009896275678500044,1438,0.15619927683797735,0.2978601608978213,0.4836029690832661,0.053869894167707835
RWKV-4-Raven-14B,57,-2.0554591504656226,894.113879700152,1.804897545096055e-05,0.0208601204793624,2316,-0.009870374574571072,0.009870374574571072,-0.009870374574571072,0.009870374574571072,1158,0.454804576056904,0.7255003662203141,0.43473713370150885,0.0208601204793624
qwen1.5-7b-chat,56,-1.2496185802596091,1034.1027248738487,-0.0004815262480620897,0.028590164881688977,416,-0.009862648511564376,0.009862648511564376,-0.009862648511564376,0.009862648511564376,208,0.07908757344067559,0.41768268694772426,0.46645018730945775,0.028590164881688977
guanaco-33b,58,-1.2187017272000553,1039.4735323464797,0.0003719108109543622,0.03986197486075011,1368,-0.009762899888600574,0.009762899888600574,-0.009762899888600574,0.009762899888600574,684,0.3154897573109954,0.46878538844591144,0.47016109894098057,0.03986197486075011
gpt-3.5-turbo-0314,36,-0.8967175503696325,1095.407912849525,0.0003669310420850527,0.012890524890284003,2604,-0.009753833006317492,0.009753833006317492,-0.009753833006317492,0.009753833006317492,1302,0.4362893902552208,0.8960905698476234,0.39941416340995683,0.012890524890284003
llama-2-13b-chat,3,-1.1899800879508968,1044.46299212133,0.0010566332009820942,0.03849943903668701,5214,-0.00975251493407514,0.00975251493407514,-0.00975251493407514,0.00975251493407514,2607,0.1334057459244837,0.2639492932901203,0.48830887342691315,0.03849943903668701
gemini-pro-dev-api,35,-0.7804841430788465,1115.599723809206,-0.0005977093078803642,0.06712495227372003,2972,-0.00974350927709966,0.00974350927709966,-0.00974350927709966,0.00974350927709966,1486,0.16599119451190789,0.3356908748939371,0.48249777722555853,0.06712495227372003
chatglm-6b,15,-2.3630628776908615,840.6776391614342,0.0004966216186066235,0.009917050085621009,2522,-0.009702736679603308,0.009702736679603308,-0.009702736679603308,0.009702736679603308,1261,0.4529997224579457,0.832275606789302,0.41057357608891404,0.009917050085621009
mpt-30b-chat,11,-1.1269779227065047,1055.4075892067685,-0.00034477745926976707,0.00913759936214436,1196,-0.009691755431637805,0.009691755431637805,-0.009691755431637805,0.009691755431637805,598,0.25979665735113566,0.4025851436590487,0.46736779592569727,0.00913759936214436
qwen1.5-4b-chat,45,-1.5242974980871828,986.3861095507798,0.0016170298602490114,0.00480592293619398,400,-0.0096745197298721,0.0096745197298721,-0.0096745197298721,0.0096745197298721,200,0.07555859756987252,0.5942675505058979,0.4550647424028126,0.00480592293619398
alpaca-13b,41,-1.9972737766305753,904.2217144137675,0.0003106044585503585,0.014399040153695659,2806,-0.009636440422946202,0.009636440422946202,-0.009636440422946202,0.009636440422946202,1403,0.474278317946148,0.6702346716754759,0.4336934637733466,0.014399040153695659
