player,player_index,skill,rating,player_influence_signed,player_influence_abs,fitted_row_count,player_influence_joint_newton,player_influence_joint_newton_abs,player_influence_two_step,player_influence_two_step_abs,degree,bridge_var,closeness,surprise,influence
VIR,27,-0.4341663992366506,924.5775714334874,0.001711851249301235,0.11299675773821764,1120,-0.09939606346145557,0.09939606346145557,-0.09939606346145557,0.09939606346145557,560,0.03981931327551904,0.5525866198856245,0.4580578663953829,0.11299675773821764
UTS,25,0.2969566346866703,1051.5866511235922,0.002892608109179798,0.08441282949555505,1040,-0.08271981620631241,0.08271981620631241,-0.08271981620631241,0.08271981620631241,520,0.08263574438457524,0.2983020582630911,0.4771199648791587,0.08441282949555505
KEN,16,0.2532945937030986,1044.0017777364728,-0.002560438973144064,0.0697531838590466,1564,-0.04510005833151487,0.04510005833151487,-0.04510005833151487,0.04510005833151487,782,0.08079035636793075,0.28857785713402523,0.4751869562462374,0.0697531838590466
BOS,1,0.3778023966555061,1065.630998446924,0.009086465345972572,0.2583694493907393,22448,-0.03847297058692578,0.03847297058692578,-0.03847297058692578,0.03847297058692578,11224,0.040341345728018174,0.3727517238091379,0.4821428025195128,0.2583694493907393
PHW,0,0.0,1000.0,-0.012892659579257566,0.2824887633545526,3612,-0.0315307243348909,0.0315307243348909,-0.0315307243348909,0.0315307243348909,1806,0.027122164221010048,0.18463316111878686,0.4953485397574393,0.2824887633545526
MNL,4,0.12232514261390712,1021.2500537740992,0.004030124175955582,0.07732594567453217,2996,-0.026544378413861036,0.026544378413861036,-0.026544378413861036,0.026544378413861036,1498,0.024554386485991876,0.1430537293014948,0.4951385972483407,0.07732594567453217
DNR,18,-0.36541857667409094,936.5202914262007,-0.002086293729933851,0.05431824820332255,944,-0.02143762031484886,0.02143762031484886,-0.02143762031484886,0.02143762031484886,472,0.05324694505663766,0.5172709164093905,0.46306813057653595,0.05431824820332255
ROC,5,0.14057214875827095,1024.419883406,0.0006343784002122865,0.06413083194424848,1920,-0.01890747795867298,0.01890747795867298,-0.01890747795867298,0.01890747795867298,960,0.02309711902224287,0.13748124483598173,0.49806895768196785,0.06413083194424848
SYR,6,0.2665616823117703,1046.3065070859398,-0.003396301936030138,0.12365840844963936,3788,-0.018349650781442794,0.018349650781442794,-0.018349650781442794,0.018349650781442794,1894,0.02905614117977974,0.20597761830227734,0.4916193197089396,0.12365840844963936
FTW,3,-0.05462381985113333,990.5108705832702,0.0027491178329334697,0.1074393191848281,1944,-0.017470367429226585,0.017470367429226585,-0.017470367429226585,0.017470367429226585,972,0.016209297275078638,0.20910382899169194,0.49214910186561783,0.1074393191848281
PHI,13,0.04744808679224913,1008.2425769082962,0.004470574264044086,0.10990613555446216,17672,-0.0171629790319221,0.0171629790319221,-0.0171629790319221,0.0171629790319221,8836,0.05245318043286115,0.17507970675521528,0.4964008173228156,0.10990613555446216
NYK,2,-0.00456970298559513,999.2061612837676,-0.008933494369035335,0.28151147309552815,21480,-0.01287090127918078,0.01287090127918078,-0.01287090127918078,0.01287090127918078,10740,0.050310075124634625,0.17142630666252123,0.49431144250222414,0.28151147309552815
GSW,29,-0.1273352242362043,977.8796059049213,0.0006565354524746304,0.16303611587511357,14296,-0.012835803029133341,0.012835803029133341,-0.012835803029133341,0.012835803029133341,7148,0.06251444294421592,0.2569748163703669,0.4883321885771769,0.16303611587511357
MIL,20,0.03855453903687358,1006.6976094224151,0.0007531861987334336,0.08474652333654077,15672,-0.01196891277044776,0.01196891277044776,-0.01196891277044776,0.01196891277044776,7836,0.0494479757878503,0.16755330558034714,0.49652745818068006,0.08474652333654077
POR,26,0.1577680859422454,1027.4071236580621,-0.002244581219555647,0.08330616016051609,14976,-0.011336628435247742,0.011336628435247742,-0.011336628435247742,0.011336628435247742,7488,0.06387711651777184,0.22465038338592858,0.48945727074980916,0.08330616016051609
SEA,15,0.12605650764765106,1021.898258271748,-0.003913427220132773,0.06908969051309298,13652,-0.01118307785700412,0.01118307785700412,-0.01118307785700412,0.01118307785700412,6826,0.0586143801711159,0.2028231890577127,0.49109102573922747,0.06908969051309298
IND,32,-0.027125771224270085,995.2877708959718,-0.000717093334888822,0.077094492940742,13208,-0.010811514697595781,0.010811514697595781,-0.010811514697595781,0.010811514697595781,6604,0.05007729180506247,0.166158458093023,0.49326563678226776,0.077094492940742
CHH,40,-0.08119979204721015,985.894151352882,-0.00039111982611022964,0.1117582662914262,4616,-0.010572923178058469,0.010572923178058469,-0.010572923178058469,0.010572923178058469,2308,0.04624832898204219,0.18158429145233346,0.4928847520234785,0.1117582662914262
ORL,43,-0.05025839000569994,991.2692234204732,0.0015804926186705475,0.09692282484740589,8696,-0.010503221900405979,0.010503221900405979,-0.010503221900405979,0.010503221900405979,4348,0.05729346649433542,0.18490846558348714,0.49241830316910945,0.09692282484740589
DEN,33,-0.048263676823882606,991.6157405916103,-0.0014187067129431997,0.0809354986937771,12876,-0.010226060300442597,0.010226060300442597,-0.010226060300442597,0.010226060300442597,6438,0.06644460268647444,0.22225913866593383,0.491211829631052,0.0809354986937771
SAC,39,-0.2780429942162458,951.6989847520107,-0.0009480711139942543,0.04846377514770305,9760,-0.010202599693068803,0.010202599693068803,-0.010202599693068803,0.010202599693068803,4880,0.06638467577020436,0.3564327625902953,0.48025549378924104,0.04846377514770305
SAS,34,0.4532728935566209,1078.7415665871843,-0.0019001889032716351,0.06802104723542195,13704,-0.009902389288711677,0.009902389288711677,-0.009902389288711677,0.009902389288711677,6852,0.05585354175453,0.4394559113490117,0.4697485320282906,0.06802104723542195
PHO,21,0.22516884731632208,1039.1158351543977,-0.000850851228829266,0.08723403367086881,15744,-0.009837031532746066,0.009837031532746066,-0.009837031532746066,0.009837031532746066,7872,0.06279214066725142,0.26001612598717183,0.48898154891626855,0.08723403367086881
