competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1000.0,3.1084545384503217,993.9075410570573,1006.0924589429427,gao_local,1
gpt-4-0125-preview,997.8646519921577,7.757290588323043,982.660641821433,1013.0686621628824,gao_local,2
gpt-4-0314,928.255286869214,4.106796020909299,920.2061145763794,936.3044591620487,gao_local,3
mistral-7b-instruct-v0.2,915.1827374027096,22.27452031727188,871.525479807951,958.8399949974681,gao_local,4
gpt-4-0613,909.280044066891,3.2135674616191854,902.9815675802276,915.5785205535544,gao_local,5
qwen1.5-72b-chat,899.4615167063274,10.674957981540997,878.5389835260287,920.3840498866261,gao_local,6
mistral-medium,894.7635507143989,4.362758906366618,886.212700384689,903.3144010441089,gao_local,7
claude-1,887.8111874630064,4.079824048985757,879.8148792637339,895.8074956622788,gao_local,8
claude-2.0,872.7142253148761,5.094099259356626,862.729974232865,882.6984763968873,gao_local,9
gemini-pro-dev-api,865.6107362261384,6.5068194124868715,852.857604523758,878.3638679285187,gao_local,10
mixtral-8x7b-instruct-v0.1,863.4098006576944,4.186337512346397,855.2047299063664,871.6148714090223,gao_local,11
gemini-pro,862.9906979003464,6.603477460471395,850.0481199051005,875.9332758955924,gao_local,12
yi-34b-chat,862.1749322710193,6.56692085834978,849.3040038993289,875.0458606427098,gao_local,13
claude-2.1,859.1731883839143,3.3649309628351793,852.5780448862937,865.768331881535,gao_local,14
gpt-3.5-turbo-0613,854.4033030959608,2.971418081499497,848.5794306732107,860.227175518711,gao_local,15
gpt-3.5-turbo-0125,852.4969218095754,8.521287709285762,835.7955047974715,869.1983388216793,gao_local,16
starling-lm-7b-alpha,850.6244085317346,7.383573606377622,836.152870186034,865.0959468774354,gao_local,17
claude-instant-1,850.2774920586434,3.915564073414615,842.6031274955917,857.9518566216949,gao_local,18
wizardlm-70b,850.0033975771728,6.140953773465057,837.967349350456,862.0394458038897,gao_local,19
llama-2-70b-chat,849.7227408082848,4.248407243167099,841.3960156200183,858.0494659965514,gao_local,20
gpt-3.5-turbo-0314,849.6685873430638,7.612273480628653,834.7488054805622,864.5883692055652,gao_local,21
vicuna-33b,843.2427795969547,4.091408075994898,835.2237671219484,851.261792071961,gao_local,22
nous-hermes-2-mixtral-8x7b-dpo,842.7066852841949,13.870093937422368,815.5218007046597,869.8915698637301,gao_local,23
tulu-2-dpo-70b,832.6662417754031,7.172145456654186,818.6090949884783,846.723388562328,gao_local,24
pplx-70b-online,823.0909824656518,6.61007244495352,810.1354785383422,836.0464863929612,gao_local,25
deepseek-llm-67b-chat,819.9653108448055,9.006262849492476,802.3133600244992,837.6172616651118,gao_local,26
openhermes-2.5-mistral-7b,819.8592859922871,8.078526139353936,804.025665710988,835.6929062735862,gao_local,27
openchat-3.5,819.1461990821311,6.188430519932086,807.0170981422358,831.2753000220265,gao_local,28
solar-10.7b-instruct-v1.0,813.9878032134297,8.355938097444376,797.6104654853926,830.3651409414668,gao_local,29
llama2-70b-steerlm-chat,812.8844734537656,9.766520385666734,793.7424452435826,832.0265016639487,gao_local,30
gpt-3.5-turbo-1106,812.1624808689562,4.385729818191639,803.5666083793772,820.7583533585351,gao_local,31
dolphin-2.2.1-mistral-7b,808.8829632106559,12.973691561203797,783.4549950041653,834.3109314171465,gao_local,32
wizardlm-13b,808.7848868035953,6.361792194864471,796.316003224533,821.2537703826578,gao_local,33
openchat-3.5-0106,808.1154600193712,16.055291542243825,776.6476668352827,839.5832532034597,gao_local,34
llama-2-13b-chat,797.4572807687147,4.886979426539915,787.8789770995082,807.0355844379211,gao_local,35
codellama-34b-instruct,795.275666117915,6.557896134767595,782.4224258794161,808.1289063564138,gao_local,36
llama-2-7b-chat,794.6874817567962,5.903975716341197,783.1159019871683,806.2590615264239,gao_local,37
qwen1.5-7b-chat,792.6279672823903,17.44720537565071,758.4320731152412,826.8238614495393,gao_local,38
zephyr-7b-beta,792.1267908372915,5.091944751223307,782.1467625136261,802.106819160957,gao_local,39
mpt-30b-chat,789.2723163735176,10.34017405229155,769.0059476371506,809.5386851098847,gao_local,40
pplx-7b-online,785.7307662783458,7.16105126392417,771.6953637096094,799.7661688470821,gao_local,41
guanaco-33b,785.589223238256,9.743555290663947,766.4922057871798,804.686240689332,gao_local,42
vicuna-13b,779.636392952262,4.378229429670196,771.0552209540551,788.217564950469,gao_local,43
zephyr-7b-alpha,774.0541872027643,12.286829119518622,749.9724446443098,798.1359297612188,gao_local,44
stripedhyena-nous-7b,770.3700578478849,8.449618855271803,753.8091092084617,786.9310064873083,gao_local,45
qwen-14b-chat,762.2867018008308,7.741600523235682,747.1134435925924,777.4599600090692,gao_local,46
falcon-180b-chat,762.1080956007003,14.944013797188745,732.8183667737408,791.3978244276599,gao_local,47
palm-2,756.2554748724756,5.735805762447571,745.013502155761,767.4974475891901,gao_local,48
qwen1.5-4b-chat,750.0812983831415,18.113418566344333,714.5796503562075,785.5829464100755,gao_local,49
mistral-7b-instruct,745.9185578841044,6.305656125726253,733.5596989787866,758.2774167894222,gao_local,50
vicuna-7b,738.2573431226867,6.429105209611388,725.6565284590296,750.8581577863439,gao_local,51
koala-13b,723.0948451590443,6.476342269124603,710.4014475600057,735.788242758083,gao_local,52
chatglm3-6b,699.0061898789043,8.634012059045435,682.0838372010907,715.9285425567177,gao_local,53
gpt4all-13b-snoozy,676.4116178406101,12.934530255201874,651.0604043834708,701.7628312977495,gao_local,54
mpt-7b-chat,659.53653907908,8.649083168421583,642.584647569682,676.4884305884779,gao_local,55
alpaca-13b,649.4981545796014,7.027882325229913,635.7237583345652,663.2725508246376,gao_local,56
RWKV-4-Raven-14B,649.2256832751946,7.791714863049071,633.9542027658131,664.4971637845763,gao_local,57
chatglm2-6b,647.8985462523024,11.65649447511072,625.0522368950953,670.7448556095095,gao_local,58
oasst-pythia-12b,629.3343472057584,6.892764434285107,615.8247771606409,642.8439172508758,gao_local,59
fastchat-t5-3b,617.2987415514783,8.454285486352848,600.7286464832071,633.8688366197497,gao_local,60
chatglm-6b,601.5509508132648,7.6159756324810415,586.6239128664673,616.4779887600623,gao_local,61
stablelm-tuned-alpha-7b,567.0128739157647,9.793698976582919,547.8175766462354,586.2081711852938,gao_local,62
dolly-v2-12b,555.2672716461232,9.77052480012469,536.1173949278234,574.4171483644229,gao_local,63
llama-13b,539.0711852888298,11.758078030820238,516.0257758210105,562.1165947566491,gao_local,64
