competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1000.0,3.1092874727752906,993.9059085357788,1006.0940914642212,gao_local,1
gpt-4-0125-preview,997.9623674770055,7.763295087760444,982.7465887036384,1013.1781462503727,gao_local,2
gpt-4-0314,928.1208637855595,4.108114724059754,920.0691068820437,936.1726206890753,gao_local,3
mistral-7b-instruct-v0.2,912.061432281686,21.75923411062689,869.414117093682,954.7087474696903,gao_local,4
gpt-4-0613,909.1540952174255,3.2141614236652916,902.8544545865435,915.4537358483075,gao_local,5
qwen1.5-72b-chat,899.5456363840663,10.688860893875832,878.595853996311,920.4954187718215,gao_local,6
mistral-medium,894.658212202133,4.363833476456471,886.105255753748,903.2111686505178,gao_local,7
claude-1,887.5154182766072,4.080819507683104,879.5171590141398,895.5136775390745,gao_local,8
claude-2.0,872.5069498327881,5.095859007285182,862.519249708215,882.4946499573612,gao_local,9
gemini-pro-dev-api,865.6319815773687,6.50933343501386,852.8739224813792,878.3900406733583,gao_local,10
mixtral-8x7b-instruct-v0.1,863.2302508970631,4.1871746854504295,855.0235393166024,871.4369624775237,gao_local,11
gemini-pro,863.0395208141024,6.605963525177764,850.0920702215687,875.986971406636,gao_local,12
yi-34b-chat,862.2536216166707,6.569599916516868,849.3774423874603,875.129800845881,gao_local,13
claude-2.1,859.1460177604856,3.3653060032981807,852.5501391970647,865.7418963239064,gao_local,14
gpt-3.5-turbo-0613,854.3189497199833,2.9718516789703435,848.4942274618064,860.14367197816,gao_local,15
gpt-3.5-turbo-0125,852.1708419523314,8.527637520483244,835.4569795389718,868.884704365691,gao_local,16
starling-lm-7b-alpha,850.8651804590265,7.384084852964564,836.3926400884282,865.3377208296247,gao_local,17
claude-instant-1,850.180484730817,3.9166228295227143,842.5040450439252,857.856924417709,gao_local,18
wizardlm-70b,849.8858981495603,6.1433788112133945,837.8450969361955,861.926699362925,gao_local,19
gpt-3.5-turbo-0314,849.7009387531521,7.62082990028904,834.7643866162796,864.6374908900245,gao_local,20
llama-2-70b-chat,849.4801944576571,4.249397218806375,841.151528952792,857.8088599625223,gao_local,21
vicuna-33b,842.8847927153251,4.092273842756651,834.8640833686469,850.9055020620035,gao_local,22
nous-hermes-2-mixtral-8x7b-dpo,842.0261941936425,13.872556626460037,814.8364828322883,869.2159055549967,gao_local,23
tulu-2-dpo-70b,832.4470651817658,7.172443038687274,818.3893351447737,846.5047952187579,gao_local,24
pplx-70b-online,822.8722565904154,6.610337247955013,809.91623365876,835.8282795220709,gao_local,25
openhermes-2.5-mistral-7b,819.6870742633884,8.078867268592647,803.8527853810674,835.5213631457094,gao_local,26
deepseek-llm-67b-chat,819.4834115734903,9.002539283638873,801.8387588081512,837.1280643388295,gao_local,27
openchat-3.5,818.8749436463936,6.188991096851369,806.744743995926,831.0051432968614,gao_local,28
solar-10.7b-instruct-v1.0,813.5160743771925,8.352730468472194,797.1450234864166,829.8871252679684,gao_local,29
llama2-70b-steerlm-chat,812.457480017453,9.760975819178306,793.3263189578972,831.5886410770088,gao_local,30
gpt-3.5-turbo-1106,811.8113573714585,4.38569857701499,803.2155461134605,820.4071686294564,gao_local,31
wizardlm-13b,808.1395302123077,6.360434165362032,795.6733083221601,820.6057521024554,gao_local,32
dolphin-2.2.1-mistral-7b,808.1146818944236,12.960573298953575,782.7124250094831,833.5169387793641,gao_local,33
openchat-3.5-0106,806.124493897762,16.036295059714572,774.6939331352638,837.5550546602601,gao_local,34
llama-2-13b-chat,796.9215079974123,4.886575223767278,787.3439965510827,806.4990194437419,gao_local,35
codellama-34b-instruct,794.7789035854582,6.556853982321358,781.9277059282203,807.6301012426961,gao_local,36
llama-2-7b-chat,794.122742438601,5.9031362935155895,782.5528079074792,805.6926769697228,gao_local,37
zephyr-7b-beta,791.6911786967813,5.091475206747974,781.7120706633766,801.6702867301859,gao_local,38
qwen1.5-7b-chat,790.3377956233552,17.427361818835845,756.1807941128884,824.4947971338219,gao_local,39
mpt-30b-chat,788.3660847843271,10.333197531583204,768.1133897772859,808.6187797913684,gao_local,40
pplx-7b-online,785.1782440124882,7.160003791903593,771.1448944511869,799.2115935737895,gao_local,41
guanaco-33b,784.2739810140245,9.737012783165959,765.189786642013,803.3581753860358,gao_local,42
vicuna-13b,779.0759637878929,4.378276416462074,770.4946996972661,787.6572278785197,gao_local,43
zephyr-7b-alpha,773.1987741539394,12.275752840736594,749.1387407029805,797.2588076048985,gao_local,44
stripedhyena-nous-7b,770.1032189738596,8.446171604928079,753.5490268209558,786.6574111267635,gao_local,45
qwen-14b-chat,762.0654282312879,7.73835596583072,746.898529238709,777.2323272238668,gao_local,46
falcon-180b-chat,761.0280158264595,14.927520154059337,731.7706139460074,790.2854177069116,gao_local,47
palm-2,755.688125244017,5.735454568932915,744.4468408539427,766.9294096340911,gao_local,48
qwen1.5-4b-chat,747.7468059219364,18.099945238885528,712.2715651315734,783.2220467122992,gao_local,49
mistral-7b-instruct,745.3764355675353,6.304927865028733,733.0190040269558,757.7338671081145,gao_local,50
vicuna-7b,737.6573264337142,6.428526590514333,725.0576458426481,750.2570070247804,gao_local,51
koala-13b,722.4076986466437,6.475462986348309,709.7160244101788,735.0993728831086,gao_local,52
chatglm3-6b,699.1927178447352,8.627560801043565,682.2830094002602,716.1024262892101,gao_local,53
gpt4all-13b-snoozy,676.1531368265589,12.921149022629088,650.8281501033309,701.4781235497868,gao_local,54
mpt-7b-chat,658.8232083815972,8.647512811596785,641.8743947150188,675.7720220481756,gao_local,55
alpaca-13b,648.7725284572474,7.027487135430339,634.9989067699854,662.5461501445094,gao_local,56
RWKV-4-Raven-14B,648.3846665813115,7.79158629034522,633.1134380697988,663.6558950928243,gao_local,57
chatglm2-6b,646.7703541618797,11.660232927812007,623.9167175720202,669.6239907517393,gao_local,58
oasst-pythia-12b,628.6588971768128,6.892405316553179,615.1500309895163,642.1677633641095,gao_local,59
fastchat-t5-3b,616.6134931809883,8.453513744872186,600.0449106982245,633.182075663752,gao_local,60
chatglm-6b,600.7071747413954,7.6163883140666995,585.779327953553,615.635021529238,gao_local,61
stablelm-tuned-alpha-7b,566.7397970713628,9.791813136565306,547.5481959803485,585.9313981623769,gao_local,62
dolly-v2-12b,555.0513305124883,9.767824007035163,535.9067472513738,574.195913773603,gao_local,63
llama-13b,538.0528413841641,11.763118860092833,514.9975520725184,561.1081306958099,gao_local,64
