competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1000.0,3.1090056506376205,993.9064608970187,1006.0935391029813,gao_local,1
gpt-4-0125-preview,998.165941177589,7.764009219726727,982.9487627312877,1013.3831196238904,gao_local,2
gpt-4-0314,928.2965904417613,4.107677139567886,920.2456911880896,936.3474896954328,gao_local,3
mistral-7b-instruct-v0.2,914.4191928746716,22.12520173486555,871.054594323652,957.7837914256912,gao_local,4
gpt-4-0613,909.2819098920257,3.2139941131128023,902.9825971838009,915.5812226002506,gao_local,5
qwen1.5-72b-chat,899.2575653165328,10.675832388925466,878.3333183292527,920.181812303813,gao_local,6
mistral-medium,894.6745977391022,4.3629672508531065,886.1233390617024,903.225856416502,gao_local,7
claude-1,887.7504438038242,4.07985667066388,879.7540716672374,895.7468159404109,gao_local,8
claude-2.0,872.6458446324804,5.094187052437347,862.6614214791929,882.6302677857678,gao_local,9
gemini-pro-dev-api,865.5268554898464,6.5070994765057195,852.7731748720757,878.2805361076171,gao_local,10
mixtral-8x7b-instruct-v0.1,863.2824906036236,4.186479133355823,855.0771422802178,871.4878389270295,gao_local,11
gemini-pro,862.9214077796886,6.603659345417825,849.9784732964984,875.8643422628788,gao_local,12
yi-34b-chat,862.0581981533385,6.567034835293808,849.1870463909427,874.9293499157343,gao_local,13
claude-2.1,859.1205598348134,3.3650400675755927,852.5252024958311,865.7159171737958,gao_local,14
gpt-3.5-turbo-0613,854.3180648307646,2.9714926568879827,848.4940462429388,860.1420834185902,gao_local,15
gpt-3.5-turbo-0125,852.3091833874092,8.52197920027893,835.6064110778631,869.0119556969554,gao_local,16
starling-lm-7b-alpha,850.5018398883506,7.383700888460958,836.0300520743507,864.9736277023504,gao_local,17
claude-instant-1,850.1912059618958,3.915578398882431,842.5168133214432,857.8655986023484,gao_local,18
wizardlm-70b,849.9180520435006,6.141014521307653,837.8818847532001,861.954219333801,gao_local,19
gpt-3.5-turbo-0314,849.6493338832817,7.612396265530811,834.729311366794,864.5693563997693,gao_local,20
llama-2-70b-chat,849.5989462075173,4.248436787500152,841.2721631134219,857.9257293016126,gao_local,21
vicuna-33b,843.1542201543579,4.091438073973861,835.1351488843932,851.1732914243225,gao_local,22
nous-hermes-2-mixtral-8x7b-dpo,842.4455792233775,13.871398183050466,815.2581383693843,869.6330200773708,gao_local,23
tulu-2-dpo-70b,832.5638066225353,7.172267711327623,818.5064202208537,846.621193024217,gao_local,24
pplx-70b-online,822.9889893439117,6.610204885345976,810.033225838203,835.9447528496206,gao_local,25
openhermes-2.5-mistral-7b,819.7589739613345,8.07866419175547,803.9250831023004,835.5928648203685,gao_local,26
deepseek-llm-67b-chat,819.5652696751021,9.002354170094646,801.9209797256426,837.2095596245615,gao_local,27
openchat-3.5,819.0252380123984,6.188584228782142,806.8958358086928,831.154640216104,gao_local,28
solar-10.7b-instruct-v1.0,813.618167481409,8.352505031015678,797.2475584399288,829.9887765228893,gao_local,29
llama2-70b-steerlm-chat,812.407729985675,9.76121512796116,793.2760998895236,831.5393600818264,gao_local,30
gpt-3.5-turbo-1106,812.0004127006426,4.385338342271314,803.4053074897682,820.5955179115169,gao_local,31
dolphin-2.2.1-mistral-7b,808.768397824133,12.974021233095314,783.3397834726082,834.1970121756578,gao_local,32
wizardlm-13b,808.7183322728525,6.361770403098897,796.2494914048658,821.1871731408391,gao_local,33
openchat-3.5-0106,806.9099644860243,16.031064937829342,775.4896545740559,838.3302743979926,gao_local,34
llama-2-13b-chat,797.3751606055494,4.886995521556252,787.7968253906906,806.9534958204082,gao_local,35
codellama-34b-instruct,795.1904928626211,6.557975461021109,782.3370971475223,808.0438885777199,gao_local,36
llama-2-7b-chat,794.5981877566765,5.904028047352514,783.0265054201512,806.1698700932018,gao_local,37
zephyr-7b-beta,792.0354667851493,5.09198597158397,782.0553576710615,802.0155758992371,gao_local,38
qwen1.5-7b-chat,791.2902398325059,17.41892029937723,757.1497833961529,825.4306962688589,gao_local,39
mpt-30b-chat,789.2391945046147,10.340113305971528,768.9729448288472,809.5054441803824,gao_local,40
pplx-7b-online,785.6214816156179,7.161219951189709,771.5857484259163,799.6572148053194,gao_local,41
guanaco-33b,785.56753683813,9.743546713909717,766.4705361971834,804.6645374790767,gao_local,42
vicuna-13b,779.5757244634365,4.378190299888723,770.994629158192,788.1568197686811,gao_local,43
zephyr-7b-alpha,773.9562301776066,12.286918920297603,749.8743116128594,798.0381487423535,gao_local,44
stripedhyena-nous-7b,770.2614757588335,8.44981664622813,753.7001394562594,786.8228120614077,gao_local,45
qwen-14b-chat,762.190155432087,7.741687692380101,747.0167263754649,777.363584488709,gao_local,46
falcon-180b-chat,761.9703586012298,14.944549546259832,732.6795797253862,791.2611374770735,gao_local,47
palm-2,756.1949873556798,5.735771353516667,744.9530820792306,767.436892632129,gao_local,48
qwen1.5-4b-chat,749.6935080575355,18.115893979330476,714.1870083103017,785.2000078047693,gao_local,49
mistral-7b-instruct,745.8245949479807,6.30570673741619,733.4656368455734,758.1835530503879,gao_local,50
vicuna-7b,738.2007831497682,6.429060480052332,725.6000561544358,750.8015101451006,gao_local,51
koala-13b,723.0610616136919,6.476308045360317,710.3677310919987,735.7543921353852,gao_local,52
chatglm3-6b,698.9029674035055,8.634237189343583,681.9801734784157,715.8257613285953,gao_local,53
gpt4all-13b-snoozy,676.369310798799,12.93450495840985,651.018146922461,701.7204746751371,gao_local,54
mpt-7b-chat,659.5073745730024,8.648998770006312,642.5556484814588,676.459100664546,gao_local,55
alpaca-13b,649.4651618749942,7.027816499536621,635.6908946459462,663.2394291040424,gao_local,56
RWKV-4-Raven-14B,649.1926822538608,7.791659838817321,633.9213095899916,664.4640549177299,gao_local,57
chatglm2-6b,647.7825512018394,11.656996068753115,624.9352587391584,670.6298436645205,gao_local,58
oasst-pythia-12b,629.3022418549451,6.892713691409917,615.7927712640355,642.8117124458547,gao_local,59
fastchat-t5-3b,617.2733915669627,8.454184617305817,600.7034941983908,633.8432889355347,gao_local,60
chatglm-6b,601.51819391921,7.6159175809766415,586.5912697512704,616.4451180871497,gao_local,61
stablelm-tuned-alpha-7b,566.9910936141843,9.793570361712074,547.7960484251697,586.1861388031988,gao_local,62
dolly-v2-12b,555.2462584046207,9.770390704335773,536.0966445092376,574.3958723000037,gao_local,63
llama-13b,539.0904134439288,11.757457228840277,516.0462207256317,562.1346061622257,gao_local,64
