competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1000.0,3.108412748185904,993.9076229644704,1006.0923770355296,gao_local,1
gpt-4-0125-preview,998.3505007684203,7.7642384936760305,983.1328729534357,1013.5681285834048,gao_local,2
mistral-7b-instruct-v0.2,934.358438859235,29.780975875539237,875.9887987187219,992.728078999748,gao_local,3
gpt-4-0314,928.4417638710456,4.1078188746825495,920.390586821654,936.4929409204373,gao_local,4
gpt-4-0613,909.3939765600124,3.213963228774016,903.0947243839794,915.6932287360456,gao_local,5
qwen1.5-72b-chat,900.2405687018813,10.68855423739433,879.2913873497854,921.1897500539771,gao_local,6
mistral-medium,894.9505772772077,4.363686125278206,886.3979096318253,903.5032449225902,gao_local,7
claude-1,887.951492966699,4.080717374778211,879.953433881047,895.9495520523511,gao_local,8
claude-2.0,872.8381424816945,5.095511774467354,862.8511229209387,882.8251620424503,gao_local,9
gemini-pro-dev-api,865.9152808379812,6.508950411105619,853.157972455057,878.6725892209054,gao_local,10
mixtral-8x7b-instruct-v0.1,863.5585314352079,4.187216842743802,855.3517372279705,871.7653256424453,gao_local,11
gemini-pro,863.2959466718764,6.605613179139439,850.3491827449601,876.2427105987929,gao_local,12
yi-34b-chat,862.451453266835,6.5696043019152235,849.5752654424017,875.3276410912681,gao_local,13
claude-2.1,859.3880685125606,3.365165247252397,852.7924658259201,865.9836711992011,gao_local,14
gpt-3.5-turbo-0613,854.4566956203546,2.9717223185376533,848.632226903967,860.2811643367423,gao_local,15
gpt-3.5-turbo-0125,850.9197193075779,8.558801535809582,834.144776546565,867.6946620685908,gao_local,16
starling-lm-7b-alpha,850.4264390068282,7.394067102643696,835.934333786374,864.9185442272823,gao_local,17
claude-instant-1,850.3923191775827,3.9162881433318746,842.7165354635711,858.0681028915944,gao_local,18
gpt-3.5-turbo-0314,849.9896996679025,7.618889663175081,835.0569503258948,864.9224490099102,gao_local,19
wizardlm-70b,849.9435832049323,6.144949248097197,837.8997039918353,861.9874624180293,gao_local,20
llama-2-70b-chat,849.2516971438939,4.255574039815751,840.9109252923115,857.5924689954765,gao_local,21
nous-hermes-2-mixtral-8x7b-dpo,843.9771439643907,13.888850413538547,816.755497367191,871.1987905615905,gao_local,22
vicuna-33b,843.2774069889595,4.092047445102754,835.257141373529,851.2976726043901,gao_local,23
tulu-2-dpo-70b,832.9763614013209,7.174974277753495,818.9136702269227,847.039052575719,gao_local,24
pplx-70b-online,823.3074912513603,6.612103225800853,810.3480070667295,836.2669754359911,gao_local,25
