competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1000.0,3.1086836221174035,993.9070920613203,1006.0929079386797,gao_local,1
gpt-4-0125-preview,998.105499995398,7.763595293093355,982.8891328303903,1013.3218671604056,gao_local,2
gpt-4-0314,928.4110866007959,4.107546010504501,920.3604443553659,936.4617288462259,gao_local,3
mistral-7b-instruct-v0.2,925.9321911248155,25.131723365888984,876.6749184582494,975.1894637913817,gao_local,4
gpt-4-0613,909.382525461221,3.213920858828582,903.083356328755,915.6816945936871,gao_local,5
qwen1.5-72b-chat,895.8454686278408,10.676509664385843,874.9198942050507,916.7710430506309,gao_local,6
mistral-medium,894.5935410000716,4.3633844525012035,886.0414646224672,903.145617377676,gao_local,7
claude-1,887.9901267531823,4.080514003640226,879.9924662676361,895.9877872387285,gao_local,8
claude-2.0,872.9091169675526,5.095272664579121,862.9225660535661,882.8956678815391,gao_local,9
gemini-pro-dev-api,865.775888611173,6.508942507932234,853.018595718184,878.533181504162,gao_local,10
mixtral-8x7b-instruct-v0.1,863.4403894682423,4.186981714797943,855.2340561033105,871.646722833174,gao_local,11
gemini-pro,863.251903633456,6.605588517555457,850.3051880423559,876.1986192245561,gao_local,12
yi-34b-chat,862.3624499913738,6.569212449356741,849.4870301838424,875.2378697989052,gao_local,13
claude-2.1,859.166622150169,3.365306421365023,852.5707427673522,865.7625015329859,gao_local,14
gpt-3.5-turbo-0613,854.3245558835677,2.971633468430196,848.5002613101907,860.1488504569447,gao_local,15
starling-lm-7b-alpha,851.0020563804733,7.3874879646452944,836.5228460335454,865.4812667274012,gao_local,16
claude-instant-1,850.4031949877159,3.916063487468066,842.7278515911062,858.0785383843256,gao_local,17
wizardlm-70b,850.2446886380105,6.143009553661209,838.2046111561491,862.284766119872,gao_local,18
gpt-3.5-turbo-0314,850.0389998395312,7.617290896026217,835.1093840235551,864.9686156555075,gao_local,19
llama-2-70b-chat,849.845405366583,4.24918833868319,841.5171492592365,858.1736614739298,gao_local,20
gpt-3.5-turbo-0125,849.3348714577452,8.529977760474809,832.616422258287,866.0533206572035,gao_local,21
vicuna-33b,843.4074430576254,4.091956465029258,835.3873557598622,851.4275303553886,gao_local,22
nous-hermes-2-mixtral-8x7b-dpo,842.715896620914,13.8900875928912,815.4918251967406,869.9399680450874,gao_local,23
tulu-2-dpo-70b,832.9415425134632,7.174823489772023,818.8791468780781,847.0039381488484,gao_local,24
pplx-70b-online,823.3122655150221,6.612037913211951,810.3529093407134,836.2716216893309,gao_local,25
openhermes-2.5-mistral-7b,820.1911560597912,8.082310181808774,804.3501191915647,836.0321929280178,gao_local,26
deepseek-llm-67b-chat,820.0262972823406,9.006333533674166,802.3742079235839,837.6783866410973,gao_local,27
openchat-3.5,819.3414017734783,6.190156614717414,807.2089177499698,831.4738857969868,gao_local,28
solar-10.7b-instruct-v1.0,814.0669210737889,8.355860335843765,797.6897357556883,830.4441063918894,gao_local,29
llama2-70b-steerlm-chat,812.9113918684151,9.766525911103848,793.7693528285744,832.0534309082559,gao_local,30
gpt-3.5-turbo-1106,812.141954784063,4.385707662237597,803.546125719356,820.7377838487702,gao_local,31
