top_player,outside_player,top_rank,outside_rank,initial_gap,top_ci_lower,top_ci_upper,outside_ci_lower,outside_ci_upper,initial_overlap
qwen1.5-72b-chat,mistral-7b-instruct-v0.2,5,23,0.35371698762634085,878.0185908477804,919.9076808551988,788.8103295038923,886.2220734938384,True
mistral-medium,mistral-7b-instruct-v0.2,6,23,0.3288772196703298,886.0953446164109,903.200707762526,788.8103295038923,886.2220734938384,True
claude-1,mistral-7b-instruct-v0.2,7,23,0.2887771242670747,879.6839992658616,895.6798529871331,788.8103295038923,886.2220734938384,True
claude-2.0,mistral-7b-instruct-v0.2,8,23,0.20210906964139874,862.6391742040195,882.6131117439988,788.8103295038923,886.2220734938384,True
gemini-pro-dev-api,mistral-7b-instruct-v0.2,9,23,0.16178471548700424,852.8634146073789,878.3787557441866,788.8103295038923,886.2220734938384,True
gemini-pro,mistral-7b-instruct-v0.2,10,23,0.14693286984450304,850.0937998294507,875.988310835221,788.8103295038923,886.2220734938384,True
mixtral-8x7b-instruct-v0.1,mistral-7b-instruct-v0.2,11,23,0.14665334224738646,854.7862822061479,871.19871062415,788.8103295038923,886.2220734938384,True
yi-34b-chat,mistral-7b-instruct-v0.2,12,23,0.14154373960258637,849.2290470467481,874.9806879968658,788.8103295038923,886.2220734938384,True
claude-2.1,mistral-7b-instruct-v0.2,13,23,0.12405928761469753,852.4715893402251,865.6634248894347,788.8103295038923,886.2220734938384,True
gpt-3.5-turbo-0613,mistral-7b-instruct-v0.2,14,23,0.09631967501224536,848.424195605563,860.0730900773938,788.8103295038923,886.2220734938384,True
gpt-3.5-turbo-0125,mistral-7b-instruct-v0.2,15,23,0.08184522504035807,835.024651859139,868.4436948227176,788.8103295038923,886.2220734938384,True
gpt-3.5-turbo-0125,tulu-2-dpo-70b,15,24,0.10992577344866017,835.024651859139,868.4436948227176,818.5756998532312,846.7005213664653,True
gpt-3.5-turbo-0125,pplx-70b-online,15,25,0.1650114638224095,835.024651859139,868.4436948227176,810.1091922254506,836.0282999053256,True
gpt-3.5-turbo-0125,openhermes-2.5-mistral-7b,15,26,0.1834745280546478,835.024651859139,868.4436948227176,804.0204037996106,835.7023627990965,True
gpt-3.5-turbo-0125,deepseek-llm-67b-chat,15,27,0.1850636022774027,835.024651859139,868.4436948227176,801.9326617243408,837.2380039413445,True
gpt-3.5-turbo-0125,openchat-3.5-0106,15,34,0.25457422417711595,835.024651859139,868.4436948227176,776.0501435794006,838.9700584665177,True
claude-instant-1,mistral-7b-instruct-v0.2,16,23,0.07258001801790681,842.4490750278836,857.8002090271394,788.8103295038923,886.2220734938384,True
claude-instant-1,tulu-2-dpo-70b,16,24,0.10066056642620891,842.4490750278836,857.8002090271394,818.5756998532312,846.7005213664653,True
wizardlm-70b,mistral-7b-instruct-v0.2,17,23,0.0708251938178387,837.7802207713939,861.8593749101892,788.8103295038923,886.2220734938384,True
wizardlm-70b,tulu-2-dpo-70b,17,24,0.09890574222614079,837.7802207713939,861.8593749101892,818.5756998532312,846.7005213664653,True
wizardlm-70b,openchat-3.5-0106,17,34,0.24355419295459657,837.7802207713939,861.8593749101892,776.0501435794006,838.9700584665177,True
starling-lm-7b-alpha,mistral-7b-instruct-v0.2,18,23,0.07039376187550606,835.2706736430541,864.2190272290317,788.8103295038923,886.2220734938384,True
starling-lm-7b-alpha,tulu-2-dpo-70b,18,24,0.09847431028380815,835.2706736430541,864.2190272290317,818.5756998532312,846.7005213664653,True
starling-lm-7b-alpha,pplx-70b-online,18,25,0.15356000065755748,835.2706736430541,864.2190272290317,810.1091922254506,836.0282999053256,True
starling-lm-7b-alpha,openhermes-2.5-mistral-7b,18,26,0.1720230648897958,835.2706736430541,864.2190272290317,804.0204037996106,835.7023627990965,True
starling-lm-7b-alpha,deepseek-llm-67b-chat,18,27,0.1736121391125507,835.2706736430541,864.2190272290317,801.9326617243408,837.2380039413445,True
starling-lm-7b-alpha,openchat-3.5-0106,18,34,0.24312276101226393,835.2706736430541,864.2190272290317,776.0501435794006,838.9700584665177,True
gpt-3.5-turbo-0314,mistral-7b-instruct-v0.2,19,23,0.06949826066610587,834.659248040049,864.5193238450127,788.8103295038923,886.2220734938384,True
gpt-3.5-turbo-0314,tulu-2-dpo-70b,19,24,0.09757880907440797,834.659248040049,864.5193238450127,818.5756998532312,846.7005213664653,True
gpt-3.5-turbo-0314,pplx-70b-online,19,25,0.1526644994481573,834.659248040049,864.5193238450127,810.1091922254506,836.0282999053256,True
gpt-3.5-turbo-0314,openhermes-2.5-mistral-7b,19,26,0.1711275636803956,834.659248040049,864.5193238450127,804.0204037996106,835.7023627990965,True
gpt-3.5-turbo-0314,deepseek-llm-67b-chat,19,27,0.1727166379031505,834.659248040049,864.5193238450127,801.9326617243408,837.2380039413445,True
gpt-3.5-turbo-0314,openchat-3.5-0106,19,34,0.24222725980286375,834.659248040049,864.5193238450127,776.0501435794006,838.9700584665177,True
llama-2-70b-chat,mistral-7b-instruct-v0.2,20,23,0.06729455256137495,840.8796941704074,857.5332310989661,788.8103295038923,886.2220734938384,True
llama-2-70b-chat,tulu-2-dpo-70b,20,24,0.09537510096967705,840.8796941704074,857.5332310989661,818.5756998532312,846.7005213664653,True
vicuna-33b,mistral-7b-instruct-v0.2,21,23,0.03218331795515317,835.0867380354754,851.127294880064,788.8103295038923,886.2220734938384,True
vicuna-33b,tulu-2-dpo-70b,21,24,0.060263866363455265,835.0867380354754,851.127294880064,818.5756998532312,846.7005213664653,True
vicuna-33b,pplx-70b-online,21,25,0.1153495567372046,835.0867380354754,851.127294880064,810.1091922254506,836.0282999053256,True
vicuna-33b,openhermes-2.5-mistral-7b,21,26,0.1338126209694429,835.0867380354754,851.127294880064,804.0204037996106,835.7023627990965,True
vicuna-33b,deepseek-llm-67b-chat,21,27,0.1354016951921978,835.0867380354754,851.127294880064,801.9326617243408,837.2380039413445,True
vicuna-33b,openchat-3.5-0106,21,34,0.20491231709191104,835.0867380354754,851.127294880064,776.0501435794006,838.9700584665177,True
nous-hermes-2-mixtral-8x7b-dpo,mistral-7b-instruct-v0.2,22,23,0.03218083384313086,815.8850573431212,870.3281125035032,788.8103295038923,886.2220734938384,True
nous-hermes-2-mixtral-8x7b-dpo,tulu-2-dpo-70b,22,24,0.06026138225143296,815.8850573431212,870.3281125035032,818.5756998532312,846.7005213664653,True
nous-hermes-2-mixtral-8x7b-dpo,pplx-70b-online,22,25,0.11534707262518229,815.8850573431212,870.3281125035032,810.1091922254506,836.0282999053256,True
nous-hermes-2-mixtral-8x7b-dpo,openhermes-2.5-mistral-7b,22,26,0.1338101368574206,815.8850573431212,870.3281125035032,804.0204037996106,835.7023627990965,True
nous-hermes-2-mixtral-8x7b-dpo,deepseek-llm-67b-chat,22,27,0.1353992110801755,815.8850573431212,870.3281125035032,801.9326617243408,837.2380039413445,True
nous-hermes-2-mixtral-8x7b-dpo,openchat-3.5,22,28,0.13847800199145965,815.8850573431212,870.3281125035032,806.9180184871872,831.1829656555344,True
nous-hermes-2-mixtral-8x7b-dpo,solar-10.7b-instruct-v1.0,22,29,0.16901458456998275,815.8850573431212,870.3281125035032,797.3680164653763,830.1234722293168,True
