competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1000.0,3.1087575230771227,993.9069472181009,1006.0930527818991,gao_local,1
gpt-4-0125-preview,997.5200829373356,7.757547082539895,982.3155700471837,1012.7245958274875,gao_local,2
gpt-4-0314,928.2532902360444,4.107715557355553,920.2023156848927,936.3042647871963,gao_local,3
gpt-4-0613,909.2689951583751,3.2139285916639166,902.9698108698303,915.5681794469199,gao_local,4
qwen1.5-72b-chat,899.1908011293827,10.685659640752817,878.247293082454,920.1343091763115,gao_local,5
mistral-medium,894.7394765112831,4.3635203204643656,886.1871338373643,903.2918191852019,gao_local,6
claude-1,887.7876510870805,4.080603432008965,879.7898153251524,895.7854868490085,gao_local,7
claude-2.0,872.7341291494159,5.0953872668887685,862.7473536190299,882.7209046798018,gao_local,8
gemini-pro-dev-api,865.7182279742023,6.508934580034194,852.960950619608,878.4755053287967,gao_local,9
gemini-pro,863.1400340567624,6.605728266226007,850.1930445633012,876.0870235502235,gao_local,10
mixtral-8x7b-instruct-v0.1,863.1380587691147,4.1868224290603315,854.9320375984919,871.3440799397374,gao_local,11
yi-34b-chat,862.2362137961408,6.569348647680607,849.3605270447999,875.1119005474817,gao_local,12
claude-2.1,859.1652907051239,3.3652185382479076,852.5695835700515,865.7609978401963,gao_local,13
gpt-3.5-turbo-0613,854.3521369756179,2.9716495805340553,848.5278108230976,860.1764631281383,gao_local,14
gpt-3.5-turbo-0125,851.9473184898897,8.524952701055648,835.2387182259131,868.6559187538662,gao_local,15
claude-instant-1,850.2477791721177,3.9161594676685887,842.5722476577716,857.9233106864637,gao_local,16
starling-lm-7b-alpha,849.9813651526056,7.384840207979603,835.5073443133822,864.4553859918288,gao_local,17
wizardlm-70b,849.9575538156012,6.142696969434293,837.9180889875666,861.9970186436358,gao_local,18
gpt-3.5-turbo-0314,849.7179960752314,7.617610928208233,834.7877530077046,864.6482391427583,gao_local,19
llama-2-70b-chat,849.3806237816901,4.24844183470315,841.0538307952587,857.7074167681217,gao_local,20
mistral-7b-instruct-v0.2,847.0414620333378,24.599464582099355,798.8273974134544,895.2555266532212,gao_local,21
