competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1000.0,3.109300373279031,993.9058832512561,1006.0941167487439,gao_local,1
gpt-4-0125-preview,997.8867670570165,7.764226347969245,982.6691630471798,1013.1043710668532,gao_local,2
gpt-4-0314,928.1624649245241,4.107793110295326,920.1113383724036,936.2135914766448,gao_local,3
gpt-4-0613,909.1883023996892,3.214021601472313,902.8889358152697,915.4876689841087,gao_local,4
qwen1.5-72b-chat,899.0549262894341,10.685995523874054,878.1107599236847,919.9990926551834,gao_local,5
mistral-medium,894.6635508604835,4.363693437418584,886.1108688835693,903.2162328373977,gao_local,6
claude-1,887.6909206991754,4.080642210633221,879.6930089325405,895.6888324658105,gao_local,7
claude-2.0,872.640221948061,5.095474935260306,862.6532745908244,882.6271693052979,gao_local,8
gemini-pro-dev-api,865.6337685393182,6.509126295172655,852.8761154299573,878.3914216486793,gao_local,9
gemini-pro,863.0496244292862,6.605863316306218,850.1023702425317,875.9968786160407,gao_local,10
mixtral-8x7b-instruct-v0.1,863.0292911015996,4.186901528441775,854.823114899038,871.2354673041611,gao_local,11
yi-34b-chat,862.127489175121,6.569416482513042,849.2516694699516,875.0033088802904,gao_local,12
claude-2.1,859.0837985540606,3.3653198394048585,852.487892872369,865.6797042357523,gao_local,13
gpt-3.5-turbo-0613,854.2499701061331,2.9717149181984666,848.4255158941437,860.0744243181225,gao_local,14
gpt-3.5-turbo-0125,851.8203237201652,8.525300471876587,835.1110418379048,868.5296056024257,gao_local,15
claude-instant-1,850.1363960838751,3.916183959676449,842.4608165660758,857.8119756016744,gao_local,16
wizardlm-70b,849.8448096934014,6.142754695742954,837.8052317238809,861.8843876629219,gao_local,17
starling-lm-7b-alpha,849.8313551438772,7.384925728604966,835.3571666873082,864.3055436004461,gao_local,18
gpt-3.5-turbo-0314,849.6275511285094,7.617687610801277,834.6971577658619,864.5579444911568,gao_local,19
llama-2-70b-chat,849.2464714410935,4.24845138511608,840.9196597361965,857.5732831459902,gao_local,20
mistral-7b-instruct-v0.2,843.8343010247984,24.570927558570812,795.6761679432568,891.9924341063398,gao_local,21
nous-hermes-2-mixtral-8x7b-dpo,843.1858501930892,13.888630645538372,815.9646343332547,870.4070660529237,gao_local,22
vicuna-33b,843.1073420053898,4.092051976070591,835.0870675094254,851.1276165013542,gao_local,23
tulu-2-dpo-70b,832.3707833742222,7.172064222334694,818.313795803638,846.4277709448065,gao_local,24
pplx-70b-online,822.8430411420646,6.610114494190971,809.8874547997641,835.7986274843652,gao_local,25
openhermes-2.5-mistral-7b,819.8823781817414,8.082261581725898,804.0414365679269,835.7233197955559,gao_local,26
deepseek-llm-67b-chat,819.6177415926411,9.006582563699457,801.9651641440037,837.2703190412784,gao_local,27
openchat-3.5,819.0712724317272,6.190140200634374,806.9388205792302,831.2037242842241,gao_local,28
solar-10.7b-instruct-v1.0,813.7564031046725,8.356145680390053,797.378658521538,830.134147687807,gao_local,29
llama2-70b-steerlm-chat,812.7164697475293,9.766869547801646,793.573757192137,831.8591823029215,gao_local,30
gpt-3.5-turbo-1106,811.97654015918,4.385867744311769,803.3803973393731,820.5726829789869,gao_local,31
dolphin-2.2.1-mistral-7b,808.7214538444091,12.97375958755144,783.293352308727,834.1495553800911,gao_local,32
wizardlm-13b,808.5449628086538,6.361991373122796,796.0756888473787,821.0142367699291,gao_local,33
openchat-3.5-0106,807.6021472987085,16.05123896796417,776.1422970142528,839.061997583164,gao_local,34
llama-2-13b-chat,797.23468041034,4.88706173392275,787.6562154216276,806.8131453990525,gao_local,35
codellama-34b-instruct,794.9484315075267,6.5577180186772726,782.0955403701499,807.8013226449035,gao_local,36
llama-2-7b-chat,794.4845031404332,5.904093459168855,782.9126925991036,806.0563136817625,gao_local,37
qwen1.5-7b-chat,792.7190037711536,17.443689904177976,758.5299998014798,826.9080077408273,gao_local,38
zephyr-7b-beta,791.9244983067834,5.091994761710628,781.944371964364,801.9046246492029,gao_local,39
mpt-30b-chat,788.963035257137,10.340513604664634,768.6960010103478,809.2300695039262,gao_local,40
pplx-7b-online,785.5314238319332,7.161172430584419,771.4957837809065,799.5670638829598,gao_local,41
guanaco-33b,785.2897832850017,9.743948470023344,766.1919952165417,804.3875713534616,gao_local,42
vicuna-13b,779.3668497002436,4.3783706940941265,770.7854008288535,787.9482985716338,gao_local,43
zephyr-7b-alpha,773.8327741516327,12.286980603350655,749.7507346903232,797.9148136129422,gao_local,44
stripedhyena-nous-7b,770.1558055741887,8.449878890452363,753.5943472751767,786.7172638732005,gao_local,45
falcon-180b-chat,762.0763304327185,14.943132695164454,732.7883285339932,791.3643323314437,gao_local,46
qwen-14b-chat,762.06271088383,7.741720955525743,746.8892166326406,777.2362051350195,gao_local,47
palm-2,756.0189335758348,5.736075018610588,744.7764331267382,767.2614340249315,gao_local,48
qwen1.5-4b-chat,750.1871658238377,18.10875271136505,714.6946627046202,785.6796689430553,gao_local,49
mistral-7b-instruct,745.7086445916486,6.305691521256683,733.3497163123659,758.0675728709314,gao_local,50
vicuna-7b,738.0212003992508,6.4294409812866515,725.4197276352031,750.6226731632986,gao_local,51
koala-13b,722.7968661231768,6.476818155173429,710.1025358046217,735.4911964417317,gao_local,52
chatglm3-6b,698.8290954769818,8.634396520401172,681.9059892687576,715.7522016852062,gao_local,53
gpt4all-13b-snoozy,676.1567902917855,12.935165717760176,650.8043313509183,701.5092492326527,gao_local,54
mpt-7b-chat,659.2343891242394,8.64987420323698,642.2809472150929,676.1878310333859,gao_local,55
alpaca-13b,649.2026266934081,7.028486443399026,635.4270463985179,662.9782069882981,gao_local,56
RWKV-4-Raven-14B,648.934824975097,7.7924299540848905,633.6619429130394,664.2077070371545,gao_local,57
chatglm2-6b,647.6615743724967,11.65703976955583,624.8141962578161,670.5089524871772,gao_local,58
oasst-pythia-12b,629.0464780204595,6.893320611028246,615.5358178889566,642.5571381519626,gao_local,59
fastchat-t5-3b,616.979467036032,8.455254865810241,600.4074720189368,633.5514620531271,gao_local,60
chatglm-6b,601.2410144651012,7.616689332079091,586.3125776927957,616.1694512374067,gao_local,61
stablelm-tuned-alpha-7b,566.6388781771554,9.794926922345262,547.4411741781571,585.836582176154,gao_local,62
dolly-v2-12b,554.8938918123492,9.771843505988256,535.7414304780506,574.0463531466478,gao_local,63
llama-13b,538.5835846476585,11.76066890391586,515.5330971618832,561.6340721334338,gao_local,64
