competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1000.0,3.1092848739710703,993.9059136293415,1006.0940863706585,gao_local,1
gpt-4-0125-preview,997.8779507217392,7.764251029934579,982.6602983361395,1013.095603107339,gao_local,2
gpt-4-0314,928.1730829659703,4.107763156289456,920.1220151226223,936.2241508093182,gao_local,3
gpt-4-0613,909.2006262643451,3.214022245875058,902.9012584169194,915.4999941117708,gao_local,4
qwen1.5-72b-chat,899.0007741923301,10.686184239752203,878.0562379502563,919.9453104344041,gao_local,5
mistral-medium,894.662115650693,4.363688735830127,886.1094428887227,903.2147884126631,gao_local,6
claude-1,887.7090539375718,4.080631345620322,879.7111634659707,895.7069444091728,gao_local,7
claude-2.0,872.6500092800582,5.095465142264954,862.6630811167396,882.6369374433767,gao_local,8
gemini-pro-dev-api,865.6381295250343,6.509112937487748,852.8805025962546,878.395756453814,gao_local,9
gemini-pro,863.0617319168716,6.605838877110288,850.1145256300608,876.0089382036822,gao_local,10
mixtral-8x7b-instruct-v0.1,863.0381123446864,4.1868913451806105,854.83195610095,871.244268588423,gao_local,11
yi-34b-chat,862.1271727703842,6.569409281931433,849.2513671780954,875.0029783626728,gao_local,12
claude-2.1,859.0862410699368,3.3653153556491877,852.4903441762448,865.6821379636287,gao_local,13
gpt-3.5-turbo-0613,854.2641847154401,2.971705539443449,848.4397488854728,860.0886205454075,gao_local,14
gpt-3.5-turbo-0125,851.4147076551842,8.520617441927,834.7146043429634,868.1148109674049,gao_local,15
claude-instant-1,850.1463901336849,3.9161659748203763,842.4708458655557,857.8219344018139,gao_local,16
starling-lm-7b-alpha,849.8860142158665,7.384938791678091,835.4118001561446,864.3602282755883,gao_local,17
wizardlm-70b,849.855027364342,6.142746929844906,837.815464615702,861.894590112982,gao_local,18
gpt-3.5-turbo-0314,849.6326137940362,7.617506342188947,834.7025757113404,864.5626518767319,gao_local,19
llama-2-70b-chat,849.2669043011654,4.2484513241745345,840.9400927157118,857.593715886619,gao_local,20
mistral-7b-instruct-v0.2,847.6581089811551,24.434267440829846,799.7678248085089,895.5483931538013,gao_local,21
vicuna-33b,843.0366311557765,4.091457708638874,835.0175214025755,851.0557409089774,gao_local,22
nous-hermes-2-mixtral-8x7b-dpo,842.1271899742587,13.869627573945447,814.943219450342,869.3111604981755,gao_local,23
tulu-2-dpo-70b,832.6611197964954,7.174821846208353,818.5987273824359,846.723512210555,gao_local,24
pplx-70b-online,823.0928291844664,6.612132663201061,810.1332873035915,836.0523710653414,gao_local,25
openhermes-2.5-mistral-7b,819.8919005639252,8.082272201798894,804.0509381351501,835.7328629927002,gao_local,26
deepseek-llm-67b-chat,819.6291281900757,9.006548287347249,801.9766179218542,837.2816384582972,gao_local,27
openchat-3.5,819.0765543133606,6.190153337253949,806.9440767135625,831.2090319131588,gao_local,28
solar-10.7b-instruct-v1.0,813.7760776789613,8.356116927200429,797.3983894510429,830.1537659068797,gao_local,29
llama2-70b-steerlm-chat,812.7244717020808,9.766872189118436,793.5817539698028,831.8671894343588,gao_local,30
gpt-3.5-turbo-1106,811.9937711940975,4.385835511334315,803.3976915497653,820.5898508384295,gao_local,31
dolphin-2.2.1-mistral-7b,808.7109486766462,12.973859406273714,783.2826514998635,834.1392458534289,gao_local,32
wizardlm-13b,808.5552856095201,6.361962267008025,796.0860686951816,821.0245025238586,gao_local,33
openchat-3.5-0106,807.483303379891,16.05157695629649,776.0227906504768,838.9438161093052,gao_local,34
llama-2-13b-chat,797.2397813286545,4.887048753945932,787.6613417802291,806.8182208770799,gao_local,35
codellama-34b-instruct,794.9650099700516,6.5577196504868756,782.1121156343868,807.8179043057165,gao_local,36
llama-2-7b-chat,794.486154579416,5.904080938805093,782.9143685775487,806.0579405812834,gao_local,37
qwen1.5-7b-chat,792.5832228318118,17.44411677330091,758.3933822140309,826.7730634495925,gao_local,38
zephyr-7b-beta,791.9283081782244,5.091995827145381,781.9481797475912,801.9084366088576,gao_local,39
mpt-30b-chat,788.9930432918823,10.340457511031213,768.7261189865944,809.2599675971702,gao_local,40
pplx-7b-online,785.5537585827512,7.161124336907611,771.5182127935991,799.5893043719035,gao_local,41
guanaco-33b,785.3470857525482,9.743940357502634,766.2493135843367,804.4448579207597,gao_local,42
vicuna-13b,779.3835984962136,4.378333920121943,770.8022217004844,787.9649752919427,gao_local,43
zephyr-7b-alpha,773.8239926534832,12.287011939042651,749.741891775346,797.9060935316205,gao_local,44
stripedhyena-nous-7b,770.1501913981339,8.449927602050192,753.5886376261446,786.7117451701231,gao_local,45
qwen-14b-chat,762.0552307736373,7.741796947669391,746.8815875805832,777.2288739666915,gao_local,46
falcon-180b-chat,762.0505474692425,14.943333504800883,732.7621519908621,791.338942947623,gao_local,47
palm-2,756.0340065405682,5.736042787696684,744.7915692629019,767.2764438182344,gao_local,48
qwen1.5-4b-chat,750.0617980363223,18.108994159935158,714.5688216866033,785.5547743860413,gao_local,49
mistral-7b-instruct,745.7163923030682,6.3056846760818095,733.3574774400818,758.0753071660547,gao_local,50
vicuna-7b,738.0382169867305,6.429394718121388,725.4368348968205,750.6395990766405,gao_local,51
koala-13b,722.8217294206147,6.476753713573254,710.127525405275,735.5159334359544,gao_local,52
chatglm3-6b,698.8066979922125,8.634706285548678,681.8829846554555,715.7304113289697,gao_local,53
gpt4all-13b-snoozy,676.1481340396884,12.93529683939092,650.7954181051475,701.5008499742294,gao_local,54
mpt-7b-chat,659.2659969165711,8.649767710374809,642.3127637295989,676.2192301035432,gao_local,55
alpaca-13b,649.2359996270858,7.028391618537485,635.4606051855092,663.0113940686624,gao_local,56
RWKV-4-Raven-14B,648.9744306090189,7.7922981292106295,633.7018069189672,664.2470542990706,gao_local,57
chatglm2-6b,647.6721956747182,11.656982403733476,624.8249299949834,670.5194613544529,gao_local,58
oasst-pythia-12b,629.0789958372164,6.893228726153816,615.568515796758,642.5894758776749,gao_local,59
fastchat-t5-3b,617.0133939719835,8.455118777013201,600.4416656840293,633.5851222599377,gao_local,60
chatglm-6b,601.2827363828528,7.61653250450636,586.3546069869417,616.210865778764,gao_local,61
stablelm-tuned-alpha-7b,566.6569548322309,9.794947217597299,547.4592110552694,585.8546986091924,gao_local,62
dolly-v2-12b,554.9093901383538,9.771893054014564,535.7568316917082,574.0619485849995,gao_local,63
llama-13b,538.6665489196625,11.760002202028325,515.6173681455754,561.7157296937498,gao_local,64
