competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1000.0,3.10929253965644,993.9058986048743,1006.0941013951257,gao_local,1
gpt-4-0125-preview,997.86351712234,7.764136474823448,982.6460892606323,1013.0809449840477,gao_local,2
gpt-4-0314,928.1714689262734,4.107764053195992,920.120399325021,936.2225385275258,gao_local,3
gpt-4-0613,909.1942837627793,3.214013236097154,902.8949335741938,915.4936339513647,gao_local,4
qwen1.5-72b-chat,897.714490778841,10.681862197271819,876.7784255843683,918.6505559733137,gao_local,5
mistral-medium,894.6475571021055,4.363659428169883,886.0949417820939,903.200172422117,gao_local,6
claude-1,887.708195270912,4.080631678736812,879.7103041464146,895.7060863954093,gao_local,7
claude-2.0,872.6482364540599,5.095459402392638,862.6613195406843,882.6351533674354,gao_local,8
gemini-pro-dev-api,865.6293876083257,6.509096289452027,852.8717933090965,878.386981907555,gao_local,9
gemini-pro,863.0604954463945,6.605837356821391,850.1132921392953,876.0076987534936,gao_local,10
mixtral-8x7b-instruct-v0.1,863.0202799653897,4.186868239484503,854.8141690079855,871.2263909227939,gao_local,11
yi-34b-chat,862.1087965394884,6.569319507501899,849.2331669018482,874.9844261771285,gao_local,12
claude-2.1,859.0872649459031,3.365308584661113,852.491381323104,865.6831485687024,gao_local,13
gpt-3.5-turbo-0613,854.2675458404174,2.971701037771404,848.4431188335651,860.0919728472696,gao_local,14
gpt-3.5-turbo-0125,851.7141809324744,8.525132076728658,835.0052290986391,868.4231327663097,gao_local,15
claude-instant-1,850.1500852001377,3.916167920210655,842.4745371191137,857.8256332811617,gao_local,16
wizardlm-70b,849.8566000605902,6.142746327345776,837.8170384928268,861.8961616283536,gao_local,17
starling-lm-7b-alpha,849.8425997761985,7.384893452284464,835.3684745800554,864.3167249723417,gao_local,18
gpt-3.5-turbo-0314,849.6298667303647,7.61752402621454,834.6997939876156,864.5599394731137,gao_local,19
llama-2-70b-chat,849.249012894779,4.2484162348206755,840.9222700831951,857.5757557063627,gao_local,20
mistral-7b-instruct-v0.2,844.697494776862,24.815376054042055,796.0602514481219,893.3347381056021,gao_local,21
vicuna-33b,843.1294886828725,4.092043687911257,835.109230431402,851.149746934343,gao_local,22
nous-hermes-2-mixtral-8x7b-dpo,843.0225315356838,13.88850048974581,815.8015707765151,870.2434922948524,gao_local,23
tulu-2-dpo-70b,832.661449107067,7.17480811062756,818.5990836142511,846.7238145998829,gao_local,24
pplx-70b-online,823.0872721556607,6.612124769065528,810.127745747007,836.0467985643144,gao_local,25
openhermes-2.5-mistral-7b,819.8883641679815,8.082253542389719,804.0474383109764,835.7292900249867,gao_local,26
deepseek-llm-67b-chat,819.6241691448183,9.00653496127665,801.9716849952151,837.2766532944213,gao_local,27
openchat-3.5,819.0713759288892,6.190160543068136,806.9388842059548,831.2038676518237,gao_local,28
solar-10.7b-instruct-v1.0,813.772965207216,8.35611036916951,797.3952898328021,830.1506405816299,gao_local,29
llama2-70b-steerlm-chat,812.7223551942733,9.766843455314032,793.579693779217,831.8650166093295,gao_local,30
gpt-3.5-turbo-1106,811.9932129210023,4.3858306305420784,803.3971428428472,820.5892829991574,gao_local,31
dolphin-2.2.1-mistral-7b,808.7121374229265,12.973854029282682,783.2838507848526,834.1404240610004,gao_local,32
wizardlm-13b,808.5581675364232,6.3619764790025,796.0889227670873,821.027412305759,gao_local,33
openchat-3.5-0106,807.3834325848326,16.050799712467207,775.924443225331,838.8424219443341,gao_local,34
llama-2-13b-chat,797.2394499714447,4.887044389793413,787.6610189766011,806.8178809662884,gao_local,35
codellama-34b-instruct,794.9550708239265,6.557707255389599,782.102200782206,807.8079408656471,gao_local,36
llama-2-7b-chat,794.4831872953926,5.904071259893243,782.9114202638438,806.0549543269412,gao_local,37
qwen1.5-7b-chat,792.5121628325433,17.44341116137084,758.3237051887324,826.7006204763541,gao_local,38
zephyr-7b-beta,791.9281383655011,5.091996750368045,781.9480081253848,801.9082686056175,gao_local,39
mpt-30b-chat,789.006589986723,10.340486037195777,768.73960977118,809.273570202266,gao_local,40
pplx-7b-online,785.5462615600637,7.161122672617789,771.5107190328597,799.5818040872678,gao_local,41
guanaco-33b,785.3525482893431,9.743967859435344,766.2547222183339,804.4503743603522,gao_local,42
vicuna-13b,779.3812629707359,4.378338248469537,770.7998776916014,787.9626482498704,gao_local,43
zephyr-7b-alpha,773.8287025184952,12.28703435460712,749.7465577066589,797.9108473303316,gao_local,44
stripedhyena-nous-7b,770.1465084420834,8.449840297838554,753.5851257832046,786.7078911009621,gao_local,45
qwen-14b-chat,762.0587860492325,7.741778918806971,746.8851781920994,777.2323939063656,gao_local,46
falcon-180b-chat,762.0569711056636,14.943345633634728,732.7685518552057,791.3453903561215,gao_local,47
palm-2,756.0342218722662,5.736059110312648,744.7917526028606,767.2766911416718,gao_local,48
qwen1.5-4b-chat,749.9668461694837,18.10811758232849,714.4755878803034,785.458104458664,gao_local,49
mistral-7b-instruct,745.712491649083,6.305684406534772,733.353577314399,758.0714059837669,gao_local,50
vicuna-7b,738.0383394572439,6.42941884938209,725.4369100709321,750.6397688435557,gao_local,51
koala-13b,722.8178163704508,6.476782797669705,710.1235553513295,735.5120773895719,gao_local,52
chatglm3-6b,698.8137374053969,8.634625550861672,681.8901823057187,715.7372925050752,gao_local,53
gpt4all-13b-snoozy,676.1655402992658,12.935254937869802,650.8129064901971,701.5181741083345,gao_local,54
mpt-7b-chat,659.2660072282054,8.649789408657867,642.3127315133798,676.2192829430307,gao_local,55
alpaca-13b,649.2288199370632,7.028434839124026,635.4533407846936,663.004299089433,gao_local,56
RWKV-4-Raven-14B,648.9674319771063,7.79234434356843,633.6947177085779,664.2401462456348,gao_local,57
chatglm2-6b,647.6423743730024,11.657438760370786,624.7942142506945,670.4905344953104,gao_local,58
oasst-pythia-12b,629.0711062218238,6.89327582006207,615.5605338790014,642.5816785646462,gao_local,59
fastchat-t5-3b,617.0108525134399,8.455150190932349,600.4390626553354,633.5826423715442,gao_local,60
chatglm-6b,601.2742406749669,7.616593835622401,586.3459910722772,616.2024902776566,gao_local,61
