rank,competitor,rating,standard_error,ci_lower,ci_upper,ci_method
1,gpt-4-1106-preview,1146.2180692306843,3.3396996783207205,1139.6723781419955,1152.7637603193728,gao_local
2,gpt-4-0125-preview,1140.826127956603,8.324225658365577,1124.510945467022,1157.1413104461835,gao_local
3,gpt-4-0314,1073.9374107475765,4.394706358071221,1065.3239445631277,1082.5508769320252,gao_local
4,gpt-4-0613,1055.3903878886056,3.4648586051713415,1048.599389810946,1062.181385966265,gao_local
5,qwen1.5-72b-chat,1051.793276670567,11.439533664193442,1029.3722026888142,1074.2143506523196,gao_local
6,mistral-medium,1041.5770464714083,4.6738468736365295,1032.4164749298254,1050.7376180129909,gao_local
7,claude-1,1031.0548319207871,4.361864959390151,1022.5057336949552,1039.6039301466192,gao_local
8,gemini-pro-dev-api,1016.3436384351257,7.011315877293448,1002.6017118313968,1030.0855650388548,gao_local
9,claude-2.0,1014.4348664086474,5.452873107169394,1003.7474315063283,1025.1223013109663,gao_local
10,gemini-pro,1013.5210449861518,6.989999377200638,999.820897954881,1027.2211920174225,gao_local
11,mixtral-8x7b-instruct-v0.1,1013.1967439942737,4.48474606382932,1004.4068032293604,1021.9866847591869,gao_local
12,yi-34b-chat,1003.5269886854556,7.051591648130502,989.7061230214364,1017.3478543494749,gao_local
13,gpt-3.5-turbo-0613,1000.0,3.1957623837522653,993.7364208246977,1006.2635791753023,gao_local
14,starling-lm-7b-alpha,998.6333559724603,7.782875445739416,983.3792004026499,1013.8875115422707,gao_local
15,wizardlm-70b,997.8983047342466,6.641344567772729,984.8815085724914,1010.915100896002,gao_local
16,llama-2-70b-chat,997.3763646085099,4.584554603913907,988.3908026996813,1006.3619265173385,gao_local
17,claude-2.1,996.786296651277,3.6282357020848077,989.6750853477683,1003.8975079547855,gao_local
18,gpt-3.5-turbo-0125,994.0644554294237,9.11039108525132,976.2084170172562,1011.920493841591,gao_local
19,nous-hermes-2-mixtral-8x7b-dpo,993.8653310014477,14.741059185086757,964.9733859047043,1022.757276098191,gao_local
20,gpt-3.5-turbo-0314,991.4772169263557,8.007522621022787,975.7827609837612,1007.17167286895,gao_local
21,claude-instant-1,990.5121015161185,4.194411974433437,982.2912051099055,998.7329979223316,gao_local
22,vicuna-33b,989.4327822690148,4.39206711131957,980.8244889131455,998.041075624884,gao_local
23,pplx-70b-online,989.226148134984,7.12489983270418,975.2616010694284,1003.1906952005397,gao_local
24,tulu-2-dpo-70b,981.1140042423067,7.6740242764420445,966.0731930439943,996.1548154406191,gao_local
25,mistral-7b-instruct-v0.2,975.8001676452283,26.116605838533246,924.6125608032746,1026.987774487182,gao_local
26,solar-10.7b-instruct-v1.0,972.664199229827,9.17885859738093,954.6739669597745,990.6544314998794,gao_local
27,deepseek-llm-67b-chat,969.3361006904302,9.760622840853381,950.2056314556785,988.4665699251818,gao_local
28,llama2-70b-steerlm-chat,968.3764946490599,10.506456467825688,947.7842183669836,988.9687709311361,gao_local
29,openchat-3.5,966.3404650879088,6.688288175346472,953.2316611460045,979.449269029813,gao_local
30,openhermes-2.5-mistral-7b,964.9890828673332,8.768139282974792,947.8038456612718,982.1743200733947,gao_local
31,openchat-3.5-0106,961.9660568475922,16.946003344558267,928.7525006103627,995.1796130848218,gao_local
32,qwen1.5-7b-chat,960.573519946933,18.390776267730622,924.528260814447,996.6187790794189,gao_local
33,wizardlm-13b,957.331509677746,6.822320385810333,943.9600074305642,970.7030119249276,gao_local
34,dolphin-2.2.1-mistral-7b,956.3441437043583,13.80337020119044,929.2900352447516,983.398252163965,gao_local
35,gpt-3.5-turbo-1106,954.4379203610057,4.74419531924619,945.1394683996597,963.7363723223517,gao_local
36,codellama-34b-instruct,949.1475993234005,7.09065801023736,935.2501649966449,963.0450336501563,gao_local
37,llama-2-13b-chat,944.5601509523461,5.261196030741177,934.2483962164883,954.8719056882039,gao_local
38,zephyr-7b-beta,943.8609050241677,5.463157704425405,933.1533126816313,954.5684973667039,gao_local
39,llama-2-7b-chat,941.4291494341246,6.276571948033283,929.127294469605,953.7310043986442,gao_local
40,pplx-7b-online,939.3343477443948,7.6752410183442565,924.2911517757755,954.377543713014,gao_local
41,guanaco-33b,934.7093902498207,10.229266736995637,914.6603958570556,954.7583846425856,gao_local
42,mpt-30b-chat,927.363433423419,11.0639994272892,905.6783930209604,949.0484738258776,gao_local
43,zephyr-7b-alpha,926.7534328745273,13.553360887176419,900.1893336661876,953.3175320828669,gao_local
44,vicuna-13b,925.4212325377297,4.688996550958759,916.230968174218,934.6114969012414,gao_local
45,stripedhyena-nous-7b,918.0948589435266,9.054793238459864,900.3477903086884,935.8419275783647,gao_local
46,falcon-180b-chat,913.9638578000213,16.351926722974426,881.9146703451534,946.0130452548892,gao_local
47,qwen-14b-chat,906.9233649533443,8.394202652199676,890.4710300761024,923.3756998305863,gao_local
48,qwen1.5-4b-chat,903.898992089554,19.46083580690651,865.7564547989698,942.0415293801382,gao_local
49,palm-2,901.4498128605698,6.2086785894897885,889.2810264335849,913.6185992875547,gao_local
50,mistral-7b-instruct,899.9742405499276,6.8106273306337215,886.6256562697613,913.3228248300939,gao_local
51,vicuna-7b,883.7743370933903,6.893455170226208,870.2634132307055,897.285260956075,gao_local
52,koala-13b,871.060259271505,6.876210254512295,857.5831348225358,884.537383720474,gao_local
53,chatglm3-6b,841.0761304460365,9.326725837686052,822.7960837104927,859.3561771815803,gao_local
54,gpt4all-13b-snoozy,825.6606368702996,13.979770295594705,798.2607905787912,853.0604831618082,gao_local
55,mpt-7b-chat,810.3856629730501,9.16783573457272,792.4170351171083,828.354290828992,gao_local
56,RWKV-4-Raven-14B,794.9848533008402,8.321302959380915,778.675399196007,811.2943074056734,gao_local
57,chatglm2-6b,794.6221027826496,12.494952822525258,770.1324452619731,819.1117603033263,gao_local
58,alpaca-13b,793.7140758472759,7.512201478989094,778.9904315038488,808.4377201907031,gao_local
59,oasst-pythia-12b,775.079698703488,7.28014997614958,760.8108669481846,789.3485304587913,gao_local
60,fastchat-t5-3b,766.1704806880934,8.88722771451005,748.7518344452476,783.5891269309394,gao_local
61,chatglm-6b,746.0393486162054,7.9860006401993635,730.3870749809008,761.6916222515099,gao_local
62,stablelm-tuned-alpha-7b,711.3000139197009,10.369137567434233,690.9768777367885,731.6231501026132,gao_local
63,dolly-v2-12b,708.7761592437226,10.238569688393962,688.708931401267,728.8433870861784,gao_local
64,llama-13b,685.2536234622548,12.587687383101327,660.5822095427269,709.9250373817827,gao_local
