competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1146.0841203656194,3.338980398142465,1139.539839040175,1152.6284016910638,gao_local,1
gpt-4-0125-preview,1140.0414323531368,8.316650860638424,1123.7410961942915,1156.341768511982,gao_local,2
gpt-4-0314,1074.201368719627,4.391865912896107,1065.5934697054215,1082.8092677338325,gao_local,3
gpt-4-0613,1055.4375597866456,3.464151586480588,1048.6479474401563,1062.2271721331347,gao_local,4
qwen1.5-72b-chat,1050.3961696699969,11.429149985974082,1027.9954473235812,1072.7968920164126,gao_local,5
mistral-medium,1041.3800186724382,4.672595711693482,1032.2218993632025,1050.5381379816736,gao_local,6
claude-1,1031.2979975368764,4.359147587866479,1022.7542252613636,1039.8417698123894,gao_local,7
gemini-pro-dev-api,1016.0885487732695,7.008151211761671,1002.3528248000059,1029.824272746533,gao_local,8
claude-2.0,1014.4501258624086,5.450344803302756,1003.7676463446102,1025.132605380207,gao_local,9
gemini-pro,1013.2312968038506,6.987161828525773,999.536711265787,1026.925882341914,gao_local,10
mixtral-8x7b-instruct-v0.1,1013.0645354193707,4.48388586039759,1004.2762806222031,1021.8527902165384,gao_local,11
yi-34b-chat,1003.3585994938403,7.04755697906978,989.5456416358696,1017.171557351811,gao_local,12
gpt-3.5-turbo-0613,1000.0,3.195320147516905,993.7372875917916,1006.2627124082084,gao_local,13
starling-lm-7b-alpha,999.1300165336179,7.782317990664349,983.8769535556776,1014.3830795115581,gao_local,14
wizardlm-70b,997.8311750800237,6.63797741370776,984.8209784189662,1010.8413717410813,gao_local,15
qwen1.5-7b-chat,997.7000346025595,17.409422551208134,963.5781934105522,1031.821875794567,gao_local,16
llama-2-70b-chat,997.5211719378545,4.5834687692134635,988.537738225932,1006.504605649777,gao_local,17
claude-2.1,996.7410920945678,3.6277439885566705,989.630844531865,1003.8513396572705,gao_local,18
gpt-3.5-turbo-0314,993.0436639613353,8.002508756489437,977.3590350126495,1008.728292910021,gao_local,19
gpt-3.5-turbo-0125,992.6958292139939,9.10964029718245,974.8412623194015,1010.5503961085863,gao_local,20
nous-hermes-2-mixtral-8x7b-dpo,992.3088168420902,14.721139382912721,963.4559138401871,1021.1617198439934,gao_local,21
claude-instant-1,990.9194383804848,4.193269285592754,982.7007816032451,999.1380951577246,gao_local,22
vicuna-33b,989.6317049833233,4.391341852886933,981.0248331078615,998.238576858785,gao_local,23
pplx-70b-online,989.2749672892728,7.124667464755547,975.3108756565276,1003.239058922018,gao_local,24
tulu-2-dpo-70b,981.2170613597251,7.6738466614654,966.1765982803701,996.2575244390803,gao_local,25
mistral-7b-instruct-v0.2,974.8355200519388,26.123489626569004,923.6344212333579,1026.0366188705198,gao_local,26
solar-10.7b-instruct-v1.0,972.5973634395605,9.17881637054779,954.6072139325802,990.5875129465408,gao_local,27
deepseek-llm-67b-chat,969.2349038790694,9.759936580890585,950.1057796891289,988.36402806901,gao_local,28
llama2-70b-steerlm-chat,968.4521072720746,10.505554177739066,947.8615994460718,989.0426150980775,gao_local,29
openchat-3.5,966.5426245392034,6.688426167739854,953.433550137178,979.6516989412288,gao_local,30
openhermes-2.5-mistral-7b,965.056518282817,8.767754619393306,947.8720350035214,982.2410015621125,gao_local,31
wizardlm-13b,957.991101329156,6.81942329059167,944.6252772842627,971.3569253740492,gao_local,32
dolphin-2.2.1-mistral-7b,956.4454923005767,13.803016644275791,929.3920767997893,983.4989078013641,gao_local,33
gpt-3.5-turbo-1106,954.4954758105434,4.743839548002347,945.1977211480221,963.7932304730648,gao_local,34
codellama-34b-instruct,949.3992842622753,7.089604681981163,935.5039144209657,963.2946541035849,gao_local,35
llama-2-13b-chat,944.9255408538407,5.260284767056216,934.6155721619859,955.2355095456957,gao_local,36
zephyr-7b-beta,944.0775459888793,5.462820606789632,933.3706143455684,954.7844776321903,gao_local,37
llama-2-7b-chat,941.7572973166538,6.275735337053892,929.4570820795228,954.0575125537847,gao_local,38
pplx-7b-online,939.4584104477664,7.674794341473765,924.416089949726,954.5007309458067,gao_local,39
guanaco-33b,935.7078214280518,10.223281404131889,915.6705580721352,955.7450847839684,gao_local,40
openchat-3.5-0106,930.0585691757667,16.720422638720464,897.2871429975864,962.8299953539471,gao_local,41
mpt-30b-chat,928.1982012639943,11.058657365874225,906.5236311095123,949.8727714184764,gao_local,42
zephyr-7b-alpha,927.0469810957458,13.552009695867755,900.4855301737074,953.6084320177843,gao_local,43
vicuna-13b,926.4212367916024,4.685647576922333,917.2375362965872,935.6049372866175,gao_local,44
stripedhyena-nous-7b,918.2214607174635,9.054222290724384,900.475511119624,935.9674103153031,gao_local,45
falcon-180b-chat,914.1097656189221,16.351103177707888,882.0621922831162,946.157338954728,gao_local,46
qwen-14b-chat,907.3477711010362,8.392271801298547,890.8992206220199,923.7963215800523,gao_local,47
qwen1.5-4b-chat,902.6985322518793,19.47483021652826,864.5285664224515,940.868498081307,gao_local,48
palm-2,902.2960099002928,6.20529489703452,890.133855388655,914.4581644119306,gao_local,49
mistral-7b-instruct,900.1919145102098,6.81007221311823,886.8444182403812,913.5394107800386,gao_local,50
vicuna-7b,884.7232319186958,6.889533637467037,871.2199941189831,898.2264697184083,gao_local,51
koala-13b,873.0040200258502,6.868652636480545,859.5417082360323,886.4663318156681,gao_local,52
chatglm3-6b,842.0710970696838,9.310636978218966,823.8225839192478,860.3196102201198,gao_local,53
gpt4all-13b-snoozy,828.521905560268,13.938881663266734,801.2021995154995,855.8416116050366,gao_local,54
