competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1146.2681611018647,3.339840230196361,1139.722194536562,1152.8141276671677,gao_local,1
gpt-4-0125-preview,1140.7324595366047,8.325624109364426,1124.414536133432,1157.0503829397774,gao_local,2
gpt-4-0314,1074.0008362016504,4.394735745293834,1065.3873124193037,1082.6143599839972,gao_local,3
gpt-4-0613,1055.403266372976,3.464795309007509,1048.612392353518,1062.194140392434,gao_local,4
qwen1.5-72b-chat,1051.540751951893,11.43826282827327,1029.1221687627742,1073.959335141012,gao_local,5
mistral-medium,1041.6659639775064,4.673380142298358,1032.506307212537,1050.8256207424758,gao_local,6
claude-1,1031.0723198812393,4.361818550350826,1022.523312615453,1039.6213271470256,gao_local,7
gemini-pro-dev-api,1016.6603754001759,7.008465151103216,1002.9240361171096,1030.3967146832424,gao_local,8
claude-2.0,1014.3902906529514,5.452400338022982,1003.7037823611324,1025.0767989447704,gao_local,9
gemini-pro,1013.7792569462426,6.987308254338673,1000.0843844188594,1027.474129473626,gao_local,10
mixtral-8x7b-instruct-v0.1,1013.3706639711612,4.484301801027621,1004.581593945339,1022.1597339969835,gao_local,11
yi-34b-chat,1003.7636735820959,7.049459063780659,989.9469877065962,1017.5803594575954,gao_local,12
gpt-3.5-turbo-0613,1000.0,3.1958247897532326,993.7362985111833,1006.2637014888167,gao_local,13
starling-lm-7b-alpha,999.2867803915653,7.779593074110361,984.0390581519317,1014.5345026311988,gao_local,14
wizardlm-70b,998.0425756214198,6.639577137283703,985.0292435597682,1011.0559076830715,gao_local,15
llama-2-70b-chat,997.4119387560206,4.5844527965700665,988.4265763859194,1006.3973011261219,gao_local,16
claude-2.1,996.8724257982484,3.6278956766397648,989.7618809323659,1003.9829706641309,gao_local,17
nous-hermes-2-mixtral-8x7b-dpo,994.5315476242192,14.720775469051674,965.6793578803772,1023.3837373680611,gao_local,18
gpt-3.5-turbo-0125,993.556955781377,9.111022876543936,975.6996790810305,1011.4142324817237,gao_local,19
qwen1.5-7b-chat,991.6955494959261,17.317159190717234,957.7545411675735,1025.6365578242787,gao_local,20
gpt-3.5-turbo-0314,991.4463535467333,8.005862043636258,975.75515227601,1007.1375548174566,gao_local,21
claude-instant-1,990.4807777476661,4.194258762457778,982.2601816314074,998.7013738639249,gao_local,22
pplx-70b-online,989.5077848679579,7.122105965860605,975.5487136807932,1003.4668560551224,gao_local,23
vicuna-33b,989.4477295459403,4.391777264000367,980.8400042803777,998.0554548115028,gao_local,24
tulu-2-dpo-70b,981.4158538669293,7.670580947452217,966.3817914694239,996.4499162644348,gao_local,25
mistral-7b-instruct-v0.2,979.1786134735485,25.952958455615555,928.3117496082778,1030.0454773388192,gao_local,26
solar-10.7b-instruct-v1.0,973.1740041810632,9.171475702500036,955.1982421190789,991.1497662430475,gao_local,27
deepseek-llm-67b-chat,969.8702540683624,9.751186368663548,950.758279979244,988.9822281574809,gao_local,28
llama2-70b-steerlm-chat,968.9437716041429,10.495722194913728,948.3725341103743,989.5150090979115,gao_local,29
openchat-3.5,966.523083007693,6.686768756242009,953.4172570725109,979.628908942875,gao_local,30
openhermes-2.5-mistral-7b,965.249147971674,8.762937198287105,948.0741066642449,982.4241892791031,gao_local,31
wizardlm-13b,956.83467677756,6.820136750097528,943.4674543777309,970.2018991773892,gao_local,32
dolphin-2.2.1-mistral-7b,955.5308812352051,13.786891211927724,928.5090710010551,982.5526914693553,gao_local,33
gpt-3.5-turbo-1106,954.3479297972384,4.743780511676437,945.0502908437895,963.6455687506872,gao_local,34
codellama-34b-instruct,948.8211093670446,7.088802866180896,934.9273110558257,962.7149076782634,gao_local,35
llama-2-13b-chat,944.1280019206177,5.2605425666099705,933.8175279509223,954.4384758903133,gao_local,36
zephyr-7b-beta,943.5411498368836,5.462486294689597,932.8348734332484,954.247426240519,gao_local,37
llama-2-7b-chat,940.9640248976009,6.275429704248726,928.6644086897605,953.2636411054413,gao_local,38
pplx-7b-online,939.1957543141588,7.672655106081193,924.1576266404422,954.2338819878752,gao_local,39
guanaco-33b,933.8803760443218,10.22099712030743,913.8475898024316,953.9131622862119,gao_local,40
mpt-30b-chat,926.4409573137905,11.054262860943412,904.7750002307027,948.1069143968783,gao_local,41
zephyr-7b-alpha,925.6587052730254,13.536345886811217,899.1279548525986,952.1894556934523,gao_local,42
openchat-3.5-0106,925.220097672229,16.218845117408407,893.4317453712752,957.0084499731828,gao_local,43
vicuna-13b,925.0673678652323,4.688636424507441,915.8778093365951,934.2569263938695,gao_local,44
stripedhyena-nous-7b,917.6555552701079,9.05212546808512,899.9137153691232,935.3973951710925,gao_local,45
falcon-180b-chat,912.6575250533169,16.327029577051253,880.6571351077762,944.6579149988576,gao_local,46
qwen-14b-chat,906.4360816112127,8.391608283218291,889.9888316037368,922.8833316186885,gao_local,47
qwen1.5-4b-chat,901.0432826722254,19.439766741674326,862.9420399906842,939.1445253537665,gao_local,48
palm-2,901.0317560051574,6.207638353836116,888.8650084025891,913.1985036077256,gao_local,49
mistral-7b-instruct,899.4685733285957,6.809451485334978,886.1222936628664,912.814852994325,gao_local,50
vicuna-7b,883.3313654571086,6.892009396729203,869.8232752584078,896.8394556558095,gao_local,51
koala-13b,870.5948140246031,6.874200116735269,857.1216293732809,884.0679986759253,gao_local,52
chatglm3-6b,840.666875907267,9.325517523083393,822.3891974248263,858.9445543897076,gao_local,53
gpt4all-13b-snoozy,824.633939477076,13.967469258747203,797.258202774761,852.0096761793908,gao_local,54
mpt-7b-chat,810.061988152888,9.168360563603558,792.0923316509477,828.0316446548284,gao_local,55
RWKV-4-Raven-14B,794.7008912955739,8.321721123002352,778.3906176051031,811.0111649860447,gao_local,56
chatglm2-6b,794.4894506986493,12.493977159159009,770.0017054430316,818.977195954267,gao_local,57
alpaca-13b,793.4223664990144,7.512522671960245,778.6980926289317,808.146640369097,gao_local,58
oasst-pythia-12b,774.7810131617888,7.280433063992222,760.5116265645095,789.0503997590681,gao_local,59
fastchat-t5-3b,765.8813778725373,8.887697028815579,748.4618117905552,783.3009439545195,gao_local,60
chatglm-6b,745.7571817175556,7.986128861149855,730.104656773806,761.4097066613051,gao_local,61
stablelm-tuned-alpha-7b,710.9847938436478,10.369599204590125,690.6607528685358,731.3088348187596,gao_local,62
dolly-v2-12b,708.4519195737939,10.239084761486486,688.3836822066276,728.5201569409603,gao_local,63
llama-13b,684.9740595650026,12.587365536767505,660.3032764526976,709.6448426773076,gao_local,64
