competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1146.2239150518005,3.339656819422714,1139.6783079650086,1152.7695221385927,gao_local,1
gpt-4-0125-preview,1141.0540804527989,8.324293290195913,1124.7387654072666,1157.3693954983314,gao_local,2
gpt-4-0314,1073.9591114652128,4.3946732874195416,1065.3457100980502,1082.5725128323752,gao_local,3
gpt-4-0613,1055.548600831152,3.4651359505825896,1048.757059166475,1062.3401424958288,gao_local,4
qwen1.5-72b-chat,1053.7245727638985,11.419970301650197,1031.341842268147,1076.1073032596498,gao_local,5
mistral-medium,1041.6470889654652,4.672895214612748,1032.4883826412947,1050.8057952896359,gao_local,6
claude-1,1030.8544282652983,4.361173815054054,1022.3066846574733,1039.4021718731235,gao_local,7
qwen1.5-7b-chat,1029.3185756453481,16.45260859962159,997.0720553383559,1061.5650959523405,gao_local,8
gemini-pro-dev-api,1016.3098691895644,7.0083684300632605,1002.573719476253,1030.046018902876,gao_local,9
claude-2.0,1014.0223392920341,5.4516577854057635,1003.3372863766014,1024.7073922074667,gao_local,10
mixtral-8x7b-instruct-v0.1,1013.4530221678014,4.483909568855081,1004.6647209029109,1022.2413234326918,gao_local,11
gemini-pro,1013.1291013643247,6.987708240327574,999.4334448788089,1026.8247578498406,gao_local,12
yi-34b-chat,1003.2520703387738,7.0485871457366835,989.4370933912379,1017.0670472863097,gao_local,13
gpt-3.5-turbo-0613,1000.0,3.19561057182962,993.7367183705985,1006.2632816294015,gao_local,14
starling-lm-7b-alpha,999.2348170368447,7.779459786231096,983.9873560366541,1014.4822780370354,gao_local,15
llama-2-70b-chat,997.6848182867415,4.584243064225212,988.6998669844826,1006.6697695890005,gao_local,16
wizardlm-70b,997.4744178480883,6.639039827049122,984.4621388951449,1010.4866968010315,gao_local,17
claude-2.1,996.6476862107955,3.6280861596476983,989.5367680050778,1003.7586044165132,gao_local,18
gpt-3.5-turbo-0125,995.4946396199446,9.102580456847083,977.6539097581461,1013.335369481743,gao_local,19
nous-hermes-2-mixtral-8x7b-dpo,995.1899283657846,14.71248138317265,966.3539947315502,1024.025862000019,gao_local,20
gpt-3.5-turbo-0314,991.0775604486442,8.001729027584865,975.3944597405292,1006.7606611567593,gao_local,21
claude-instant-1,990.458490264554,4.194003568922192,982.2383943184342,998.678586210674,gao_local,22
vicuna-33b,989.2537824483857,4.391549149146848,980.6465042797204,997.8610606170511,gao_local,23
pplx-70b-online,989.0339949886605,7.122201650129912,975.0747362637742,1002.9932537135469,gao_local,24
tulu-2-dpo-70b,980.9096141836043,7.670776574402109,965.8751683643227,995.944060002886,gao_local,25
solar-10.7b-instruct-v1.0,972.1450971729649,9.174264924985293,954.1638683353647,990.1263260105652,gao_local,26
