competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1146.3603934373211,3.3408460390534116,1139.812455522883,1152.908331351759,gao_local,1
gpt-4-0125-preview,1142.1878643775417,8.355469583375594,1125.8114449202058,1158.5642838348776,gao_local,2
gpt-4-0314,1074.0908203969411,4.396693339721469,1065.4734598000198,1082.7081809938622,gao_local,3
gpt-4-0613,1055.6907506885657,3.466446975054864,1048.8966394631402,1062.484861913991,gao_local,4
qwen1.5-72b-chat,1054.5078353426013,11.578535435675947,1031.8143228949555,1077.201347790247,gao_local,5
mistral-medium,1042.16363410387,4.678298848239283,1032.994336852406,1051.3329313553343,gao_local,6
claude-1,1031.1647247571127,4.362911619601651,1022.6135751149621,1039.7158743992632,gao_local,7
gemini-pro-dev-api,1016.2200556643443,7.012606122479228,1002.47560022652,1029.9645111021687,gao_local,8
claude-2.0,1014.8829872089264,5.4576528432159925,1004.1861841961004,1025.5797902217523,gao_local,9
mixtral-8x7b-instruct-v0.1,1013.5045978526522,4.49132635021571,1004.7017599634137,1022.3074357418907,gao_local,10
gemini-pro,1013.3379432408158,6.990540562958509,999.6367355049507,1027.0391509766807,gao_local,11
yi-34b-chat,1003.389637618414,7.052031873437713,989.5679091286476,1017.2113661081804,gao_local,12
gpt-3.5-turbo-0613,1000.0,3.1971421646075013,993.7337165039148,1006.2662834960852,gao_local,13
starling-lm-7b-alpha,998.6865817336269,7.791260591356946,983.415991580401,1013.9571718868527,gao_local,14
wizardlm-70b,997.6873098159548,6.641619066851192,984.6699756458919,1010.7046439860176,gao_local,15
llama-2-70b-chat,996.9659289674505,4.5854678308757135,987.978577166667,1005.9532807682339,gao_local,16
claude-2.1,996.8382637287503,3.628658374185859,989.7262240031464,1003.9503034543543,gao_local,17
nous-hermes-2-mixtral-8x7b-dpo,991.5492026535853,14.766911755751154,962.6065874494319,1020.4918178577387,gao_local,18
gpt-3.5-turbo-0314,991.4772633605086,8.007856915683671,975.7821522124185,1007.1723745085985,gao_local,19
gpt-3.5-turbo-0125,991.2971592179169,9.13061670807904,973.4014793134425,1009.1928391223915,gao_local,20
claude-instant-1,990.3452844808563,4.194560838763857,982.1240963059171,998.5664726557957,gao_local,21
vicuna-33b,989.2999296167553,4.392327506582584,980.6911258955488,997.9087333379617,gao_local,22
pplx-70b-online,989.1704363021664,7.1254934051069325,975.2047258560792,1003.1361467482537,gao_local,23
tulu-2-dpo-70b,980.9981646660432,7.675015372181416,965.9554109557763,996.0409183763101,gao_local,24
qwen1.5-7b-chat,975.5410535224457,19.807381465221376,936.7192992225657,1014.3628078223259,gao_local,25
mistral-7b-instruct-v0.2,974.8593403237718,26.133992170920436,923.6376568965161,1026.0810237510277,gao_local,26
solar-10.7b-instruct-v1.0,972.5234167486616,9.179561802146155,954.5318062225956,990.5150272747277,gao_local,27
deepseek-llm-67b-chat,969.4123512700286,9.762023392071235,950.2791370053314,988.5455655347258,gao_local,28
llama2-70b-steerlm-chat,968.4836395147476,10.507280058667916,947.8897490242825,989.0775300052126,gao_local,29
openchat-3.5,965.0233372399437,6.719192739155459,951.8539614660159,978.1927130138714,gao_local,30
openhermes-2.5-mistral-7b,964.6937046540615,8.769504767270304,947.5057911479594,981.8816181601636,gao_local,31
wizardlm-13b,957.0753301322889,6.822256983199548,943.7039521519409,970.4467081126369,gao_local,32
dolphin-2.2.1-mistral-7b,956.3134353827793,13.804139704088277,929.2578187252068,983.3690520403517,gao_local,33
gpt-3.5-turbo-1106,954.3410413753111,4.745771536582178,945.0395000847546,963.6425826658674,gao_local,34
codellama-34b-instruct,949.0874781740744,7.094221295366511,935.1830599367989,962.9918964113498,gao_local,35
llama-2-13b-chat,944.4327368914226,5.261499252657725,934.120387851529,954.7450859313161,gao_local,36
zephyr-7b-beta,943.7639870927989,5.46477528697033,933.0532243467325,954.4747498388653,gao_local,37
llama-2-7b-chat,941.1743693604595,6.281409892771473,928.8630321984938,953.4857065224252,gao_local,38
pplx-7b-online,939.342015394079,7.682992911542377,924.2836259939794,954.4004047941786,gao_local,39
guanaco-33b,934.4685029291251,10.229005859562083,914.4200198467342,954.516986011516,gao_local,40
mpt-30b-chat,927.355312679278,11.064308365308136,905.6696667694288,949.0409585891272,gao_local,41
zephyr-7b-alpha,926.556252719858,13.554231416060881,899.9904473062574,953.1220581334587,gao_local,42
vicuna-13b,925.2889277851117,4.6898519144635245,916.096986939937,934.4808686302865,gao_local,43
stripedhyena-nous-7b,917.2820284014026,9.066003513624079,899.5129880309858,935.0510687718194,gao_local,44
falcon-180b-chat,913.786182319752,16.353711082715424,881.7334975840562,945.8388670554477,gao_local,45
qwen-14b-chat,906.9212599145744,8.394072166499281,890.4691807846057,923.3733390445432,gao_local,46
palm-2,901.3298040711608,6.208819279885964,889.1607418960664,913.4988662462551,gao_local,47
mistral-7b-instruct,899.6404708347216,6.813900081269637,886.2854720811785,912.9954695882645,gao_local,48
qwen1.5-4b-chat,898.4558214561577,19.57786329919666,860.0839144954837,936.8277284168316,gao_local,49
openchat-3.5-0106,897.9966319763703,19.606324069226023,859.5689429314665,936.4243210212741,gao_local,50
vicuna-7b,883.7113853575648,6.893395145305587,870.2005791415626,897.222191573567,gao_local,51
koala-13b,870.9615685546545,6.876151658669067,857.4845589514277,884.4385781578812,gao_local,52
chatglm3-6b,841.3134984701018,9.32452337279543,823.0377684864208,859.5892284537828,gao_local,53
gpt4all-13b-snoozy,825.924073770746,13.976849826609893,798.5299514932657,853.3181960482262,gao_local,54
mpt-7b-chat,810.3287097963359,9.167833924906933,792.3600854872739,828.297334105398,gao_local,55
RWKV-4-Raven-14B,794.9317719320646,8.321401185878898,778.6221253068331,811.2414185572961,gao_local,56
chatglm2-6b,794.3292679711321,12.49796292720583,769.833710753692,818.8248251885725,gao_local,57
alpaca-13b,793.717366994891,7.512060724216272,778.9939985257492,808.4407354640327,gao_local,58
oasst-pythia-12b,775.1965834433279,7.27940226269022,760.9292171794757,789.4639497071802,gao_local,59
fastchat-t5-3b,766.0778497305766,8.887601634158402,748.6584706186868,783.4972288424665,gao_local,60
chatglm-6b,746.0097199484437,7.985968198012131,730.3575098986578,761.6619299982298,gao_local,61
stablelm-tuned-alpha-7b,711.3953225535763,10.368093995797564,691.0742317334872,731.7164133736655,gao_local,62
dolly-v2-12b,708.8804247248283,10.237328674869348,688.8156292241854,728.9452202254715,gao_local,63
llama-13b,684.9988223422481,12.590322402637653,660.3222438793305,709.6754008051657,gao_local,64
