competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1146.0272270050493,3.3394134575932277,1139.4820968986783,1152.5723571114204,gao_local,1
gpt-4-0125-preview,1140.5021047008138,8.324613833544449,1124.1861614018628,1156.818047999765,gao_local,2
gpt-4-0314,1073.9435315390472,4.3939720555347845,1065.3315045611237,1082.555558516971,gao_local,3
gpt-4-0613,1055.5143297832653,3.4649158795418957,1048.7232194499022,1062.3054401166282,gao_local,4
qwen1.5-72b-chat,1043.3072112455957,11.408076866808736,1020.947791453786,1065.6666310374053,gao_local,5
mistral-medium,1041.3998504287563,4.673529371299104,1032.23990118032,1050.5597996771926,gao_local,6
claude-1,1031.0918726286277,4.361488188798626,1022.5435128595857,1039.64023239767,gao_local,7
qwen1.5-7b-chat,1023.6250328160064,18.31094464043974,987.7362407978378,1059.513824834175,gao_local,8
gemini-pro-dev-api,1016.3543198701557,7.010625970811569,1002.6137454582839,1030.0948942820276,gao_local,9
claude-2.0,1014.1229550342284,5.452389500923901,1003.4364679827332,1024.8094420857235,gao_local,10
gemini-pro,1013.4036018979194,6.989839313045324,999.7037685866284,1027.1034352092104,gao_local,11
mixtral-8x7b-instruct-v0.1,1013.036404526163,4.484443775403674,1004.247056235677,1021.825752816649,gao_local,12
yi-34b-chat,1003.3262636509123,7.050417005054966,989.5077002450158,1017.1448270568087,gao_local,13
gpt-3.5-turbo-0613,1000.0,3.1956960016035705,993.7365509313183,1006.2634490686817,gao_local,14
starling-lm-7b-alpha,999.4004725005383,7.782702221683778,984.1466564436382,1014.6542885574383,gao_local,15
wizardlm-70b,997.8184190274468,6.641194234512924,984.8019175134664,1010.8349205414272,gao_local,16
llama-2-70b-chat,997.6346598422181,4.584484762682739,988.6492348196872,1006.6200848647488,gao_local,17
claude-2.1,996.7704880985864,3.628082911238112,989.6595762596345,1003.8813999375384,gao_local,18
nous-hermes-2-mixtral-8x7b-dpo,993.0434772488757,14.7398527330182,964.1538967547357,1021.9330577430155,gao_local,19
gpt-3.5-turbo-0314,991.846941859467,8.007524913683888,976.1524814233394,1007.5414022955947,gao_local,20
claude-instant-1,990.8293749320769,4.194427835694552,982.6084474383633,999.0503024257905,gao_local,21
vicuna-33b,989.4241960254574,4.3919179899694685,980.8161949420637,998.032197108851,gao_local,22
pplx-70b-online,989.2354955767231,7.124739466706971,975.2712628227464,1003.1997283306999,gao_local,23
gpt-3.5-turbo-0125,986.3995524562556,9.12239889720219,968.5199791651314,1004.2791257473798,gao_local,24
tulu-2-dpo-70b,981.1697625393125,7.67382263483882,966.1293465512802,996.2101785273449,gao_local,25
mistral-7b-instruct-v0.2,972.7269815439776,26.130773871856636,921.5116058669782,1023.9423572209768,gao_local,26
solar-10.7b-instruct-v1.0,972.488018565562,9.179135382947377,954.4972438057679,990.4787933253562,gao_local,27
deepseek-llm-67b-chat,969.1951122652417,9.760178881693854,950.0655131744534,988.3247113560301,gao_local,28
llama2-70b-steerlm-chat,968.590134167794,10.504997486183782,948.0007174371899,989.1795508983979,gao_local,29
openchat-3.5,966.976803473029,6.688448275423744,953.8676857407394,980.0859212053185,gao_local,30
openhermes-2.5-mistral-7b,965.12578330604,8.767545076111212,947.9417107240306,982.3098558880496,gao_local,31
wizardlm-13b,957.4116154583384,6.821899260412065,944.0409386017703,970.7822923149065,gao_local,32
dolphin-2.2.1-mistral-7b,955.898353288054,13.805631076428883,928.8398135944063,982.9568929817015,gao_local,33
gpt-3.5-turbo-1106,954.2439872257755,4.744280970204061,944.9453673916368,963.5426070599142,gao_local,34
openchat-3.5-0106,950.7595968825738,17.00942641941212,917.421733702842,984.0974600623056,gao_local,35
codellama-34b-instruct,949.1161524501512,7.090505095180751,935.2190178313991,963.0132870689032,gao_local,36
llama-2-13b-chat,944.5145654251966,5.260940788669842,934.203310954606,954.8258198957873,gao_local,37
zephyr-7b-beta,943.7497739129313,5.463338468037046,933.0418272802265,954.4577205456361,gao_local,38
llama-2-7b-chat,941.6164746277259,6.276353681108389,929.315047458518,953.9179017969337,gao_local,39
pplx-7b-online,939.417723348746,7.6749360333844905,924.3751251396637,954.4603215578284,gao_local,40
guanaco-33b,934.6108502057922,10.22779282407073,914.5647446292763,954.656955782308,gao_local,41
mpt-30b-chat,927.6603720486205,11.063081595009438,905.9771305643741,949.343613532867,gao_local,42
zephyr-7b-alpha,926.3783381847783,13.554483589556456,899.8120385202085,952.9446378493482,gao_local,43
vicuna-13b,925.7512360195292,4.688524027677505,916.5618977846307,934.9405742544278,gao_local,44
stripedhyena-nous-7b,918.3926501052647,9.053555389185705,900.6480076104222,936.1372926001072,gao_local,45
falcon-180b-chat,913.2980556610219,16.357171891789154,881.2385878641843,945.3575234578595,gao_local,46
qwen-14b-chat,907.187116821787,8.393095891864728,890.7369511549409,923.6372824886329,gao_local,47
qwen1.5-4b-chat,903.2823832272709,19.468147277342638,865.1255157179578,941.4392507365839,gao_local,48
palm-2,901.6174603283614,6.2081524399955335,889.4497051354357,913.785215521287,gao_local,49
mistral-7b-instruct,900.0492390408078,6.810300249914057,886.701295827072,913.3971822545435,gao_local,50
vicuna-7b,883.9025803465332,6.893031569686384,870.3924867256503,897.4126739674161,gao_local,51
koala-13b,871.3580796765403,6.8755551884257,857.8822391335085,884.8339202195723,gao_local,52
chatglm3-6b,841.5972892832818,9.321038506725227,823.3283895115894,859.8661890549743,gao_local,53
gpt4all-13b-snoozy,826.530467579224,13.973191661798339,799.1435151730238,853.9174199854241,gao_local,54
mpt-7b-chat,810.6615900620188,9.166925242930965,792.6947467369031,828.6284333871347,gao_local,55
RWKV-4-Raven-14B,795.2420545081833,8.320619964729786,778.933939048268,811.5501699680987,gao_local,56
chatglm2-6b,794.1513385746829,12.50280594668708,769.646289213483,818.6563879358828,gao_local,57
alpaca-13b,794.0409070994285,7.511305406175666,779.3190190264431,808.7627951724138,gao_local,58
oasst-pythia-12b,775.4638771353684,7.279073234712786,761.1971557545019,789.730598516235,gao_local,59
fastchat-t5-3b,766.4385695489025,8.886484055607772,749.0213808507218,783.8557582470831,gao_local,60
chatglm-6b,746.3547258999743,7.985204717265589,730.7040122449544,762.0054395549942,gao_local,61
stablelm-tuned-alpha-7b,711.9733940775332,10.365557778014152,691.6572741529563,732.2895140021099,gao_local,62
dolly-v2-12b,709.4653999279687,10.234563312503639,689.4060244379666,729.5247754179709,gao_local,63
llama-13b,685.5949518446308,12.587140980318125,660.9246088548791,710.2652948343825,gao_local,64
