top_player,outside_player,top_rank,outside_rank,initial_gap,top_ci_lower,top_ci_upper,outside_ci_lower,outside_ci_upper,initial_overlap
yi-34b-chat,qwen1.5-7b-chat,12,32,0.24726004202427052,989.7061230214364,1017.3478543494749,924.528260814447,996.6187790794189,True
gpt-3.5-turbo-0613,qwen1.5-7b-chat,13,32,0.2269570630985484,993.7364208246977,1006.2635791753023,924.528260814447,996.6187790794189,True
starling-lm-7b-alpha,qwen1.5-7b-chat,14,32,0.2190900276854427,983.3792004026499,1013.8875115422707,924.528260814447,996.6187790794189,True
starling-lm-7b-alpha,dolphin-2.2.1-mistral-7b,14,34,0.2434362744074813,983.3792004026499,1013.8875115422707,929.2900352447516,983.398252163965,True
wizardlm-70b,qwen1.5-7b-chat,15,32,0.21485873262619865,984.8815085724914,1010.915100896002,924.528260814447,996.6187790794189,True
llama-2-70b-chat,qwen1.5-7b-chat,16,32,0.2118542037438065,988.3908026996813,1006.3619265173385,924.528260814447,996.6187790794189,True
claude-2.1,qwen1.5-7b-chat,17,32,0.2084574995383615,989.6750853477683,1003.8975079547855,924.528260814447,996.6187790794189,True
gpt-3.5-turbo-0125,qwen1.5-7b-chat,18,32,0.19278932198102114,976.2084170172562,1011.920493841591,924.528260814447,996.6187790794189,True
gpt-3.5-turbo-0125,dolphin-2.2.1-mistral-7b,18,34,0.21713556870305975,976.2084170172562,1011.920493841591,929.2900352447516,983.398252163965,True
nous-hermes-2-mixtral-8x7b-dpo,qwen1.5-7b-chat,19,32,0.19164306963224997,964.9733859047043,1022.757276098191,924.528260814447,996.6187790794189,True
nous-hermes-2-mixtral-8x7b-dpo,wizardlm-13b,19,33,0.21030558092515877,964.9733859047043,1022.757276098191,943.9600074305642,970.7030119249276,True
nous-hermes-2-mixtral-8x7b-dpo,dolphin-2.2.1-mistral-7b,19,34,0.21598931635428859,964.9733859047043,1022.757276098191,929.2900352447516,983.398252163965,True
gpt-3.5-turbo-0314,qwen1.5-7b-chat,20,32,0.1778959799580599,975.7827609837612,1007.17167286895,924.528260814447,996.6187790794189,True
gpt-3.5-turbo-0314,dolphin-2.2.1-mistral-7b,20,34,0.2022422266800985,975.7827609837612,1007.17167286895,929.2900352447516,983.398252163965,True
claude-instant-1,qwen1.5-7b-chat,21,32,0.1723403290664827,982.2912051099055,998.7329979223316,924.528260814447,996.6187790794189,True
claude-instant-1,dolphin-2.2.1-mistral-7b,21,34,0.1966865757885213,982.2912051099055,998.7329979223316,929.2900352447516,983.398252163965,True
vicuna-33b,qwen1.5-7b-chat,22,32,0.1661272680440759,980.8244889131455,998.041075624884,924.528260814447,996.6187790794189,True
vicuna-33b,dolphin-2.2.1-mistral-7b,22,34,0.19047351476611452,980.8244889131455,998.041075624884,929.2900352447516,983.398252163965,True
pplx-70b-online,qwen1.5-7b-chat,23,32,0.16493778635226877,975.2616010694284,1003.1906952005397,924.528260814447,996.6187790794189,True
pplx-70b-online,dolphin-2.2.1-mistral-7b,23,34,0.18928403307430738,975.2616010694284,1003.1906952005397,929.2900352447516,983.398252163965,True
tulu-2-dpo-70b,qwen1.5-7b-chat,24,32,0.1182405323535149,966.0731930439943,996.1548154406191,924.528260814447,996.6187790794189,True
tulu-2-dpo-70b,wizardlm-13b,24,33,0.1369030436464237,966.0731930439943,996.1548154406191,943.9600074305642,970.7030119249276,True
tulu-2-dpo-70b,dolphin-2.2.1-mistral-7b,24,34,0.1425867790755535,966.0731930439943,996.1548154406191,929.2900352447516,983.398252163965,True
mistral-7b-instruct-v0.2,qwen1.5-7b-chat,25,32,0.08765163001591744,924.6125608032746,1026.987774487182,924.528260814447,996.6187790794189,True
mistral-7b-instruct-v0.2,wizardlm-13b,25,33,0.10631414130882624,924.6125608032746,1026.987774487182,943.9600074305642,970.7030119249276,True
mistral-7b-instruct-v0.2,dolphin-2.2.1-mistral-7b,25,34,0.11199787673795605,924.6125608032746,1026.987774487182,929.2900352447516,983.398252163965,True
mistral-7b-instruct-v0.2,gpt-3.5-turbo-1106,25,35,0.12297098037375839,924.6125608032746,1026.987774487182,945.1394683996597,963.7363723223517,True
mistral-7b-instruct-v0.2,codellama-34b-instruct,25,36,0.15342451626961437,924.6125608032746,1026.987774487182,935.2501649966449,963.0450336501563,True
mistral-7b-instruct-v0.2,llama-2-13b-chat,25,37,0.17983199185478896,924.6125608032746,1026.987774487182,934.2483962164883,954.8719056882039,True
mistral-7b-instruct-v0.2,zephyr-7b-beta,25,38,0.18385717498119045,924.6125608032746,1026.987774487182,933.1533126816313,954.5684973667039,True
mistral-7b-instruct-v0.2,llama-2-7b-chat,25,39,0.1978554854097855,924.6125608032746,1026.987774487182,929.127294469605,953.7310043986442,True
mistral-7b-instruct-v0.2,pplx-7b-online,25,40,0.209914133268662,924.6125608032746,1026.987774487182,924.2911517757755,954.377543713014,True
mistral-7b-instruct-v0.2,guanaco-33b,25,41,0.2365375287255058,924.6125608032746,1026.987774487182,914.6603958570556,954.7583846425856,True
mistral-7b-instruct-v0.2,mpt-30b-chat,25,42,0.2788242554311312,924.6125608032746,1026.987774487182,905.6783930209604,949.0484738258776,True
mistral-7b-instruct-v0.2,zephyr-7b-alpha,25,43,0.28233570085762194,924.6125608032746,1026.987774487182,900.1893336661876,953.3175320828669,True
mistral-7b-instruct-v0.2,vicuna-13b,25,44,0.29000446244860134,924.6125608032746,1026.987774487182,916.230968174218,934.6114969012414,True
mistral-7b-instruct-v0.2,stripedhyena-nous-7b,25,45,0.3321784590078948,924.6125608032746,1026.987774487182,900.3477903086884,935.8419275783647,True
mistral-7b-instruct-v0.2,falcon-180b-chat,25,46,0.3559584131383361,924.6125608032746,1026.987774487182,881.9146703451534,946.0130452548892,True
mistral-7b-instruct-v0.2,qwen1.5-4b-chat,25,48,0.41389643750810867,924.6125608032746,1026.987774487182,865.7564547989698,942.0415293801382,True
solar-10.7b-instruct-v1.0,qwen1.5-7b-chat,26,32,0.06959954470240931,954.6739669597745,990.6544314998794,924.528260814447,996.6187790794189,True
solar-10.7b-instruct-v1.0,wizardlm-13b,26,33,0.08826205599531811,954.6739669597745,990.6544314998794,943.9600074305642,970.7030119249276,True
solar-10.7b-instruct-v1.0,dolphin-2.2.1-mistral-7b,26,34,0.09394579142444792,954.6739669597745,990.6544314998794,929.2900352447516,983.398252163965,True
solar-10.7b-instruct-v1.0,gpt-3.5-turbo-1106,26,35,0.10491889506025026,954.6739669597745,990.6544314998794,945.1394683996597,963.7363723223517,True
solar-10.7b-instruct-v1.0,codellama-34b-instruct,26,36,0.13537243095610624,954.6739669597745,990.6544314998794,935.2501649966449,963.0450336501563,True
solar-10.7b-instruct-v1.0,llama-2-13b-chat,26,37,0.16177990654128083,954.6739669597745,990.6544314998794,934.2483962164883,954.8719056882039,True
solar-10.7b-instruct-v1.0,guanaco-33b,26,41,0.21848544341199766,954.6739669597745,990.6544314998794,914.6603958570556,954.7583846425856,True
deepseek-llm-67b-chat,qwen1.5-7b-chat,27,32,0.050441469490333485,950.2056314556785,988.4665699251818,924.528260814447,996.6187790794189,True
deepseek-llm-67b-chat,wizardlm-13b,27,33,0.06910398078324229,950.2056314556785,988.4665699251818,943.9600074305642,970.7030119249276,True
deepseek-llm-67b-chat,dolphin-2.2.1-mistral-7b,27,34,0.0747877162123721,950.2056314556785,988.4665699251818,929.2900352447516,983.398252163965,True
deepseek-llm-67b-chat,gpt-3.5-turbo-1106,27,35,0.08576081984817444,950.2056314556785,988.4665699251818,945.1394683996597,963.7363723223517,True
deepseek-llm-67b-chat,codellama-34b-instruct,27,36,0.11621435574403041,950.2056314556785,988.4665699251818,935.2501649966449,963.0450336501563,True
deepseek-llm-67b-chat,llama-2-13b-chat,27,37,0.142621831329205,950.2056314556785,988.4665699251818,934.2483962164883,954.8719056882039,True
deepseek-llm-67b-chat,zephyr-7b-beta,27,38,0.1466470144556065,950.2056314556785,988.4665699251818,933.1533126816313,954.5684973667039,True
deepseek-llm-67b-chat,llama-2-7b-chat,27,39,0.16064532488420155,950.2056314556785,988.4665699251818,929.127294469605,953.7310043986442,True
deepseek-llm-67b-chat,pplx-7b-online,27,40,0.17270397274307805,950.2056314556785,988.4665699251818,924.2911517757755,954.377543713014,True
deepseek-llm-67b-chat,guanaco-33b,27,41,0.19932736819992183,950.2056314556785,988.4665699251818,914.6603958570556,954.7583846425856,True
