competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1146.222105229851,3.3396999961659963,1139.6764135181973,1152.767796941505,gao_local,1
gpt-4-0125-preview,1140.8349497903982,8.324194185324691,1124.519828986844,1157.1500705939523,gao_local,2
gpt-4-0314,1073.9366175226103,4.394726076344198,1065.3231126910566,1082.5501223541637,gao_local,3
gpt-4-0613,1055.3906391938883,3.4648704227825684,1048.5996179541364,1062.1816604336402,gao_local,4
qwen1.5-72b-chat,1051.8820615825227,11.439210024893523,1029.461621922142,1074.3025012429036,gao_local,5
mistral-medium,1041.5878838696958,4.673839775524668,1032.4273262401566,1050.7484414992348,gao_local,6
claude-1,1031.0449095644021,4.361891506333029,1022.4957593075181,1039.594059821286,gao_local,7
gemini-pro-dev-api,1016.3546964827304,7.011287048630669,1002.6128263821422,1030.0965665833187,gao_local,8
claude-2.0,1014.4198426954201,5.452909653291286,1003.7323361640184,1025.1073492268217,gao_local,9
gemini-pro,1013.5219038151739,6.990005401093364,999.8217449772905,1027.2220626530573,gao_local,10
mixtral-8x7b-instruct-v0.1,1013.2140426691471,4.484728542876658,1004.4241362446701,1022.0039490936242,gao_local,11
yi-34b-chat,1003.529341718182,7.05160337722027,989.7084530655692,1017.3502303707946,gao_local,12
gpt-3.5-turbo-0613,1000.0,3.195771897239905,993.7364021786045,1006.2635978213955,gao_local,13
starling-lm-7b-alpha,998.6626158096877,7.782838756092726,983.4085321502636,1013.916699469112,gao_local,14
wizardlm-70b,997.8837563364305,6.641377349842372,984.8668959229993,1010.9006167498616,gao_local,15
llama-2-70b-chat,997.3853675498275,4.584563327022855,988.3997885440195,1006.3709465556354,gao_local,16
claude-2.1,996.7853366958591,3.6282402299065666,989.6741165179828,1003.8965568737352,gao_local,17
gpt-3.5-turbo-0125,994.1329182288717,9.110181924715036,976.2772897638224,1011.988546693921,gao_local,18
nous-hermes-2-mixtral-8x7b-dpo,993.9349237684755,14.74068356573919,965.0437148721252,1022.8261326648258,gao_local,19
gpt-3.5-turbo-0314,991.4524778878829,8.007561473677873,975.7579457954838,1007.1470099802821,gao_local,20
claude-instant-1,990.5033529198256,4.194434357147683,982.2824126442988,998.7242931953525,gao_local,21
vicuna-33b,989.4240928703359,4.392085420838082,980.8157636284699,998.032422112202,gao_local,22
pplx-70b-online,989.231185349531,7.124898618484967,975.2666406638012,1003.1957300352607,gao_local,23
tulu-2-dpo-70b,981.1165583457685,7.674025634423975,966.0757444858604,996.1573722056766,gao_local,24
mistral-7b-instruct-v0.2,975.7951729955488,26.116817694566556,924.6071509233999,1026.9831950676976,gao_local,25
solar-10.7b-instruct-v1.0,972.6686785536409,9.178861825582723,954.6784399564292,990.6589171508526,gao_local,26
deepseek-llm-67b-chat,969.3435620794584,9.760621222103671,950.2130960173978,988.4740281415188,gao_local,27
llama2-70b-steerlm-chat,968.3827861131302,10.506454800242985,947.7905130994561,988.9750591268045,gao_local,28
openchat-3.5,966.3637993049687,6.688264583713066,953.2550416018162,979.472557008121,gao_local,29
openhermes-2.5-mistral-7b,964.9929634551613,8.768139681227186,947.8077254685395,982.1782014417831,gao_local,30
qwen1.5-7b-chat,962.4841565774741,18.328708758698337,926.5605475273014,998.4077656276467,gao_local,31
openchat-3.5-0106,962.0542240501179,16.945666593585305,928.8413278326672,995.2671202675687,gao_local,32
wizardlm-13b,957.0512684689392,6.819473815348657,943.6853453973418,970.4171915405365,gao_local,33
dolphin-2.2.1-mistral-7b,956.3321037195418,13.803451910756959,929.2778351121276,983.386372326956,gao_local,34
gpt-3.5-turbo-1106,954.4420152255782,4.74419948996185,945.1435550897796,963.7404753613766,gao_local,35
codellama-34b-instruct,949.1343561525164,7.090696135344509,935.2368471019238,963.031865203109,gao_local,36
