competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1146.221420213317,3.339699383843347,1139.6757297017934,1152.7671107248407,gao_local,1
gpt-4-0125-preview,1140.8205341985445,8.32425228747295,1124.5052995168724,1157.1357688802166,gao_local,2
gpt-4-0314,1073.9438680588657,4.394701173203945,1065.3304120365701,1082.5573240811614,gao_local,3
gpt-4-0613,1055.3948453786652,3.4648566212850636,1048.6038511893514,1062.1858395679792,gao_local,4
qwen1.5-72b-chat,1051.7810312160784,11.439611411166798,1029.359804853058,1074.2022575790986,gao_local,5
mistral-medium,1041.5808423039946,4.673842935352673,1032.4202784813065,1050.7414061266827,gao_local,6
claude-1,1031.060304510452,4.361864775730317,1022.5112066445865,1039.6094023763171,gao_local,7
gemini-pro-dev-api,1016.3520387853383,7.011294124279291,1002.6101548167336,1030.093922753943,gao_local,8
claude-2.0,1014.4364627178791,5.452875419753191,1003.7490232829791,1025.123902152779,gao_local,9
gemini-pro,1013.5254977388176,6.989998629334575,999.8253521733375,1027.2256433042978,gao_local,10
mixtral-8x7b-instruct-v0.1,1013.2034979641095,4.48473920959943,1004.41357063324,1021.993425294979,gao_local,11
yi-34b-chat,1003.5312764802794,7.051589933086513,989.7104141776846,1017.3521387828741,gao_local,12
gpt-3.5-turbo-0613,1000.0,3.1957668379025295,993.7364120947236,1006.2635879052764,gao_local,13
starling-lm-7b-alpha,998.6606441252794,7.782834321999001,983.4065691565193,1013.9147190940397,gao_local,14
wizardlm-70b,997.9025629192699,6.641344455950937,984.8857669766813,1010.9193588618585,gao_local,15
llama-2-70b-chat,997.3842804321569,4.584552363364933,988.3987229147236,1006.3698379495901,gao_local,16
claude-2.1,996.7907326292276,3.628234779679211,989.6795231336007,1003.9019421248545,gao_local,17
gpt-3.5-turbo-0125,994.039948724998,9.110497783654328,976.1837011878035,1011.8961962621925,gao_local,18
nous-hermes-2-mixtral-8x7b-dpo,993.8597120114066,14.741062043162302,964.967761312938,1022.7516627098751,gao_local,19
gpt-3.5-turbo-0314,991.4831544430222,8.007519920536227,975.7887037932841,1007.1776050927601,gao_local,20
claude-instant-1,990.5166192430369,4.194410477826084,982.2957257701204,998.7375127159535,gao_local,21
vicuna-33b,989.4377172935933,4.392066302809082,980.8294255223755,998.0460090648111,gao_local,22
pplx-70b-online,989.2312143099589,7.124898276355706,975.2666702947902,1003.1957583251276,gao_local,23
tulu-2-dpo-70b,981.1177620533455,7.674025683308462,966.0769480976255,996.1585760090654,gao_local,24
mistral-7b-instruct-v0.2,975.777028550258,26.11685310175919,924.5889370812868,1026.9651200192293,gao_local,25
solar-10.7b-instruct-v1.0,972.6699114457499,9.178855553343988,954.6796851419002,990.6601377495996,gao_local,26
deepseek-llm-67b-chat,969.3400438956123,9.760614738745698,950.2095905406999,988.4704972505247,gao_local,27
llama2-70b-steerlm-chat,968.3809788472872,10.506456842841336,947.7887018301938,988.9732558643806,gao_local,28
openchat-3.5,966.3505681276218,6.688284572282251,953.2417712475938,979.4593650076499,gao_local,29
openhermes-2.5-mistral-7b,964.9919739550651,8.768140134889869,947.8067350792808,982.1772128308494,gao_local,30
qwen1.5-7b-chat,962.4860120120361,18.328565570205015,926.5626836061534,998.4093404179188,gao_local,31
openchat-3.5-0106,960.3753871171057,16.914741961741075,927.2231020643047,993.5276721699065,gao_local,32
wizardlm-13b,957.3365095284115,6.822318007141,943.965011943336,970.7080071134869,gao_local,33
dolphin-2.2.1-mistral-7b,956.3454678116643,13.8033953201226,929.2913101198553,983.3996255034733,gao_local,34
gpt-3.5-turbo-1106,954.4425887351979,4.744192920061273,945.1441414761679,963.7410359942279,gao_local,35
codellama-34b-instruct,949.1529777996245,7.090656971930153,935.2555455079136,963.0504100913355,gao_local,36
llama-2-13b-chat,944.5629895077402,5.26119513821095,934.2512365212095,954.8747424942709,gao_local,37
zephyr-7b-beta,943.8651875498409,5.463160017838964,933.1575906730973,954.5727844265845,gao_local,38
llama-2-7b-chat,941.4345852314121,6.276572728675773,929.1327287368613,953.7364417259629,gao_local,39
pplx-7b-online,939.3444135848238,7.675226875565777,924.301245335541,954.3875818341066,gao_local,40
guanaco-33b,934.7169327109528,10.229263385622792,914.6679448867579,954.7659205351479,gao_local,41
mpt-30b-chat,927.3699815271173,11.06399192963521,905.6849558197905,949.0550072344441,gao_local,42
zephyr-7b-alpha,926.7543935596883,13.553370998702697,900.1902745331214,953.3185125862553,gao_local,43
vicuna-13b,925.4267787134199,4.688994309553189,916.2365187429824,934.6170386838573,gao_local,44
stripedhyena-nous-7b,918.1021778860077,9.054787843927736,900.3551198242582,935.849235947757,gao_local,45
falcon-180b-chat,913.9649813896351,16.351949890880633,881.9157485265054,946.0142142527648,gao_local,46
qwen-14b-chat,906.9277694305459,8.394206052367528,890.4754278890974,923.3801109719944,gao_local,47
qwen1.5-4b-chat,903.8612562923146,19.46108306910943,865.7182343767179,942.0042782079113,gao_local,48
palm-2,901.4549011119169,6.208675408885643,889.2861209188015,913.6236813050323,gao_local,49
mistral-7b-instruct,899.976336087826,6.810628689913435,886.6277491435204,913.3249230321316,gao_local,50
vicuna-7b,883.7794699300927,6.893452604715997,870.2685510957155,897.2903887644699,gao_local,51
koala-13b,871.0666249599172,6.876207567839361,857.5895057767303,884.5437441431042,gao_local,52
chatglm3-6b,841.0798399960979,9.326734563716442,822.7997761578488,859.359903834347,gao_local,53
gpt4all-13b-snoozy,825.6691545788993,13.979745442979182,798.2693569976223,853.0689521601765,gao_local,54
mpt-7b-chat,810.3922680452959,9.167829304906185,792.4236527912688,828.3608832993228,gao_local,55
RWKV-4-Raven-14B,794.9913081055163,8.32129781046391,778.681864092375,811.3007521186576,gao_local,56
chatglm2-6b,794.6202122289241,12.495045447061425,770.1303731674925,819.1100512903556,gao_local,57
alpaca-13b,793.7203231403204,7.512197053009705,778.9966874716534,808.4439588089873,gao_local,58
oasst-pythia-12b,775.0858305944034,7.280146923840318,760.8170048215163,789.3546563672904,gao_local,59
fastchat-t5-3b,766.1771288496375,8.887219653817635,748.7584984054585,783.5957592938166,gao_local,60
chatglm-6b,746.0458210313939,7.985995288554857,730.3935578851197,761.6980841776679,gao_local,61
stablelm-tuned-alpha-7b,711.3061333667528,10.36913573986498,690.9830007658104,731.6292659676952,gao_local,62
dolly-v2-12b,708.7824046432986,10.238566504937191,688.7151830403036,728.8496262462936,gao_local,63
llama-13b,685.262716620478,12.587650320307143,660.5913753426919,709.9340578982642,gao_local,64
