competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1146.2214350458173,3.3396994178308326,1139.6757444676796,1152.767125623955,gao_local,1
gpt-4-0125-preview,1140.8204892974752,8.324252769021925,1124.5052536719843,1157.135724922966,gao_local,2
gpt-4-0314,1073.9439102778786,4.394701124280374,1065.3304543514714,1082.557366204286,gao_local,3
gpt-4-0613,1055.3948440575434,3.464856596987154,1048.6038499158526,1062.1858381992342,gao_local,4
qwen1.5-72b-chat,1051.7809764155352,11.439612401148922,1029.3597481121856,1074.2022047188848,gao_local,5
mistral-medium,1041.580847669408,4.673842917061512,1032.4202838825697,1050.7414114562462,gao_local,6
claude-1,1031.060365608032,4.361864826636748,1022.511267642392,1039.6094635736722,gao_local,7
gemini-pro-dev-api,1016.3520964969609,7.011293935935612,1002.6102128975031,1030.0939800964188,gao_local,8
claude-2.0,1014.4364354702988,5.452875456009705,1003.7489959643373,1025.1238749762601,gao_local,9
gemini-pro,1013.5255196361977,6.989998637341758,999.8253740550238,1027.2256652173717,gao_local,10
mixtral-8x7b-instruct-v0.1,1013.2035440849087,4.484739157590657,1004.4136168559744,1021.9934713138429,gao_local,11
yi-34b-chat,1003.5312755513993,7.051590005528588,989.7104131068206,1017.352137995978,gao_local,12
gpt-3.5-turbo-0613,1000.0,3.1957668876762924,993.7364119971688,1006.2635880028312,gao_local,13
starling-lm-7b-alpha,998.6608538190875,7.782833955928066,983.406779567813,1013.9149280703618,gao_local,14
wizardlm-70b,997.9025809711766,6.641344496123506,984.8857849498512,1010.919376992502,gao_local,15
llama-2-70b-chat,997.3843306657354,4.5845523673397075,988.3987731405118,1006.3698881909592,gao_local,16
claude-2.1,996.7907471439555,3.628234792583916,989.6795376230359,1003.9019566648751,gao_local,17
gpt-3.5-turbo-0125,994.0398468697297,9.11049866325327,976.183597608553,1011.8960961309065,gao_local,18
nous-hermes-2-mixtral-8x7b-dpo,993.8594519622021,14.74106266000612,964.9675000547419,1022.7514038696622,gao_local,19
gpt-3.5-turbo-0314,991.4831567766929,8.007519574820002,975.7887068045462,1007.1776067488397,gao_local,20
claude-instant-1,990.5166243726871,4.194410456077985,982.2957309423962,998.7375178029782,gao_local,21
vicuna-33b,989.4377514921326,4.39206630975249,980.829459707306,998.0460432769593,gao_local,22
pplx-70b-online,989.2312430391406,7.124898283252369,975.2666990104548,1003.1957870678266,gao_local,23
tulu-2-dpo-70b,981.1177768231111,7.674025723423066,966.0769627887679,996.1585908574542,gao_local,24
mistral-7b-instruct-v0.2,975.7766115498139,26.116856970561855,924.5885124981288,1026.964710601499,gao_local,25
solar-10.7b-instruct-v1.0,972.6699741588268,9.178855459131364,954.6797480396305,990.6602002780231,gao_local,26
deepseek-llm-67b-chat,969.3400610274605,9.760614701366984,950.209607745809,988.4705143091119,gao_local,27
llama2-70b-steerlm-chat,968.3809398446789,10.506457081483822,947.7886623598548,988.973217329503,gao_local,28
openchat-3.5,966.350640070847,6.688284597567305,953.2418431412611,979.4594370004329,gao_local,29
openhermes-2.5-mistral-7b,964.9919433737987,8.76814023613232,947.8067042995827,982.1771824480145,gao_local,30
qwen1.5-7b-chat,962.504734397111,18.431331485547965,926.3799884983177,998.629480295904,gao_local,31
openchat-3.5-0106,960.3605128372208,16.995582182279815,927.0497838636617,993.6712418107799,gao_local,32
wizardlm-13b,957.3365424595081,6.822317986283832,943.965044915312,970.7080400037042,gao_local,33
dolphin-2.2.1-mistral-7b,956.3452979207786,13.803396413336328,929.2911380863101,983.3994577552472,gao_local,34
gpt-3.5-turbo-1106,954.442596847863,4.7441929471180515,945.1441495358027,963.7410441599234,gao_local,35
codellama-34b-instruct,949.1529938606438,7.090657035419681,935.2555614444957,963.050426276792,gao_local,36
llama-2-13b-chat,944.562989758186,5.261195141222123,934.2512367657534,954.8747427506183,gao_local,37
zephyr-7b-beta,943.8651990934832,5.463160069092733,933.1576021162841,954.5727960706823,gao_local,38
llama-2-7b-chat,941.4346104766413,6.276572756566952,929.1327539274248,953.7364670258578,gao_local,39
pplx-7b-online,939.3445024772384,7.675226709390503,924.3013345536532,954.3876704008237,gao_local,40
guanaco-33b,934.717091756647,10.22926345010305,914.6681038060732,954.7660797072209,gao_local,41
mpt-30b-chat,927.3700587880963,11.063991796427992,905.685033341851,949.0550842343418,gao_local,42
zephyr-7b-alpha,926.7542851308509,13.55337143898329,900.1901652413499,953.318405020352,gao_local,43
vicuna-13b,925.4268109012089,4.688994272331594,916.2365510037243,934.6170707986934,gao_local,44
stripedhyena-nous-7b,918.1021823878855,9.054788010245574,900.3551240001591,935.8492407756119,gao_local,45
falcon-180b-chat,913.9648842144074,16.351950758787993,881.9156496502105,946.0141187786044,gao_local,46
qwen-14b-chat,906.9277244820056,8.394206398625956,890.4753822619031,923.3800667021081,gao_local,47
qwen1.5-4b-chat,903.8606705991946,19.461089006006848,865.7176370474928,942.0037041508964,gao_local,48
palm-2,901.4549371083042,6.208675360371682,889.2861570102745,913.6237172063339,gao_local,49
mistral-7b-instruct,899.9763209386281,6.810628755904744,886.6277338649819,913.3249080122742,gao_local,50
vicuna-7b,883.7794968922514,6.893452572917843,870.2685781201974,897.2904156643053,gao_local,51
koala-13b,871.0666769351137,6.8762075110607,857.589557863211,884.5437960070165,gao_local,52
chatglm3-6b,841.0797247536592,9.326735859531764,822.7996583756587,859.3597911316597,gao_local,53
gpt4all-13b-snoozy,825.6692366107005,13.979745194159596,798.2694395171009,853.0690337043002,gao_local,54
mpt-7b-chat,810.3923304673898,9.167829178392477,792.4237154613252,828.3609454734545,gao_local,55
RWKV-4-Raven-14B,794.9913758313457,8.321297654210257,778.6819321244559,811.3008195382355,gao_local,56
chatglm2-6b,794.619969551,12.49504918829619,770.1301231568831,819.109815945117,gao_local,57
alpaca-13b,793.7203778203407,7.51219695813794,778.996742337619,808.4440133030624,gao_local,58
oasst-pythia-12b,775.0858745177945,7.28014688307946,760.8170488247972,789.3547002107917,gao_local,59
fastchat-t5-3b,766.1771925874509,8.887219456587804,748.7585625298351,783.5958226450666,gao_local,60
chatglm-6b,746.0458906283495,7.985995093312091,730.3936278647442,761.6981533919547,gao_local,61
stablelm-tuned-alpha-7b,711.3061292721152,10.369136125237148,690.9829959158571,731.6292626283732,gao_local,62
dolly-v2-12b,708.7824030583731,10.238566894893452,688.7151806910779,728.8496254256684,gao_local,63
llama-13b,685.2628904485937,12.587648728721192,660.5915522902587,709.9342286069286,gao_local,64
