competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1146.2247904040162,3.3396992714348777,1139.679100112809,1152.7704806952231,gao_local,1
gpt-4-0125-preview,1140.8149268009438,8.32428054253333,1124.4996367403708,1157.1302168615166,gao_local,2
gpt-4-0314,1073.950363523315,4.39469630855213,1065.3369170355618,1082.5638100110682,gao_local,3
gpt-4-0613,1055.399272665646,3.464854759467232,1048.608282125428,1062.190263205864,gao_local,4
qwen1.5-72b-chat,1051.7687921757101,11.439710359290647,1029.3473718779308,1074.1902124734895,gao_local,5
mistral-medium,1041.5846240537473,4.673839474570774,1032.4240670140668,1050.7451810934276,gao_local,6
claude-1,1031.065860890203,4.361864763933557,1022.5167630474591,1039.6149587329473,gao_local,7
gemini-pro-dev-api,1016.3604819723503,7.011273290972728,1002.6186388362761,1030.1023251084243,gao_local,8
claude-2.0,1014.4380121357418,5.452877954808136,1003.7505677322255,1025.1254565392583,gao_local,9
gemini-pro,1013.5299599274608,6.989997928462685,999.8298157356644,1027.2301041192572,gao_local,10
mixtral-8x7b-instruct-v0.1,1013.2103039779402,4.484733562066882,1004.4203877160311,1022.0002202398493,gao_local,11
yi-34b-chat,1003.5355285697315,7.051588664875581,989.7146687527844,1017.3563883866784,gao_local,12
gpt-3.5-turbo-0613,1000.0,3.195771601508804,993.7364027582269,1006.2635972417731,gao_local,13
starling-lm-7b-alpha,998.6880996419661,7.782796454560406,983.4340988920218,1013.9421003919106,gao_local,14
wizardlm-70b,997.9068231497317,6.641344411430384,984.8900272944018,1010.9236190050616,gao_local,15
llama-2-70b-chat,997.392212794142,4.584551666984624,988.406656641589,1006.3777689466949,gao_local,16
claude-2.1,996.7951543832339,3.6282340153797485,989.6839463856064,1003.9063623808613,gao_local,17
gpt-3.5-turbo-0125,994.0153175445471,9.110621817380169,976.1588269057171,1011.8718081833771,gao_local,18
nous-hermes-2-mixtral-8x7b-dpo,993.8537756761531,14.741091433668197,964.9617673733514,1022.7457839789547,gao_local,19
gpt-3.5-turbo-0314,991.4890659204096,8.007516587709835,975.7946218028912,1007.1835100379279,gao_local,20
claude-instant-1,990.5211024372641,4.194409063781706,982.3002117358236,998.7419931387046,gao_local,21
vicuna-33b,989.4426776834281,4.392065657190152,980.8343871776001,998.050968189256,gao_local,22
pplx-70b-online,989.2362885355012,7.124897073163067,975.2717468785468,1003.2008301924557,gao_local,23
tulu-2-dpo-70b,981.121511018146,7.674028103908681,966.0806923181367,996.1623297181551,gao_local,24
mistral-7b-instruct-v0.2,975.7535309941518,26.11711008255335,924.5649358520793,1026.9421261362243,gao_local,25
solar-10.7b-instruct-v1.0,972.6756927809639,9.17885239514509,954.6854726670704,990.6659128948575,gao_local,26
deepseek-llm-67b-chat,969.3439857793475,9.760606710741863,950.2135481590335,988.4744233996614,gao_local,27
llama2-70b-steerlm-chat,968.3853614604855,10.506457692608983,947.793082777878,988.9776401430928,gao_local,28
openchat-3.5,966.3606689851057,6.688284876263555,953.2518715092851,979.4694664609261,gao_local,29
openhermes-2.5-mistral-7b,964.9947743735008,8.768141462504401,947.8095328956398,982.1800158513618,gao_local,30
qwen1.5-7b-chat,964.4143555296567,18.369292666876945,928.4112034811022,1000.4175075782113,gao_local,31
