competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
LAL,1087.9451399937286,2.559729840374226,1082.9281616964427,1092.9621182910146,gao_local,1
SAS,1078.7243390476035,3.0557232234157032,1072.7352315829862,1084.713446512221,gao_local,2
OKC,1077.6316291254116,7.224494461641051,1063.471880174086,1091.7913780767371,gao_local,3
BOS,1065.620028751721,2.366860311233904,1060.9810677852654,1070.2589897181767,gao_local,4
INA,1061.3994415194563,9.209264369608572,1043.3496150309156,1079.4492680079973,gao_local,5
UTS,1053.794162164671,11.011642314964513,1032.2117398167034,1075.3765845126388,gao_local,6
STL,1050.0942619834316,5.296694076683732,1039.7129323560048,1060.4755916108584,gao_local,7
SYR,1046.2935489848217,5.680826490165968,1035.1593336616752,1057.427764307968,gao_local,8
PHO,1039.1003642100213,2.801382549579145,1033.6097553059271,1044.5909731141155,gao_local,9
UTA,1038.4639806474313,3.171969621740315,1032.2470344287651,1044.6809268660975,gao_local,10
POR,1027.3903028550292,2.8660239354302117,1021.7729991627563,1033.0076065473022,gao_local,11
HOU,1025.3859876632455,2.882976778135154,1019.7354570098352,1031.0365183166557,gao_local,12
KEN,1025.175184069618,9.19605684817686,1007.1512438474084,1043.1991242918275,gao_local,13
ROC,1024.4807330916408,7.952855058955209,1008.8934236018215,1040.0680425814603,gao_local,14
SEA,1021.8821517465602,2.997092359634124,1016.0079586633371,1027.7563448297833,gao_local,15
MNL,1021.2808226191797,6.366938605393596,1008.8018522608306,1033.7597929775288,gao_local,16
CHI,1016.9120687311733,2.710256738673507,1011.6000631345163,1022.2240743278304,gao_local,17
MIA,1011.9089285009705,3.624336568268623,1004.8053593593125,1019.0124976426285,gao_local,18
DAL,1008.7193273507789,3.2275747152572962,1002.3933971514625,1015.0452575500954,gao_local,19
PHI,1008.2292549530932,2.630582300183228,1003.0734083863656,1013.385101519821,gao_local,20
MIL,1006.6802665377381,2.7923967564942616,1001.2072694644629,1012.1532636110134,gao_local,21
PHW,1000.0,5.820870909110772,988.591302659486,1011.408697340514,gao_local,22
NYK,999.196232660748,2.3862268054890947,994.5193140630453,1003.8731512584507,gao_local,23
NYA,999.011710011871,9.317570940795406,980.749606544515,1017.2738134792269,gao_local,24
BAL,998.7815137208298,6.038717140902463,986.9458456118363,1010.6171818298233,gao_local,25
ATL,997.3188059594027,2.7966533214914984,991.8374661720351,1002.8001457467703,gao_local,26
DET,997.1527531931619,2.5123504653888182,992.2286367644573,1002.0768696218664,gao_local,27
IND,995.272376482873,3.042027461410841,989.3101122185259,1001.23464074722,gao_local,28
CIN,993.39457354156,5.08395313896139,983.4302084901063,1003.3589385930137,gao_local,29
DEN,991.6008059522292,3.0902943576188844,985.5439403096688,997.6576715947895,gao_local,30
MEM,991.5565684441009,5.1235864097553385,981.5145236093016,1001.5986132789003,gao_local,31
ORL,991.2546041888095,3.7525763130921344,983.8996897659108,998.6095186117082,gao_local,32
FTW,990.5589475447656,7.938403647698402,974.9999623005353,1006.1179327889959,gao_local,33
SFW,989.3108732768984,6.450371187042275,976.6683780633807,1001.9533684904161,gao_local,34
CHH,985.8756983864189,5.1471143309653185,975.787539673417,995.9638570994209,gao_local,35
NOH,983.0696852952627,6.382919424383419,970.55939310725,995.5799774832753,gao_local,36
KCK,981.0868662264297,6.221125281575433,968.8936847312303,993.2800477216292,gao_local,37
WSB,978.0973954705788,3.9763364619937187,970.3039192146578,985.8908717265,gao_local,38
GSW,977.8645053836991,2.9394443720990413,972.103300279826,983.6257104875722,gao_local,39
CLE,973.5064333749043,2.878706281442919,967.864272741207,979.1485940086017,gao_local,40
SAC,951.6810077194405,3.58847380094402,944.6477283101246,958.7142871287563,gao_local,41
NJN,945.5525512374753,3.2848456598951294,939.1143720493081,951.9907304256425,gao_local,42
TOR,942.0465541620813,4.436900252449557,933.3503894642835,950.7427188598791,gao_local,43
DNR,937.8822264049161,11.756632656552858,914.839649818605,960.9248029912271,gao_local,44
WAS,932.4774944217653,4.676537907393854,923.311648550937,941.6433402925935,gao_local,45
BUF,932.3021241521709,7.111075451307517,918.3646723762613,946.2395759280805,gao_local,46
LAC,927.495123084169,3.5784831950738125,920.4814249025425,934.5088212657954,gao_local,47
MIN,925.5915595682703,3.9339899159542164,917.8810810174563,933.3020381190843,gao_local,48
VIR,922.7372758294673,10.824372753959805,901.5218950764695,943.9526565824651,gao_local,49
CHA,898.3631558871674,6.429247267972822,885.7620627942381,910.9642489800967,gao_local,50
