competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
LAL,1087.9482213257509,2.5597296691999305,1082.9312433639604,1092.9651992875413,gao_local,1
SAS,1078.7279082486132,3.055723356498904,1072.7388005231574,1084.7170159740688,gao_local,2
OKC,1077.623969480462,7.2244462796607625,1063.4643149640826,1091.7836239968415,gao_local,3
BOS,1065.622165147649,2.3668596924502827,1060.983205393987,1070.2611249013112,gao_local,4
INA,1061.2367137057372,8.927372310742708,1043.7393855001014,1078.734041911373,gao_local,5
UTS,1053.8197181195453,11.011588378587307,1032.2374014849345,1075.4020347541564,gao_local,6
STL,1050.0954975768757,5.29669621925077,1039.7141637500947,1060.4768314036567,gao_local,7
SYR,1046.2925765103791,5.680827809663435,1035.1583586010652,1057.426794419693,gao_local,8
PHO,1039.1037756690246,2.8013822667534107,1033.6131673192588,1044.5943840187906,gao_local,9
UTA,1038.4672147103904,3.171969172747493,1032.250269371734,1044.6841600490468,gao_local,10
POR,1027.3938605101773,2.8660235781218644,1021.7765575182159,1033.011163502139,gao_local,11
HOU,1025.3894570880293,2.882976377205688,1019.7389272204265,1031.0399869556322,gao_local,12
KEN,1025.2948766856296,8.91628187186857,1007.8192853407597,1042.7704680304994,gao_local,13
ROC,1024.466627619801,7.952854630132209,1008.8793189704594,1040.053936269143,gao_local,14
SEA,1021.8854857327138,2.9970920901155167,1016.0112931777376,1027.7596782876901,gao_local,15
MNL,1021.2725698759964,6.366940171183172,1008.7935964487561,1033.7515433032368,gao_local,16
CHI,1016.9154196470411,2.7102564387821646,1011.6034146381603,1022.2274246559219,gao_local,17
MIA,1011.9120328192058,3.624335895929567,1004.8084649953082,1019.0156006431035,gao_local,18
DAL,1008.7226145555031,3.227574236501243,1002.3966852945313,1015.0485438164749,gao_local,19
PHI,1008.232242735961,2.6305818736351525,1003.0763970052521,1013.3880884666697,gao_local,20
MIL,1006.683953456478,2.7923964197150832,1001.2109570432779,1012.1569498696781,gao_local,21
PHW,1000.0,5.820870479859668,988.5913035008027,1011.4086964991973,gao_local,22
NYK,999.1984862068213,2.386226296159023,994.5215686073872,1003.8754038062553,gao_local,23
NYA,998.9684298477088,9.317486484383418,980.7064919118785,1017.230367783539,gao_local,24
BAL,998.7832184337703,6.03871760346185,986.9475494181771,1010.6188874493637,gao_local,25
ATL,997.322468748438,2.7966528537631232,991.8411298778011,1002.8038076190749,gao_local,26
DET,997.1547142284301,2.5123502400732636,992.230598241336,1002.0788302155242,gao_local,27
IND,995.2757092408717,3.042027053335797,989.3134457763371,1001.2379727054064,gao_local,28
CIN,993.3963000531355,5.083952995302016,983.4319352832491,1003.360664823022,gao_local,29
DEN,991.6039698849263,3.0902939469585324,985.5471050472455,997.6608347226072,gao_local,30
MEM,991.5600431026093,5.123584384672346,981.5180022368996,1001.6020839683189,gao_local,31
ORL,991.2578553006465,3.752575680829556,983.9029421169596,998.6127684843333,gao_local,32
FTW,990.5500472872064,7.938416075911084,974.9910376841269,1006.109056890286,gao_local,33
SFW,989.3100736036334,6.45037707492756,976.6675668500727,1001.9525803571943,gao_local,34
CHH,985.8797989978367,5.147113425318898,975.7916420598691,995.9679559358044,gao_local,35
NOH,983.0735845732289,6.382917016263078,970.5632971050454,995.5838720414124,gao_local,36
KCK,981.091391975828,6.22112269777441,968.8982155447854,993.2845684068704,gao_local,37
WSB,978.1010750565142,3.9763356722896663,970.3076003483847,985.8945497646438,gao_local,38
GSW,977.8675509255607,2.939444144351291,972.1063462680651,983.6287555830564,gao_local,39
CLE,973.5098020840223,2.878705758732928,967.8676424748177,979.1519616932269,gao_local,40
SAC,951.6845352391488,3.588472872151161,944.6512576502334,958.7178128280641,gao_local,41
NJN,945.556103006494,3.284844843933915,939.1179254175814,951.9942805954066,gao_local,42
TOR,942.0512293614782,4.436896713538318,933.3550715998191,950.7473871231375,gao_local,43
DNR,937.9582013082252,11.755646519729265,914.9175575145721,960.9988451018781,gao_local,44
WAS,932.4814160476378,4.676535498300853,923.315574898545,941.6472571967305,gao_local,45
BUF,932.3130009973688,7.111038847114468,918.3756209643592,946.2503810303783,gao_local,46
LAC,927.4986896189797,3.578481989137025,920.4849938009459,934.5123854370136,gao_local,47
MIN,925.5963738404967,3.9339854422314473,917.8859040580181,933.3068436229751,gao_local,48
VIR,922.722060333154,10.824445466196785,901.5065370667903,943.9375835995176,gao_local,49
CHA,898.3682503307405,6.429236822972935,885.7671777096348,910.9693229518462,gao_local,50
