competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
LAL,1087.958836495624,2.559727744639194,1082.941862305903,1092.9758106853446,gao_local,1
SAS,1078.7415665871843,3.0557255031677886,1072.7524546543348,1084.7306785200335,gao_local,2
OKC,1077.6244544088586,7.224398247026429,1063.4648940347124,1091.7840147830045,gao_local,3
BOS,1065.630998446924,2.3668592747447916,1060.9920395119495,1070.2699573818984,gao_local,4
UTS,1051.5866511235922,10.99499457108549,1030.0368577540512,1073.1364444931332,gao_local,5
STL,1050.1174842180076,5.296723493499643,1039.7360969346812,1060.4988715013342,gao_local,6
SYR,1046.3065070859398,5.680853018683342,1035.1722397678548,1057.4407744040248,gao_local,7
KEN,1044.0017777364728,8.95274701039632,1026.4547160333973,1061.5488394395481,gao_local,8
INA,1042.7491832396947,8.85366936668857,1025.3963101499596,1060.1020563294298,gao_local,9
PHO,1039.1158351543977,2.8013817214607024,1033.625227873386,1044.6064424354097,gao_local,10
UTA,1038.4792546670003,3.1719684970376125,1032.2623106527108,1044.6961986812896,gao_local,11
POR,1027.4071236580621,2.8660234422191233,1021.7898209324651,1033.0244263836591,gao_local,12
HOU,1025.4024803018274,2.8829761148825077,1019.7519509483685,1031.0530096552864,gao_local,13
ROC,1024.419883406,7.952862365184771,1008.8325595962339,1040.0072072157661,gao_local,14
SEA,1021.898258271748,2.9970916865024977,1016.0240665078387,1027.7724500356574,gao_local,15
MNL,1021.2500537740992,6.366953317395484,1008.7710545807563,1033.7290529674422,gao_local,16
CHI,1016.9271374440403,2.710256598493855,1011.6151321221303,1022.2391427659503,gao_local,17
MIA,1011.9228109686501,3.6243363993556623,1004.8192421580554,1019.0263797792447,gao_local,18
DAL,1008.7348630346255,3.227573649629728,1002.4089349239007,1015.0607911453502,gao_local,19
PHI,1008.2425769082962,2.6305817584875193,1003.0867314032726,1013.3984224133197,gao_local,20
MIL,1006.6976094224151,2.7923965980296486,1001.2246126597248,1012.1706061851054,gao_local,21
NYA,1000.5645250405522,9.313681693241733,982.3100443583285,1018.8190057227761,gao_local,22
PHW,1000.0,5.820880849674641,988.5912831763388,1011.4087168236612,gao_local,23
NYK,999.2061612837676,2.386226499792233,994.5292432852199,1003.8830792823155,gao_local,24
BAL,998.7933076606577,6.038719574789704,986.9576347813329,1010.6289805399825,gao_local,25
ATL,997.3362323807514,2.7966526101651805,991.8548939875577,1002.8175707739451,gao_local,26
DET,997.1620088098094,2.512351126233136,992.2378910858739,1002.0861265337451,gao_local,27
IND,995.2877708959718,3.0420270644307523,989.3255074096915,1001.2500343822521,gao_local,28
CIN,993.408265041557,5.083952255345223,983.4439017219593,1003.3726283611549,gao_local,29
DEN,991.6157405916103,3.0902934993916142,985.5588766311446,997.6726045520762,gao_local,30
MEM,991.5733404895501,5.123582907736324,981.5313025185819,1001.6153784605184,gao_local,31
ORL,991.2692234204732,3.7525764977304568,983.9143086356901,998.6241382052564,gao_local,32
FTW,990.5108705832702,7.938495252113629,974.9517057976852,1006.0700353688551,gao_local,33
SFW,989.3069084539404,6.4504061598106945,976.6643446950561,1001.9494722128246,gao_local,34
CHH,985.894151352882,5.147110848961751,975.8059994644816,995.9823032412825,gao_local,35
NOH,983.084101696926,6.382918298853293,970.5738117149119,995.5943916789402,gao_local,36
KCK,981.1068617303303,6.221115865942012,968.9136986894332,993.3000247712273,gao_local,37
WSB,978.1164808665557,3.9763314940152736,970.3230143476934,985.9099473854179,gao_local,38
GSW,977.8796059049213,2.9394436106622215,972.1184022934369,983.6408095164056,gao_local,39
CLE,973.5227421439681,2.8787047776278856,967.8805844576941,979.1648998302421,gao_local,40
SAC,951.6989847520107,3.5884686026812758,944.6657155311026,958.7322539729188,gao_local,41
NJN,945.5693279328824,3.2848423890862737,939.1311551553828,952.007500710382,gao_local,42
TOR,942.0631363500682,4.436896243380885,933.3669795099006,950.7592931902359,gao_local,43
DNR,936.5202914262007,11.735560144915201,913.5190162037634,959.5215666486382,gao_local,44
WAS,932.4863532066789,4.676551660039851,923.3204803811599,941.6522260321981,gao_local,45
BUF,932.3329131325185,7.110998592160043,918.3956119977697,946.2702142672672,gao_local,46
LAC,927.5137075492498,3.578474869922862,920.5000256846193,934.5273894138803,gao_local,47
MIN,925.6149239333413,3.9339687394238747,917.904486887764,933.3253609789185,gao_local,48
VIR,924.5775714334874,10.826097429516304,903.3588103785138,945.796332488461,gao_local,49
CHA,898.3519530842422,6.429373261638303,885.7506130482662,910.9532931202181,gao_local,50
