rank,competitor,rating,standard_error,ci_lower,ci_upper,ci_method
1,Novak Djokovic,1000.0,36.56196182037269,928.339871627941,1071.660128372059,gao_local
2,Carlos Alcaraz,921.9065107360552,36.81289324053262,849.7545658178933,994.0584556542171,gao_local
3,Daniil Medvedev,835.3258218369111,30.301488006909764,775.9359966653956,894.7156470084267,gao_local
4,Jannik Sinner,817.0437747079715,30.594274067100997,757.0800994033057,877.0074500126372,gao_local
5,Holger Rune,773.6219245042778,47.20702006280574,681.0978653637188,866.1459836448369,gao_local
6,Alexander Zverev,761.5922846415226,30.44178048058914,701.9274912742934,821.2570780087517,gao_local
7,Taylor Fritz,752.5301544781596,40.92363467133555,672.3213044058673,832.7390045504519,gao_local
8,Stefanos Tsitsipas,710.583922504922,33.2863153627313,645.3439432159264,775.8239017939177,gao_local
9,Andrey Rublev,707.066346514307,35.062290621152464,638.3455196813718,775.7871733472425,gao_local
10,Hubert Hurkacz,667.6108316130124,46.02494856526761,577.4035900347794,757.8180731912454,gao_local
