competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
Novak Djokovic,1000.0,37.01394371761229,927.4540033876873,1072.5459966123126,gao_local,1
Carlos Alcaraz,924.5324009790967,37.32634858827342,851.3741020716933,997.6906998865,gao_local,2
Daniil Medvedev,861.1037774644703,31.46529202056532,799.4329383411267,922.774616587814,gao_local,3
Jannik Sinner,860.1793161026274,32.116326674455536,797.2324725049714,923.1261597002832,gao_local,4
Holger Rune,770.6668501594013,48.11738505099677,676.3585084292017,864.9751918896011,gao_local,5
Alexander Zverev,752.1772592634546,31.32178117753264,690.7876962238461,813.5668223030632,gao_local,6
Taylor Fritz,751.7509535814162,41.4813636473207,670.4489748030585,833.0529323597739,gao_local,7
Andrey Rublev,742.6374194309121,37.01289490322391,670.0934784570272,815.1813604047971,gao_local,8
Hubert Hurkacz,658.8573014846022,47.400149631494166,565.954715345064,751.7598876241402,gao_local,9
Stefanos Tsitsipas,569.087376244832,44.65551330933663,481.56417844738303,656.6105740422807,gao_local,10
