competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
Novak Djokovic,1000.0,36.62398946564087,928.2182996771695,1071.7817003228304,gao_local,1
Carlos Alcaraz,918.8037476114199,36.958374214124795,846.3666652245815,991.2408299982584,gao_local,2
Daniil Medvedev,834.3271901003052,30.408176419927123,774.7282594817079,893.9261207189024,gao_local,3
Jannik Sinner,819.5643055560154,30.64940673204422,759.4925722136893,879.6360388983414,gao_local,4
Andrey Rublev,779.5302409668143,34.550777656479674,711.811961122263,847.2485208113658,gao_local,5
Taylor Fritz,775.7490808259028,40.75615645390562,695.8684820279681,855.6296796238374,gao_local,6
Holger Rune,775.3720808256934,47.34255860981909,682.5823710144713,868.1617906369154,gao_local,7
Alexander Zverev,750.4294982339793,30.745191547439063,690.1700301032135,810.6889663647452,gao_local,8
Hubert Hurkacz,668.220015822187,46.31819218801012,577.4380273046827,759.0020043396912,gao_local,9
Stefanos Tsitsipas,640.7274956173718,35.713624795735115,570.7300772603544,710.7249139743892,gao_local,10
