top_player,outside_player,top_rank,outside_rank,initial_gap,top_ci_lower,top_ci_upper,outside_ci_lower,outside_ci_upper,initial_overlap
Jannik Sinner,Andrey Rublev,4,9,0.6330809668113864,757.0800994033057,877.0074500126372,638.3455196813718,775.7871733472425,True
Jannik Sinner,Hubert Hurkacz,4,10,0.8602051679317004,757.0800994033057,877.0074500126372,577.4035900347794,757.8180731912454,True
Holger Rune,Andrey Rublev,5,9,0.38312470433827284,681.0978653637188,866.1459836448369,638.3455196813718,775.7871733472425,True
Holger Rune,Hubert Hurkacz,5,10,0.6102489054585869,681.0978653637188,866.1459836448369,577.4035900347794,757.8180731912454,True
Alexander Zverev,Andrey Rublev,6,9,0.31387653078310485,701.9274912742934,821.2570780087517,638.3455196813718,775.7871733472425,True
Alexander Zverev,Hubert Hurkacz,6,10,0.5410007319034189,701.9274912742934,821.2570780087517,577.4035900347794,757.8180731912454,True
Taylor Fritz,Andrey Rublev,7,9,0.2617107162207766,672.3213044058673,832.7390045504519,638.3455196813718,775.7871733472425,True
Taylor Fritz,Hubert Hurkacz,7,10,0.48883491734109064,672.3213044058673,832.7390045504519,577.4035900347794,757.8180731912454,True
Stefanos Tsitsipas,Andrey Rublev,8,9,0.0202487950986594,645.3439432159264,775.8239017939177,638.3455196813718,775.7871733472425,True
Stefanos Tsitsipas,Hubert Hurkacz,8,10,0.24737299621897346,645.3439432159264,775.8239017939177,577.4035900347794,757.8180731912454,True
