competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
Novak Djokovic,1000.0,36.569920294006735,928.3242733062464,1071.6757266937536,gao_local,1
Carlos Alcaraz,921.9165560192586,36.8226139630485,849.7455588350618,994.0875532034554,gao_local,2
Daniil Medvedev,835.1065026938545,30.297899529024715,775.7237108097531,894.4892945779561,gao_local,3
Jannik Sinner,817.5478176266852,30.589455656719263,757.5935862328304,877.50204902054,gao_local,4
Holger Rune,773.3306009986783,47.20864026719143,680.8033663158758,865.8578356814808,gao_local,5
Alexander Zverev,761.3603746183121,30.446029607726683,701.6872531149277,821.0334961216965,gao_local,6
Taylor Fritz,753.0055929223342,40.909594168501265,672.8242617299219,833.1869241147465,gao_local,7
Andrey Rublev,712.9412775507349,34.60072987917668,645.1250931487496,780.7574619527201,gao_local,8
Stefanos Tsitsipas,705.5336648115597,33.0950878115621,640.6684846357075,770.398844987412,gao_local,9
Hubert Hurkacz,668.3291207500047,45.998603294006486,578.1735149546064,758.4847265454027,gao_local,10
