competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
Novak Djokovic,1000.0,36.57132380607949,928.321522473132,1071.6784775268682,gao_local,1
Carlos Alcaraz,921.9429767153437,36.824480727173295,849.7683207406947,994.1176326899927,gao_local,2
Daniil Medvedev,834.8331580213086,30.3091859989314,775.4282450626773,894.2380709799397,gao_local,3
Jannik Sinner,817.3804998851244,30.59904798392263,757.4074678754232,877.3535318948258,gao_local,4
Holger Rune,773.3944337971217,47.20881030718123,680.8668658420631,865.9220017521801,gao_local,5
Alexander Zverev,761.5652206835839,30.442998306560295,701.8980404213119,821.2324009458559,gao_local,6
Taylor Fritz,752.7900348427954,40.922516506394096,672.583376333517,832.9966933520736,gao_local,7
Andrey Rublev,711.9336268306863,34.63721644050918,644.0459300825697,779.821323578803,gao_local,8
Stefanos Tsitsipas,710.7604143067998,33.292004311990574,645.5092848821462,776.0115437314535,gao_local,9
Hubert Hurkacz,658.6243224254706,45.65136661740818,569.1492880103165,748.0993568406248,gao_local,10
