competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
Novak Djokovic,1000.0,36.57002817639448,928.3240618606518,1071.675938139348,gao_local,1
Carlos Alcaraz,921.9308900253168,36.823476388395434,849.7582025185008,994.1035775321329,gao_local,2
Daniil Medvedev,835.0916495168295,30.2977399777534,775.7091703474734,894.4741286861856,gao_local,3
Jannik Sinner,817.5726389403784,30.589260185881823,757.618790662325,877.5264872184317,gao_local,4
Holger Rune,773.3433659616443,47.20844177438163,680.8165203176001,865.8702116056884,gao_local,5
Alexander Zverev,761.3438009314286,30.446372160185742,701.6700080375617,821.0175938252958,gao_local,6
Taylor Fritz,753.0382399040172,40.90888235541831,672.8583038396113,833.2181759684232,gao_local,7
Andrey Rublev,713.2366521262275,35.302366576996306,644.0452850662842,782.4280191861708,gao_local,8
Stefanos Tsitsipas,705.2994849521094,33.71795772497242,639.2135021789193,771.3854677252995,gao_local,9
Hubert Hurkacz,668.343879388128,45.99841304139139,578.1886464810033,758.4991122952526,gao_local,10
