competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
Novak Djokovic,1000.0,36.572847718344995,928.318535659976,1071.6814643400241,gao_local,1
Carlos Alcaraz,921.8502568984958,36.8284716548444,849.6677788493465,994.032734947645,gao_local,2
Daniil Medvedev,835.2343814215144,30.298035117047156,775.8513237897721,894.6174390532566,gao_local,3
Jannik Sinner,817.8490191033044,30.58529045717142,757.9029513505518,877.795086856057,gao_local,4
Holger Rune,773.5787267930813,47.205574018974694,681.0575018463511,866.0999517398113,gao_local,5
Alexander Zverev,761.3082108829296,30.45195712705106,701.6234716551517,820.9929501107074,gao_local,6
Taylor Fritz,753.6790514945419,40.89582745586756,673.5247025630772,833.8334004260066,gao_local,7
Andrey Rublev,719.3032813939959,34.84237296967469,651.0134852375216,787.5930775504702,gao_local,8
Stefanos Tsitsipas,700.119848703406,33.53450229387308,634.393431967939,765.846265438873,gao_local,9
Hubert Hurkacz,668.5886424123837,45.999771582540404,578.4307468135355,758.7465380112319,gao_local,10
