rank,competitor,rating,standard_error,ci_lower,ci_upper,ci_method
1,gemini-1.5-pro-exp-0801,1138.8489481202728,3.8960127792014125,1131.2129033897302,1146.4849928508152,gao_local
2,gpt-4o-2024-05-13,1131.5516263713757,3.6092009243846923,1124.4777225466132,1138.6255301961385,gao_local
3,claude-3-5-sonnet-20240620,1115.1203540556685,3.1612145450794005,1108.9244873999087,1121.3162207114283,gao_local
4,gemini-1.5-pro-api-0514,1082.4909247622359,3.6030473743236455,1075.42908167397,1089.5527678505018,gao_local
5,gpt-4-turbo-2024-04-09,1077.8616609720636,3.970074477221382,1070.0804579807682,1085.6428639633593,gao_local
6,gpt-4o-mini-2024-07-18,1050.4753816231005,3.8419500605952877,1042.9452978739323,1058.0054653722686,gao_local
7,gemini-1.5-flash-api-0514,1013.9906270615879,3.949432077462831,1006.2498824303736,1021.7313716928023,gao_local
8,claude-3-opus-20240229,1000.0,3.9206754575208795,992.315617308189,1007.684382691811,gao_local
9,internvl2-26b,984.3061142990568,6.3471181536146934,971.8659913123518,996.746237285762,gao_local
10,claude-3-sonnet-20240229,981.262960728386,3.9267351807603506,973.5667011972694,988.9592202595027,gao_local
11,reka-core-20240501,937.6157500203037,4.294172740316201,929.1993261058903,946.0321739347172,gao_local
12,reka-flash-preview-20240611,936.7609436053468,4.401617227822615,928.1339323650835,945.3879548456102,gao_local
13,claude-3-haiku-20240307,934.6251947007393,4.007030681697839,926.7715588796644,942.478830521814,gao_local
14,minicpm-v-2_6,923.3325752049593,9.300315446438004,905.1042918850793,941.5608585248394,gao_local
15,llava-v1.6-34b,920.859692926078,6.164064709277363,908.7783480975199,932.941037754636,gao_local
16,cogvlm2-llama3-chat-19b,913.2161157451808,8.679344161007776,896.2049137801774,930.227317710184,gao_local
17,phi-3-vision-128k-instruct,797.5746578561383,11.94511210137855,774.1626683461428,820.9866473661339,gao_local
