competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gemini-1.5-pro-exp-0801,1138.180982977481,3.896807119084363,1130.5433813693767,1145.8185845855858,gao_local,1
gpt-4o-2024-05-13,1132.665380059565,3.626004684013701,1125.5585414711245,1139.7722186480053,gao_local,2
claude-3-5-sonnet-20240620,1116.2297100957983,3.1752854424287933,1110.0062649880035,1122.453155203593,gao_local,3
gemini-1.5-pro-api-0514,1081.6846222905365,3.606359520321057,1074.616287515404,1088.752957065669,gao_local,4
gpt-4-turbo-2024-04-09,1076.5254267101384,3.9723768219856255,1068.7397112060248,1084.311142214252,gao_local,5
gpt-4o-mini-2024-07-18,1049.0825466603212,3.845824869944034,1041.5448684243825,1056.62022489626,gao_local,6
gemini-1.5-flash-api-0514,1012.7801067332352,3.9531852233890117,1005.0320060711769,1020.5282073952936,gao_local,7
claude-3-opus-20240229,1000.0,3.9232528520659646,992.3105657077067,1007.6894342922933,gao_local,8
internvl2-26b,983.4209161503088,6.350990731384929,970.9732030506467,995.868629249971,gao_local,9
claude-3-sonnet-20240229,980.4606940020395,3.9297514030414344,972.7585227838827,988.1628652201965,gao_local,10
reka-core-20240501,936.3374478162007,4.2975577445394615,927.9143894154222,944.7605062169793,gao_local,11
reka-flash-preview-20240611,935.454318589697,4.4054174386281355,926.8198590731212,944.0887781062728,gao_local,12
claude-3-haiku-20240307,933.8187213842432,4.009608663109294,925.9600328124492,941.6774099560372,gao_local,13
llava-v1.6-34b,920.1777041489192,6.16785644432198,908.0889276562349,932.2664806416036,gao_local,14
cogvlm2-llama3-chat-19b,910.804414510916,8.6925067750236,893.7674142964993,927.8414147253327,gao_local,15
minicpm-v-2_6,887.9619204185906,10.006031072746872,868.350459887818,907.5733809493631,gao_local,16
phi-3-vision-128k-instruct,797.6701851252411,11.934134769009347,774.2797107913356,821.0606594591467,gao_local,17
