competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gemini-1.5-pro-exp-0801,1138.0146286665315,3.895570233071943,1130.3794513104642,1145.6498060225988,gao_local,1
gpt-4o-2024-05-13,1130.4236500576214,3.6104940838223434,1123.3472116869348,1137.5000884283081,gao_local,2
claude-3-5-sonnet-20240620,1115.4273377729937,3.164836093249349,1109.2243730132525,1121.630302532735,gao_local,3
gemini-1.5-pro-api-0514,1081.5659045032176,3.6049550076565597,1074.5003225223234,1088.6314864841115,gao_local,4
gpt-4-turbo-2024-04-09,1077.4011719501038,3.9721635597373037,1069.615874432316,1085.1864694678914,gao_local,5
gpt-4o-mini-2024-07-18,1048.9405602900324,3.844559117692972,1041.405362882919,1056.4757576971456,gao_local,6
gemini-1.5-flash-api-0514,1012.715054592801,3.9517301785673564,1004.969805766189,1020.4603034194131,gao_local,7
claude-3-opus-20240229,1000.0,3.9217330466253437,992.3135444716338,1007.6864555283662,gao_local,8
internvl2-26b,983.332905812551,6.34938496630116,970.8883399546206,995.7774716704813,gao_local,9
claude-3-sonnet-20240229,981.069855786795,3.9273297228006747,973.372430974692,988.767280598898,gao_local,10
reka-core-20240501,936.3579301582859,4.296315048924444,927.9373073961565,944.7785529204152,gao_local,11
claude-3-haiku-20240307,935.8435595975725,4.002124342279873,927.999540025053,943.6875791700921,gao_local,12
reka-flash-preview-20240611,935.446502673161,4.403998655617683,926.8148239201876,944.0781814261345,gao_local,13
llava-v1.6-34b,920.1319411265831,6.165848875539029,908.0470993964099,932.2167828567565,gao_local,14
cogvlm2-llama3-chat-19b,910.7343015200124,8.690878099927225,893.7004934501272,927.7681095898977,gao_local,15
minicpm-v-2_6,888.2020902258641,9.607986614094331,869.3707824982963,907.033397953432,gao_local,16
phi-3-vision-128k-instruct,797.8067577986512,11.928810041118501,774.4267197396392,821.1867958576632,gao_local,17
