dataset_key,dataset_name,k,method,variant,action,candidate_mode,target_top_player,target_outside_player,selected_order,model_a,model_b,winner,match_id,match_copy,outcome,influence,influence_abs,fitted_probability,residual,leverage,objective_value,row_uid
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,0,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,16031,reverse,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,45880
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,1,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,26065,forward,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,26065
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,2,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,26080,forward,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,26080
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,3,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,18660,forward,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,18660
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,4,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,22762,reverse,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,52611
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,5,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,3065,reverse,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,32914
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,6,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,22656,reverse,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,52505
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,7,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,9554,forward,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,9554
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,8,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,13985,reverse,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,43834
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,9,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,6086,reverse,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,35935
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,10,gpt-4o-2024-05-13,minicpm-v-2_6,0.0,26233,reverse,0.0,-0.002260778375621814,0.002260778375621814,0.7682765648711787,-0.7682765648711787,0.0005744852917777456,-0.16024119019176158,56082
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,11,gpt-4o-2024-05-13,minicpm-v-2_6,0.0,6086,forward,0.0,-0.002260778375621814,0.002260778375621814,0.7682765648711787,-0.7682765648711787,0.0005744852917777456,-0.16024119019176158,6086
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,12,gpt-4o-2024-05-13,minicpm-v-2_6,0.0,9292,reverse,0.0,-0.002260778375621814,0.002260778375621814,0.7682765648711787,-0.7682765648711787,0.0005744852917777456,-0.16024119019176158,39141
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,13,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,10745,reverse,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,40594
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,14,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,8429,forward,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,8429
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,15,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,28334,forward,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,28334
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,16,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,16648,reverse,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,46497
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,17,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,18954,forward,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,18954
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,18,gpt-4o-2024-05-13,minicpm-v-2_6,0.0,21420,forward,0.0,-0.002260778375621814,0.002260778375621814,0.7682765648711787,-0.7682765648711787,0.0005744852917777456,-0.16024119019176158,21420
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,19,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,29035,forward,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,29035
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,20,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,9292,forward,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,9292
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,21,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,2661,forward,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,2661
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,22,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,21420,reverse,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,51269
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,23,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,6003,forward,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,6003
vision_arena,Vision Arena,14,ci_aware,drop,drop,,minicpm-v-2_6,llava-v1.6-34b,24,minicpm-v-2_6,gpt-4o-2024-05-13,1.0,22101,forward,1.0,-0.002260778375621814,0.002260778375621814,0.23172343512882135,0.7682765648711787,0.0005744852917777457,-0.16024119019176158,22101
