competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gemini-1.5-pro-exp-0801,1138.8476613587072,3.8959861544255427,1131.2116688117665,1146.483653905648,gao_local,1
gpt-4o-2024-05-13,1131.5407477213614,3.6091908057030007,1124.4668637288505,1138.6146317138723,gao_local,2
claude-3-5-sonnet-20240620,1115.1201755277134,3.1611914551116573,1108.9243541274586,1121.315996927968,gao_local,3
gemini-1.5-pro-api-0514,1082.4805895541353,3.60304501141498,1075.4187510970853,1089.5424280111854,gao_local,4
gpt-4-turbo-2024-04-09,1077.8623081241801,3.9700306380160195,1070.081191056148,1085.6434251922121,gao_local,5
gpt-4o-mini-2024-07-18,1050.4397228715495,3.842043815341256,1042.9094553664559,1057.9699903766432,gao_local,6
gemini-1.5-flash-api-0514,1013.9829582844654,3.9494078947994677,1006.2422610504003,1021.7236555185304,gao_local,7
claude-3-opus-20240229,1000.0,3.920635532043956,992.3156955606859,1007.6843044393141,gao_local,8
internvl2-26b,984.2711689774395,6.347199943122132,971.8308856862454,996.7114522686336,gao_local,9
claude-3-sonnet-20240229,981.2592340456121,3.926697450882958,973.5630484636962,988.9554196275278,gao_local,10
reka-core-20240501,937.6263388386254,4.294062897847071,929.2101302114954,946.0425474657553,gao_local,11
reka-flash-preview-20240611,936.8716244228174,4.400494887967908,928.2468129282477,945.4964359173871,gao_local,12
claude-3-haiku-20240307,934.7117511778665,4.006167686003734,926.859806797271,942.563695558462,gao_local,13
llava-v1.6-34b,921.1108578092213,6.160877361851218,909.0357600668249,933.1859555516179,gao_local,14
minicpm-v-2_6,920.7069665100108,9.288147862542349,902.5025312163451,938.9114018036764,gao_local,15
cogvlm2-llama3-chat-19b,913.6993203676418,8.671080502031774,896.704314876612,930.6943258586715,gao_local,16
phi-3-vision-128k-instruct,798.6428892770849,11.912738827205494,775.2943502185302,821.9914283356395,gao_local,17
