competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gemini-1.5-pro-exp-0801,1138.8303362237034,3.895964755067703,1131.1943856187333,1146.4662868286734,gao_local,1
gpt-4o-2024-05-13,1131.4808315138193,3.609232642170621,1124.4068655233386,1138.5547975043,gao_local,2
claude-3-5-sonnet-20240620,1115.0720225873586,3.161264885792223,1108.8760572656145,1121.2679879091024,gao_local,3
gemini-1.5-pro-api-0514,1082.4455033788938,3.603132001963801,1075.3834944235011,1089.5075123342865,gao_local,4
gpt-4-turbo-2024-04-09,1077.8041802725857,3.970100564416666,1070.0229261513268,1085.5854343938445,gao_local,5
gpt-4o-mini-2024-07-18,1050.4077113976616,3.8420818510671295,1042.877369343915,1057.938053451408,gao_local,6
gemini-1.5-flash-api-0514,1013.922437827333,3.9495119668241894,1006.1815366158477,1021.6633390388184,gao_local,7
claude-3-opus-20240229,1000.0,3.9202138143843026,992.3165221121104,1007.6834778878896,gao_local,8
internvl2-26b,984.4132697893144,6.3446911096161775,971.9779037214353,996.8486358571936,gao_local,9
claude-3-sonnet-20240229,981.2779393872447,3.926195559281889,973.5827374947911,988.9731412796983,gao_local,10
reka-core-20240501,937.6550636449332,4.293306636706253,929.2403372624021,946.0697900274643,gao_local,11
reka-flash-preview-20240611,936.8060945701048,4.400672758490518,928.1809344557169,945.4312546844927,gao_local,12
claude-3-haiku-20240307,934.6521116231919,4.006300533616665,926.7999068660596,942.5043163803241,gao_local,13
llava-v1.6-34b,920.8077515521748,6.164106510810742,908.7263247941167,932.8891783102326,gao_local,14
minicpm-v-2_6,920.6982757718263,9.281305227764253,902.5072517958849,938.8892997477675,gao_local,15
cogvlm2-llama3-chat-19b,913.2110823873725,8.679151788345655,896.2002574658586,930.2219073088863,gao_local,16
phi-3-vision-128k-instruct,797.5166677574105,11.945747201499065,774.103433474052,820.9299020407688,gao_local,17
