competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gemini-1.5-pro-exp-0801,1138.8245033932722,3.8959551515111692,1131.188571610927,1146.4604351756175,gao_local,1
gpt-4o-2024-05-13,1131.475369832208,3.609234714526526,1124.401399779984,1138.5493398844314,gao_local,2
claude-3-5-sonnet-20240620,1115.0718507340653,3.161242955632867,1108.8759283946438,1121.2677730734865,gao_local,3
gemini-1.5-pro-api-0514,1082.4326592947368,3.60312737030504,1075.3706594172286,1089.4946591722453,gao_local,4
gpt-4-turbo-2024-04-09,1077.8071689034123,3.970074063598878,1070.025966722802,1085.5883710840228,gao_local,5
gpt-4o-mini-2024-07-18,1050.3801433861615,3.842156400499701,1042.849655218212,1057.910631554111,gao_local,6
gemini-1.5-flash-api-0514,1013.9802653887178,3.9489913599599196,1006.2403845479366,1021.7201462294992,gao_local,7
claude-3-opus-20240229,1000.0,3.9201848582892214,992.3165788650139,1007.6834211349861,gao_local,8
internvl2-26b,984.3858875478646,6.344759464043281,971.9503875077702,996.8213875879591,gao_local,9
claude-3-sonnet-20240229,981.2734839023378,3.926172405341057,973.5783273907743,988.9686404139013,gao_local,10
reka-core-20240501,937.6633043053598,4.293221011754457,929.2487457446505,946.0778628660693,gao_local,11
reka-flash-preview-20240611,936.8164418617589,4.400563666948619,928.191495562864,945.4413881606537,gao_local,12
claude-3-haiku-20240307,934.6551835081727,4.006235694772016,926.8031058328409,942.5072611835047,gao_local,13
llava-v1.6-34b,921.0566553523709,6.160951981951254,908.9814113572658,933.1318993474761,gao_local,14
minicpm-v-2_6,918.6701819207314,9.271970837047487,900.4974530144126,936.8429108270501,gao_local,15
cogvlm2-llama3-chat-19b,913.6755189896945,8.671010532201693,896.6806506370117,930.6703873423774,gao_local,16
phi-3-vision-128k-instruct,798.575960307047,11.913355692419282,775.22621221489,821.925708399204,gao_local,17
