competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gemini-1.5-pro-exp-0801,1138.9126301942433,3.8961608004965784,1131.2762953472934,1146.5489650411935,gao_local,1
gpt-4o-2024-05-13,1131.9671049595838,3.6118950417995657,1124.8879207617179,1139.0462891574498,gao_local,2
claude-3-5-sonnet-20240620,1115.1573551520244,3.161440948612973,1108.9610447534928,1121.353665550556,gao_local,3
gemini-1.5-pro-api-0514,1082.509511759746,3.603319643323446,1075.4471350340464,1089.5718884854457,gao_local,4
gpt-4-turbo-2024-04-09,1077.8939893364968,3.970334276097208,1070.1122771487615,1085.6757015242322,gao_local,5
gpt-4o-mini-2024-07-18,1050.4851551315885,3.842308979723123,1042.9543679138562,1058.0159423493205,gao_local,6
gemini-1.5-flash-api-0514,1013.9985755581603,3.9497216885847037,1006.2572632995775,1021.739887816743,gao_local,7
claude-3-opus-20240229,1000.0,3.9209679920001634,992.3150439511453,1007.6849560488547,gao_local,8
internvl2-26b,984.3061671109903,6.347570762962416,971.8651570262645,996.747177195716,gao_local,9
claude-3-sonnet-20240229,981.2761331133567,3.926999355189997,973.5793558098721,988.972910416841,gao_local,10
reka-core-20240501,937.6244743732736,4.294420104507367,929.2075656339546,946.0413831125928,gao_local,11
reka-flash-preview-20240611,936.7732403383229,4.401897411566201,928.145679948013,945.4008007286327,gao_local,12
claude-3-haiku-20240307,934.6390768720055,4.0072780329162105,926.7849562514511,942.4931974925597,gao_local,13
llava-v1.6-34b,920.9155526197926,6.164192575040367,908.8339571789443,932.9971480606409,gao_local,14
minicpm-v-2_6,920.5144558750048,9.346760970035783,902.1951410016301,938.8337707483797,gao_local,15
cogvlm2-llama3-chat-19b,913.30324125618,8.679390760098109,896.2919479586379,930.314534553722,gao_local,16
phi-3-vision-128k-instruct,797.5671837313492,11.946416040610295,774.1526385474215,820.981728915277,gao_local,17
