competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gemini-1.5-pro-exp-0801,1138.8868457719734,3.8961140249930666,1131.2506026033257,1146.5230889406212,gao_local,1
gpt-4o-2024-05-13,1131.5619162346572,3.609432587443143,1124.4875583586436,1138.6362741106711,gao_local,2
claude-3-5-sonnet-20240620,1115.4467729188566,3.162079072735544,1109.249211820027,1121.644334017686,gao_local,3
gemini-1.5-pro-api-0514,1082.5083099559424,3.603322226618045,1075.4459281670784,1089.5706917448065,gao_local,4
gpt-4-turbo-2024-04-09,1077.8834934799831,3.970329338104539,1070.1017909705356,1085.6651959894307,gao_local,5
gpt-4o-mini-2024-07-18,1050.4579943154342,3.842279996707956,1042.927263903368,1057.9887247275005,gao_local,6
gemini-1.5-flash-api-0514,1013.991431005429,3.9497443929552865,1006.2500742470976,1021.7327877637604,gao_local,7
claude-3-opus-20240229,1000.0,3.9209782705631078,992.3150238055322,1007.6849761944678,gao_local,8
internvl2-26b,984.2766167572778,6.347570576419039,971.8356070381703,996.7176264763852,gao_local,9
claude-3-sonnet-20240229,981.272323194041,3.927010547471869,973.5755239540872,988.9691224339948,gao_local,10
reka-core-20240501,937.6053260020632,4.294407451136085,929.188442062896,946.0222099412304,gao_local,11
reka-flash-preview-20240611,936.7520122285107,4.4018625925798505,928.1245200821601,945.3795043748613,gao_local,12
claude-3-haiku-20240307,934.6323213738289,4.0072953578215005,926.7781667970842,942.4864759505735,gao_local,13
llava-v1.6-34b,920.9142144489251,6.164377992195201,908.8322555971312,932.9961733007191,gao_local,14
minicpm-v-2_6,920.3738507630362,9.323918818140786,902.099305684705,938.6483958413675,gao_local,15
cogvlm2-llama3-chat-19b,913.2721151481551,8.679343856076112,896.260913780807,930.2833165155033,gao_local,16
phi-3-vision-128k-instruct,797.5499317770309,11.94639418014239,774.135429438833,820.9644341152289,gao_local,17
