competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
claude-3-5-sonnet-20241022,1000.0,6.447979359479932,987.3621926823616,1012.6378073176384,gao_local,1
claude-3-5-haiku-20241022,882.3569182491917,7.96496386759892,866.7458759305349,897.9679605678484,gao_local,2
o1-mini-2024-09-12,815.2634529307379,6.184051647352178,803.142934423392,827.3839714380838,gao_local,3
o1-2024-12-17,811.8872846517693,9.102608888792773,794.0464990643814,829.7280702391573,gao_local,4
llama-v3.1-405b-instruct,786.4216284367544,31.817352592875796,724.0607632713059,848.7824936022032,gao_local,5
gemini-2.0-flash-thinking-exp-1219,776.8623780041447,6.242753447083457,764.6268060834979,789.0979499247916,gao_local,6
gemini-exp-1206,758.6652844540572,5.316042875060181,748.2460318786685,769.084537029446,gao_local,7
gemini-2.0-flash-exp,714.2461567922378,5.427539409473372,703.6083750249982,724.8839385594774,gao_local,8
deepseek-v3,703.4431415679868,8.382479396168682,687.0137838503471,719.8724992856264,gao_local,9
gpt-4o-2024-11-20,698.4421983269154,5.23869520523452,688.1745443986731,708.7098522551578,gao_local,10
qwen-2.5-coder-32b-instruct,645.036514877224,5.687996918635304,633.888245772524,656.184783981924,gao_local,11
gemini-1.5-pro-002,629.7009866163828,5.777557529636717,618.3771819396866,641.024791293079,gao_local,12
llama-v3.3-70b-instruct,-156.89338206300044,444.833046177925,-1028.750131704976,714.9633675789753,gao_local,13
