competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
claude-3-5-sonnet-20241022,1000.0,6.452900779473525,987.3525468764215,1012.6474531235785,gao_local,1
claude-3-5-haiku-20241022,883.7784221480454,7.953235511424272,868.1903669850888,899.366477311002,gao_local,2
o1-mini-2024-09-12,817.444792803802,6.176003469411761,805.3400484353606,829.5495371722435,gao_local,3
o1-2024-12-17,813.788969263988,9.09340567782137,795.9662216386461,831.6117168893298,gao_local,4
gemini-2.0-flash-thinking-exp-1219,779.2084135299499,6.235766063954704,766.9865366285815,791.4302904313181,gao_local,5
gemini-exp-1206,757.0832258816286,5.2742872876726175,746.7458127536727,767.4206390095842,gao_local,6
gemini-2.0-flash-exp,718.2325660961926,5.377180721833996,707.693485543035,728.7716466493504,gao_local,7
deepseek-v3,705.3741933518046,8.369855889103519,688.9695772533712,721.778809450238,gao_local,8
gpt-4o-2024-11-20,702.9730650384313,5.189082889080835,692.8026494630399,713.1434806138227,gao_local,9
qwen-2.5-coder-32b-instruct,649.1203518299542,5.633894712599747,638.078121100568,660.1625825593403,gao_local,10
gemini-1.5-pro-002,635.5305933872717,5.7054562126688415,624.3481046950703,646.7130820794728,gao_local,11
llama-v3.1-405b-instruct,606.0072419546882,17.871080136211603,570.9805685228844,641.033915386492,gao_local,12
llama-v3.3-70b-instruct,427.2093159885211,71.35834373746994,287.34953226665084,567.0690997103916,gao_local,13
