competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
claude-3-5-sonnet-20241022,1000.0,6.455178342912076,987.3480829341094,1012.6519170658906,gao_local,1
claude-3-5-haiku-20241022,884.6646348862231,7.953087414138,869.0768699886138,900.2523997838324,gao_local,2
o1-mini-2024-09-12,817.7885351715239,6.174801594453426,805.6861464347147,829.8909239083331,gao_local,3
o1-2024-12-17,814.462480322785,9.09258501764823,796.6413411618261,832.283619483744,gao_local,4
gemini-2.0-flash-thinking-exp-1219,779.5438506878428,6.235526943470255,767.3224424540119,791.7652589216736,gao_local,5
gemini-exp-1206,761.6853746775392,5.284378902100355,751.3281823487592,772.0425670063192,gao_local,6
gemini-2.0-flash-exp,717.6647054713842,5.38593254377982,707.1084716624136,728.220939280355,gao_local,7
deepseek-v3,706.3910053397693,8.362348010164862,690.001104413656,722.7809062658827,gao_local,8
gpt-4o-2024-11-20,702.7510435981344,5.195997583531765,692.567075470655,712.9350117256138,gao_local,9
qwen-2.5-coder-32b-instruct,649.1603176872387,5.639735290813922,638.1066396349039,660.2139957395735,gao_local,10
gemini-1.5-pro-002,634.5482961165042,5.71632461406642,623.3445057489942,645.7520864840142,gao_local,11
llama-v3.1-405b-instruct,534.2661816594124,19.25576797299863,496.5255699376752,572.0067933811495,gao_local,12
llama-v3.3-70b-instruct,527.1086475660106,52.54663853233686,424.11912853398564,630.0981665980355,gao_local,13
