competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
claude-3-5-sonnet-20241022,1000.0,6.455663954193528,987.3471311534872,1012.6528688465128,gao_local,1
claude-3-5-haiku-20241022,884.8146990698383,7.953914125200995,869.22531384832,900.4040842913566,gao_local,2
o1-mini-2024-09-12,817.7799074287154,6.174964810391099,805.6771987945466,829.8826160628842,gao_local,3
o1-2024-12-17,814.6918740701503,9.093197972505532,796.8695335397468,832.5142146005538,gao_local,4
gemini-2.0-flash-thinking-exp-1219,779.6936666470629,6.234542769021067,767.474187359707,791.9131459344188,gao_local,5
gemini-exp-1206,761.8720474761986,5.284199638545501,751.5152064975299,772.2288884548674,gao_local,6
gemini-2.0-flash-exp,717.5207376925515,5.386545981687018,706.963301567376,728.078173817727,gao_local,7
deepseek-v3,706.4430537328194,8.362579423057008,690.052699245772,722.8334082198669,gao_local,8
gpt-4o-2024-11-20,702.5410876095352,5.1967025422520035,692.3557377883535,712.7264374307169,gao_local,9
qwen-2.5-coder-32b-instruct,648.9385483384469,5.640792306210384,637.8827985740038,659.9942981028898,gao_local,10
gemini-1.5-pro-002,634.6126278003101,5.716233925491448,623.4090151791409,645.8162404214793,gao_local,11
llama-v3.1-405b-instruct,531.9296147228727,19.37279237997611,493.95963937814753,569.899590067598,gao_local,12
llama-v3.3-70b-instruct,530.1825984289466,51.996390394349255,428.2715459299376,632.0936509279555,gao_local,13
