competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
claude-3-5-sonnet-20241022,1000.0,6.459854981393073,987.338916891118,1012.661083108882,gao_local,1
claude-3-5-haiku-20241022,884.346798545331,7.953971196288949,868.7573014665358,899.9362956241264,gao_local,2
o1-mini-2024-09-12,817.59474237661,6.175157177201677,805.4916567104208,829.6978280427994,gao_local,3
o1-2024-12-17,814.4701182000592,9.091133538840191,796.6518238852883,832.2884125148302,gao_local,4
gemini-2.0-flash-thinking-exp-1219,779.1875984509131,6.235226596490602,766.9667788863453,791.408418015481,gao_local,5
gemini-exp-1206,761.7473707159431,5.2850707830343495,751.3888223254509,772.1059191064353,gao_local,6
gemini-2.0-flash-exp,716.9554632409469,5.3871935334919625,706.3967579375555,727.5141685443382,gao_local,7
deepseek-v3,706.0165139200355,8.36421839537535,689.6229471062724,722.4100807337986,gao_local,8
gpt-4o-2024-11-20,701.9307755262405,5.197606126191079,691.7436547130812,712.1178963393999,gao_local,9
qwen-2.5-coder-32b-instruct,648.4886922507692,5.641687307074021,637.4311883168673,659.5461961846711,gao_local,10
gemini-1.5-pro-002,634.4955457899159,5.715552160133135,623.293269404295,645.6978221755369,gao_local,11
llama-v3.1-405b-instruct,532.2028514810333,19.297978897882967,494.37950786676885,570.0261950952979,gao_local,12
llama-v3.3-70b-instruct,506.90296851348495,51.42000176916529,406.12161696093517,607.6843200660348,gao_local,13
