competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
claude-3-5-sonnet-20241022,1000.0,6.458423883058366,987.3417217923122,1012.6582782076878,gao_local,1
claude-3-5-haiku-20241022,884.951545302787,7.957994782079295,869.3541621407539,900.54892846482,gao_local,2
o1-mini-2024-09-12,818.1643801981093,6.1790380299870655,806.0536882002312,830.2750721959871,gao_local,3
o1-2024-12-17,814.5410054834535,9.09447281843212,796.7161663009481,832.3658446659589,gao_local,4
gemini-2.0-flash-thinking-exp-1219,779.840777980125,6.238068607486794,767.614388176361,792.0671677838891,gao_local,5
gemini-exp-1206,761.5391763548021,5.2859800576361575,751.1788458188382,771.8995068907659,gao_local,6
gemini-2.0-flash-exp,717.186199916438,5.388516949213528,706.6249007658957,727.74749906698,gao_local,7
deepseek-v3,706.0645842954452,8.3695454662339,689.6605766146563,722.4685919762342,gao_local,8
gpt-4o-2024-11-20,702.2352358184835,5.198640416614409,692.0460878333449,712.424383803622,gao_local,9
qwen-2.5-coder-32b-instruct,648.5840123281968,5.643346254442063,637.5232569172013,659.6447677391923,gao_local,10
gemini-1.5-pro-002,634.2612056011519,5.718747671649963,623.0526661280458,645.4697450742581,gao_local,11
llama-v3.1-405b-instruct,531.3286665574653,19.38073544743987,493.3431230865844,569.3142100283462,gao_local,12
llama-v3.3-70b-instruct,506.57949824548933,66.09365769809608,377.0383095507026,636.1206869402762,gao_local,13
