competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
claude-3-5-sonnet-20241022,1000.0,6.4571532031379375,987.3442122791922,1012.6557877208078,gao_local,1
claude-3-5-haiku-20241022,884.7115578014236,7.954229339279857,869.1215547716632,900.301560831184,gao_local,2
o1-mini-2024-09-12,818.0897196901902,6.176277074004377,805.9844390666012,830.1950003137792,gao_local,3
o1-2024-12-17,814.5588825713136,9.093666299697109,796.7356241364816,832.3821410061455,gao_local,4
gemini-2.0-flash-thinking-exp-1219,779.5475095853228,6.236218338907154,767.3247462413366,791.770272929309,gao_local,5
gemini-exp-1206,761.674082722091,5.285394527798071,751.3148998035217,772.0332656406603,gao_local,6
gemini-2.0-flash-exp,717.5976158862719,5.387752949173104,707.0378141482931,728.1574176242507,gao_local,7
deepseek-v3,706.1221141226301,8.36804315437645,689.7210509189754,722.5231773262849,gao_local,8
gpt-4o-2024-11-20,702.3543258411112,5.198131711069354,692.1661749005198,712.5424767817027,gao_local,9
qwen-2.5-coder-32b-instruct,648.7175812203125,5.642877306163401,637.6577449310537,659.777417509571,gao_local,10
gemini-1.5-pro-002,634.3786974821387,5.718473842343451,623.1706947046112,645.5867002596663,gao_local,11
llama-v3.1-405b-instruct,531.6170482697842,19.377735906778415,493.6373837905699,569.5967127489985,gao_local,12
llama-v3.3-70b-instruct,525.4613540676287,60.15773847939654,407.5543532566321,643.3683548786253,gao_local,13
