step,policy,target_player,ci_method,ci_width,ci_width_normalized,skill_range,standard_error,variance_proxy,rating,rank,trial,dataset_key,dataset_name,target_rank,target_quantile,ci_width_ratio
0,influence,Carlos Alcaraz,gao_local,144.30388983632383,0.4341413727065755,332.38916838698754,36.81289324053261,0.04490671609352139,921.9065107360553,2,0,tennis_top10_atp,ATP Top-10 Matchups (2020-2024),2,0.1,1.0
1,influence,Carlos Alcaraz,gao_local,142.3034976699363,0.4222494521483101,337.01286513440846,36.30257973932383,0.043670319650456764,911.7218377167567,2,0,tennis_top10_atp,ATP Top-10 Matchups (2020-2024),2,0.1,0.9861376421061381
2,influence,Carlos Alcaraz,gao_local,141.5079979732302,0.4192479029502863,337.52821893067403,36.09964241420435,0.04318343596530683,916.6185320052515,2,0,tennis_top10_atp,ATP Top-10 Matchups (2020-2024),2,0.1,0.9806249722979411
3,influence,Carlos Alcaraz,gao_local,140.75950355631892,0.41639965638629867,338.039432543947,35.90869645223381,0.04272781398663967,920.9115543702071,2,0,tennis_top10_atp,ATP Top-10 Matchups (2020-2024),2,0.1,0.9754380406236788
4,influence,Carlos Alcaraz,gao_local,140.0816389435721,0.4143303337044494,338.09168083622694,35.73576862853556,0.04231727073750864,924.7379443941018,2,0,tennis_top10_atp,ATP Top-10 Matchups (2020-2024),2,0.1,0.9707405607877875
5,influence,Carlos Alcaraz,gao_local,139.4509030838915,0.41219784348612537,338.31060809173164,35.574863666848586,0.04193705059676572,928.2717150243017,2,0,tennis_top10_atp,ATP Top-10 Matchups (2020-2024),2,0.1,0.966369674733392
6,influence,Carlos Alcaraz,gao_local,138.85894952130434,0.41002264406350036,338.66166059794296,35.42385233009533,0.041581770039530334,931.4625451821321,2,0,tennis_top10_atp,ATP Top-10 Matchups (2020-2024),2,0.1,0.9622675430219144
7,influence,Carlos Alcaraz,gao_local,138.3392938141834,0.4077616433212841,339.2650978335962,35.29128466272497,0.04127112716492855,934.061295527935,2,0,tennis_top10_atp,ATP Top-10 Matchups (2020-2024),2,0.1,0.9586664224442892
8,influence,Carlos Alcaraz,gao_local,137.84077399269324,0.40572983317504396,339.73536753267194,35.16410890199099,0.04097421363781268,936.6720647201911,2,0,tennis_top10_atp,ATP Top-10 Matchups (2020-2024),2,0.1,0.9552117697522821
9,influence,Carlos Alcaraz,gao_local,137.41594349014588,0.3996382553947758,343.8508241769845,35.05573178233511,0.04072203468375523,938.7430875938338,2,0,tennis_top10_atp,ATP Top-10 Matchups (2020-2024),2,0.1,0.9522677707857315
10,influence,Carlos Alcaraz,gao_local,137.39301463813956,0.3998545064484365,343.607518290799,35.04988247791237,0.04070844628076748,939.4590208942047,2,0,tennis_top10_atp,ATP Top-10 Matchups (2020-2024),2,0.1,0.9521088779656397
11,influence,Carlos Alcaraz,gao_local,137.3844332622648,0.3994621835858279,343.92350241771146,35.04769331118725,0.04070336125413406,939.4541145395578,2,0,tennis_top10_atp,ATP Top-10 Matchups (2020-2024),2,0.1,0.9520494105743967
