dataset_key,dataset_name,objective_key,variant,action,candidate_mode,initial_value,greedy_final_value,random_final_value,greedy_steps_completed,random_steps_completed,initial_normalized_value,greedy_final_normalized_value,random_final_normalized_value,n_original_matches,n_fitted_rows,n_models,top1,top2,tau_temperature,curve_steps_requested
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,0.7195357528522849,0.34147060134811225,0.6974085046334567,25,25,1.0,0.47457072146102725,0.9692478822197308,278,556,10,Novak Djokovic,Carlos Alcaraz,0.5,25
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,flip,flip,,0.7195357528522849,0.06863946884657095,0.56970390258749,25,25,1.0,0.09539410456600632,0.7917659412046559,278,556,10,Novak Djokovic,Carlos Alcaraz,0.5,25
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,add_pairs,add,all_pairs,0.7195357528522849,0.7254478594602501,0.7686079020391287,25,25,1.0,1.0082165571127346,1.06819973711149,278,556,10,Novak Djokovic,Carlos Alcaraz,0.5,25
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,add_outcomes,add,all_outcomes,0.7195357528522849,0.42001411257079296,0.6295455335419827,25,25,1.0,0.5837293156119493,0.8749329425903087,278,556,10,Novak Djokovic,Carlos Alcaraz,0.5,25
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,add_weighted,add,weighted,0.7195357528522849,0.42790534876910197,0.6857451010871062,25,25,1.0,0.5946964373526379,0.9530382588617308,278,556,10,Novak Djokovic,Carlos Alcaraz,0.5,25
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),trace_uncertainty,drop,drop,,0.4583405908271846,0.46510516230078136,0.4993963244959816,25,25,,,,278,556,10,Novak Djokovic,Carlos Alcaraz,0.5,25
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),trace_uncertainty,flip,flip,,0.4583405908271846,0.40221099453406517,0.43323014664807374,25,25,,,,278,556,10,Novak Djokovic,Carlos Alcaraz,0.5,25
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),trace_uncertainty,add_pairs,add,all_pairs,0.4583405908271846,0.41916365364115254,0.42898475201774267,25,25,,,,278,556,10,Novak Djokovic,Carlos Alcaraz,0.5,25
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),trace_uncertainty,add_outcomes,add,all_outcomes,0.4583405908271846,0.37115063641849616,0.4141289181091296,25,25,,,,278,556,10,Novak Djokovic,Carlos Alcaraz,0.5,25
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),trace_uncertainty,add_weighted,add,weighted,0.4583405908271846,0.3854893599929329,0.39871811246303607,25,25,,,,278,556,10,Novak Djokovic,Carlos Alcaraz,0.5,25
mt_bench_human,MT-Bench Human Judgments,kendall_tau,drop,drop,,0.8582838513970509,0.8489592506849716,0.8575408008535254,25,25,1.0,0.9891357612089504,0.9991342601374638,3355,6710,6,gpt-4,claude-v1,0.5,25
mt_bench_human,MT-Bench Human Judgments,kendall_tau,flip,flip,,0.8582838513970509,0.8309465376222543,0.8568127443385509,25,25,1.0,0.968148866216813,0.9982859900531679,3355,6710,6,gpt-4,claude-v1,0.5,25
mt_bench_human,MT-Bench Human Judgments,kendall_tau,add_pairs,add,all_pairs,0.8582838513970509,0.859946042093631,0.859946042093631,25,25,1.0,1.0019366444957278,1.0019366444957278,3355,6710,6,gpt-4,claude-v1,0.5,25
mt_bench_human,MT-Bench Human Judgments,kendall_tau,add_outcomes,add,all_outcomes,0.8582838513970509,0.8538004357976998,0.8569774531597601,25,25,1.0,0.9947763020450014,0.998477894888545,3355,6710,6,gpt-4,claude-v1,0.5,25
mt_bench_human,MT-Bench Human Judgments,kendall_tau,add_weighted,add,weighted,0.8582838513970509,0.8539464400317598,0.8554826743701486,25,25,1.0,0.994946413872018,0.9967363046358815,3355,6710,6,gpt-4,claude-v1,0.5,25
mt_bench_human,MT-Bench Human Judgments,trace_uncertainty,drop,drop,,0.015781924641120937,0.01584371232338445,0.015845669030846964,25,25,,,,3355,6710,6,gpt-4,claude-v1,0.5,25
mt_bench_human,MT-Bench Human Judgments,trace_uncertainty,flip,flip,,0.015781924641120937,0.015070711852482311,0.015651208985240694,25,25,,,,3355,6710,6,gpt-4,claude-v1,0.5,25
mt_bench_human,MT-Bench Human Judgments,trace_uncertainty,add_pairs,add,all_pairs,0.015781924641120937,0.01575090884570341,0.01575090884570341,25,25,,,,3355,6710,6,gpt-4,claude-v1,0.5,25
mt_bench_human,MT-Bench Human Judgments,trace_uncertainty,add_outcomes,add,all_outcomes,0.015781924641120937,0.015503178007393752,0.0155690606661916,25,25,,,,3355,6710,6,gpt-4,claude-v1,0.5,25
mt_bench_human,MT-Bench Human Judgments,trace_uncertainty,add_weighted,add,weighted,0.015781924641120937,0.015503178007393752,0.015605608908678088,25,25,,,,3355,6710,6,gpt-4,claude-v1,0.5,25
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,0.7810248661679087,0.5379697154760995,0.7809443291644892,25,25,1.0,0.6887997281259981,0.9998968829202396,10501,21002,13,claude-3-5-sonnet-20241022,claude-3-5-haiku-20241022,0.5,25
webdev_arena,WebDev Arena,kendall_tau,flip,flip,,0.7810248661679087,0.5303885997815547,0.7776115769802031,25,25,1.0,0.6790931028661117,0.9956297304534582,10501,21002,13,claude-3-5-sonnet-20241022,claude-3-5-haiku-20241022,0.5,25
webdev_arena,WebDev Arena,kendall_tau,add_pairs,add,all_pairs,0.7810248661679087,0.7768095295654353,0.7855365040945707,25,25,1.0,0.994602813834653,1.005776561185303,10501,21002,13,claude-3-5-sonnet-20241022,claude-3-5-haiku-20241022,0.5,25
webdev_arena,WebDev Arena,kendall_tau,add_outcomes,add,all_outcomes,0.7810248661679087,0.644675183844716,0.782363446482722,25,25,1.0,0.8254220982845385,1.0017138766930445,10501,21002,13,claude-3-5-sonnet-20241022,claude-3-5-haiku-20241022,0.5,25
webdev_arena,WebDev Arena,kendall_tau,add_weighted,add,weighted,0.7810248661679087,0.6453551650689473,0.7701543057511114,25,25,1.0,0.8262927251412321,0.9860816718036988,10501,21002,13,claude-3-5-sonnet-20241022,claude-3-5-haiku-20241022,0.5,25
webdev_arena,WebDev Arena,trace_uncertainty,drop,drop,,0.12738782195730947,0.12698917695088566,0.12737711534713173,25,25,,,,10501,21002,13,claude-3-5-sonnet-20241022,claude-3-5-haiku-20241022,0.5,25
webdev_arena,WebDev Arena,trace_uncertainty,flip,flip,,0.12738782195730947,0.17357823165924818,0.12730343386576015,25,25,,,,10501,21002,13,claude-3-5-sonnet-20241022,claude-3-5-haiku-20241022,0.5,25
webdev_arena,WebDev Arena,trace_uncertainty,add_pairs,add,all_pairs,0.12738782195730947,0.10805789925420642,0.12561192520992617,25,25,,,,10501,21002,13,claude-3-5-sonnet-20241022,claude-3-5-haiku-20241022,0.5,25
webdev_arena,WebDev Arena,trace_uncertainty,add_outcomes,add,all_outcomes,0.12738782195730947,0.07371198066841862,0.1234908082198124,25,25,,,,10501,21002,13,claude-3-5-sonnet-20241022,claude-3-5-haiku-20241022,0.5,25
webdev_arena,WebDev Arena,trace_uncertainty,add_weighted,add,weighted,0.12738782195730947,0.07372800310565042,0.11018030079081556,25,25,,,,10501,21002,13,claude-3-5-sonnet-20241022,claude-3-5-haiku-20241022,0.5,25
vision_arena,Vision Arena,kendall_tau,drop,drop,,0.6882679774777904,0.681597641350025,0.6884547722902247,25,25,1.0,0.9903085188530645,1.0002713983775895,29849,59698,17,gemini-1.5-pro-exp-0801,gpt-4o-2024-05-13,0.5,25
vision_arena,Vision Arena,kendall_tau,flip,flip,,0.6882679774777904,0.6767805346581222,0.6875318629780574,25,25,1.0,0.983309636369013,0.9989304827133892,29849,59698,17,gemini-1.5-pro-exp-0801,gpt-4o-2024-05-13,0.5,25
vision_arena,Vision Arena,kendall_tau,add_pairs,add,all_pairs,0.6882679774777904,0.6878220562184367,0.6895136532927791,25,25,1.0,0.9993521109888218,1.0018098703640892,29849,59698,17,gemini-1.5-pro-exp-0801,gpt-4o-2024-05-13,0.5,25
vision_arena,Vision Arena,kendall_tau,add_outcomes,add,all_outcomes,0.6882679774777904,0.6811372900610603,0.6883919822820999,25,25,1.0,0.9896396641278283,1.0001801693647927,29849,59698,17,gemini-1.5-pro-exp-0801,gpt-4o-2024-05-13,0.5,25
vision_arena,Vision Arena,kendall_tau,add_weighted,add,weighted,0.6882679774777904,0.6815468715162817,0.6874508928141385,25,25,1.0,0.9902347542215479,0.9988128393439919,29849,59698,17,gemini-1.5-pro-exp-0801,gpt-4o-2024-05-13,0.5,25
vision_arena,Vision Arena,trace_uncertainty,drop,drop,,0.01871424701534232,0.018715426589192424,0.018725444936606116,25,25,,,,29849,59698,17,gemini-1.5-pro-exp-0801,gpt-4o-2024-05-13,0.5,25
vision_arena,Vision Arena,trace_uncertainty,flip,flip,,0.01871424701534232,0.01831679612751025,0.018701704334872973,25,25,,,,29849,59698,17,gemini-1.5-pro-exp-0801,gpt-4o-2024-05-13,0.5,25
vision_arena,Vision Arena,trace_uncertainty,add_pairs,add,all_pairs,0.01871424701534232,0.01863994738392776,0.01869679167707115,25,25,,,,29849,59698,17,gemini-1.5-pro-exp-0801,gpt-4o-2024-05-13,0.5,25
vision_arena,Vision Arena,trace_uncertainty,add_outcomes,add,all_outcomes,0.01871424701534232,0.01826487908075426,0.018639718848386163,25,25,,,,29849,59698,17,gemini-1.5-pro-exp-0801,gpt-4o-2024-05-13,0.5,25
vision_arena,Vision Arena,trace_uncertainty,add_weighted,add,weighted,0.01871424701534232,0.01826883107046473,0.018639528184901076,25,25,,,,29849,59698,17,gemini-1.5-pro-exp-0801,gpt-4o-2024-05-13,0.5,25
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,0.6457859129767275,0.6422879087167552,0.6459742867826752,25,25,1.0,0.9945833376205927,1.000291696988371,49938,99876,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,flip,flip,,0.6457859129767275,0.6348236948336304,0.6456889591563528,25,25,1.0,0.9830249964844121,0.9998498669320182,49938,99876,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,add_pairs,add,all_pairs,0.6457859129767275,0.6423028870252073,0.6466089339360825,25,25,1.0,0.9946065315431467,1.0012744486103162,49938,99876,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,add_outcomes,add,all_outcomes,0.6457859129767275,0.6357319068293086,0.6454139700632421,25,25,1.0,0.9844313634822486,0.9994240461025683,49938,99876,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,add_weighted,add,weighted,0.6457859129767275,0.6362018573583165,0.6453865085146919,25,25,1.0,0.9851590822502868,0.9993815218727914,49938,99876,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
llm_judge_arena,Chatbot Arena LLM Judges,trace_uncertainty,drop,drop,,0.19721915785807134,0.19721350465996987,0.19735058551361323,25,25,,,,49938,99876,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
llm_judge_arena,Chatbot Arena LLM Judges,trace_uncertainty,flip,flip,,0.19721915785807134,0.19813522971694886,0.19719943616845376,25,25,,,,49938,99876,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
llm_judge_arena,Chatbot Arena LLM Judges,trace_uncertainty,add_pairs,add,all_pairs,0.19721915785807134,0.19242574225669412,0.19690199895925162,25,25,,,,49938,99876,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
llm_judge_arena,Chatbot Arena LLM Judges,trace_uncertainty,add_outcomes,add,all_outcomes,0.19721915785807134,0.1923071911994365,0.19687413040003052,25,25,,,,49938,99876,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
llm_judge_arena,Chatbot Arena LLM Judges,trace_uncertainty,add_weighted,add,weighted,0.19721915785807134,0.19264266154179993,0.19697220512029623,25,25,,,,49938,99876,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,0.6511280205284332,0.648083497345938,0.65098924124002,25,25,1.0,0.9953242325832876,0.9997868632833515,57477,114954,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
arena55k,Chatbot Arena 55k,kendall_tau,flip,flip,,0.6511280205284332,0.6440694463205912,0.6509387788482288,25,25,1.0,0.9891594678998554,0.999709363329118,57477,114954,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
arena55k,Chatbot Arena 55k,kendall_tau,add_pairs,add,all_pairs,0.6511280205284332,0.6477492281667516,0.6521146750730937,25,25,1.0,0.9948108632171297,1.0015153003918642,57477,114954,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
arena55k,Chatbot Arena 55k,kendall_tau,add_outcomes,add,all_outcomes,0.6511280205284332,0.642276081073181,0.6507140929815511,25,25,1.0,0.9864052242014277,0.9993642916080525,57477,114954,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
arena55k,Chatbot Arena 55k,kendall_tau,add_weighted,add,weighted,0.6511280205284332,0.643233528602676,0.650784320738732,25,25,1.0,0.9878756685676799,0.9994721471371755,57477,114954,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
arena55k,Chatbot Arena 55k,trace_uncertainty,drop,drop,,0.17289123572442683,0.1729227931040772,0.17298234609723462,25,25,,,,57477,114954,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
arena55k,Chatbot Arena 55k,trace_uncertainty,flip,flip,,0.17289123572442683,0.17228013288860988,0.17285212868502325,25,25,,,,57477,114954,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
arena55k,Chatbot Arena 55k,trace_uncertainty,add_pairs,add,all_pairs,0.17289123572442683,0.16889888306898726,0.17271042008134513,25,25,,,,57477,114954,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
arena55k,Chatbot Arena 55k,trace_uncertainty,add_outcomes,add,all_outcomes,0.17289123572442683,0.16866698894826052,0.17255896503077445,25,25,,,,57477,114954,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
arena55k,Chatbot Arena 55k,trace_uncertainty,add_weighted,add,weighted,0.17289123572442683,0.16908728286492247,0.1726020790607724,25,25,,,,57477,114954,64,gpt-4-1106-preview,gpt-4-0125-preview,0.5,25
nba_elo_top50,NBA Elo Top-50 Teams,kendall_tau,drop,drop,,0.4545498887251019,0.4492059419141995,0.45440679467513384,25,25,1.0,0.9882434317036336,0.9996851961610432,109892,219784,50,LAL,SAS,0.5,25
nba_elo_top50,NBA Elo Top-50 Teams,kendall_tau,flip,flip,,0.4545498887251019,0.4385315965310632,0.45433819553309496,25,25,1.0,0.9647601009452099,0.999534279520779,109892,219784,50,LAL,SAS,0.5,25
nba_elo_top50,NBA Elo Top-50 Teams,kendall_tau,add_pairs,add,all_pairs,0.4545498887251019,0.4534889064071793,0.4550205165843389,25,25,1.0,0.9976658616705455,1.0010353711900732,109892,219784,50,LAL,SAS,0.5,25
nba_elo_top50,NBA Elo Top-50 Teams,kendall_tau,add_outcomes,add,all_outcomes,0.4545498887251019,0.44853836381584494,0.45445807330447097,25,25,1.0,0.9867747742142942,0.9997980080450829,109892,219784,50,LAL,SAS,0.5,25
nba_elo_top50,NBA Elo Top-50 Teams,kendall_tau,add_weighted,add,weighted,0.4545498887251019,0.4522198689850655,0.45464600380724185,25,25,1.0,0.9948740065769865,1.000211451117961,109892,219784,50,LAL,SAS,0.5,25
nba_elo_top50,NBA Elo Top-50 Teams,trace_uncertainty,drop,drop,,0.05142185315698416,0.05142083394330638,0.05143005662379312,25,25,,,,109892,219784,50,LAL,SAS,0.5,25
nba_elo_top50,NBA Elo Top-50 Teams,trace_uncertainty,flip,flip,,0.05142185315698416,0.051060621091896116,0.05142150419681628,25,25,,,,109892,219784,50,LAL,SAS,0.5,25
nba_elo_top50,NBA Elo Top-50 Teams,trace_uncertainty,add_pairs,add,all_pairs,0.05142185315698416,0.05121853486721141,0.05138151760601509,25,25,,,,109892,219784,50,LAL,SAS,0.5,25
nba_elo_top50,NBA Elo Top-50 Teams,trace_uncertainty,add_outcomes,add,all_outcomes,0.05142185315698416,0.05103197873577112,0.051365536814099756,25,25,,,,109892,219784,50,LAL,SAS,0.5,25
nba_elo_top50,NBA Elo Top-50 Teams,trace_uncertainty,add_weighted,add,weighted,0.05142185315698416,0.05108868959487042,0.05136946826186279,25,25,,,,109892,219784,50,LAL,SAS,0.5,25
