dataset_key,dataset_name,objective_key,variant,action,candidate_mode,order_mode,step,objective_value,variant_label,initial_value,delta_from_initial,normalized_value,plot_value
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,0,0.6511280205284332,Drop,0.6511280205284332,0.0,1.0,1.0
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,1,0.6511862691109713,Drop,0.6511280205284332,5.8248582538111826e-05,1.000089457957117,1.000089457957117
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,2,0.6510178857185541,Drop,0.6511280205284332,-0.00011013480987909219,0.9998308553672905,0.9998308553672905
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,3,0.6508419129017821,Drop,0.6511280205284332,-0.0002861076266511553,0.9995605969676763,0.9995605969676763
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,4,0.6506580167923831,Drop,0.6511280205284332,-0.00047000373605010637,0.9992781700046196,0.9992781700046196
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,5,0.650465846712627,Drop,0.6511280205284332,-0.000662173815806244,0.9989830359085624,0.9989830359085624
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,6,0.6505262152805112,Drop,0.6511280205284332,-0.0006018052479219715,0.9990757497313146,0.9990757497313146
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,7,0.6503255630113897,Drop,0.6511280205284332,-0.0008024575170435533,0.998767588720276,0.998767588720276
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,8,0.6501157557265493,Drop,0.6511280205284332,-0.0010122648018838776,0.9984453674700371,0.9984453674700371
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,9,0.6499047365967497,Drop,0.6511280205284332,-0.001223283931683472,0.9981212850728023,0.9981212850728023
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,10,0.649967503054245,Drop,0.6511280205284332,-0.0011605174741882163,0.9982176815655294,0.9982176815655294
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,11,0.6497493688054427,Drop,0.6511280205284332,-0.0013786517229905648,0.997882671794908,0.997882671794908
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,12,0.6498124441456837,Drop,0.6511280205284332,-0.0013155763827494837,0.997979542668611,0.997979542668611
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,13,0.649586835918262,Drop,0.6511280205284332,-0.0015411846101711646,0.9976330543893344,0.9976330543893344
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,14,0.6493535480381019,Drop,0.6511280205284332,-0.001774472490331358,0.9972747717278527,0.9972747717278527
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,15,0.6491123549018284,Drop,0.6511280205284332,-0.0020156656266048234,0.9969043482033395,0.9969043482033395
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,16,0.6488630269005273,Drop,0.6511280205284332,-0.002264993627905887,0.9965214311832753,0.9965214311832753
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,17,0.6486053306756161,Drop,0.6511280205284332,-0.002522689852817117,0.9961256622764141,0.9961256622764141
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,18,0.6483390294186439,Drop,0.6511280205284332,-0.0027889911097893627,0.995716677793215,0.995716677793215
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,19,0.6480638832190527,Drop,0.6511280205284332,-0.003064137309380488,0.9952941092799328,0.9952941092799328
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,20,0.6481246313233062,Drop,0.6511280205284332,-0.003003389205126994,0.9953874059932338,0.9953874059932338
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,21,0.6481857972528519,Drop,0.6511280205284332,-0.002942223275581357,0.9954813444010695,0.9954813444010695
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,22,0.6482473826937717,Drop,0.6511280205284332,-0.002880637834661526,0.9955759270929184,0.9955759270929184
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,23,0.6479606800250597,Drop,0.6511280205284332,-0.003167340503373528,0.9951356101972035,0.9951356101972035
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,24,0.6480218743035836,Drop,0.6511280205284332,-0.0031061462248496152,0.995229592143295,0.995229592143295
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,greedy,25,0.648083497345938,Drop,0.6511280205284332,-0.0030445231824952623,0.9953242325832876,0.9953242325832876
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,random,0,0.6511280205284332,Drop,0.6511280205284332,0.0,1.0,1.0
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,random,1,0.6511180112595645,Drop,0.6511280205284332,-1.0009268868738097e-05,0.9999846278019787,0.9999846278019787
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,random,2,0.6511197715398347,Drop,0.6511280205284332,-8.248988598524853e-06,0.9999873312338918,0.9999873312338918
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,random,3,0.6511034765077802,Drop,0.6511280205284332,-2.4544020652994547e-05,0.9999623053840732,0.9999623053840732
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,random,4,0.6510980139010683,Drop,0.6511280205284332,-3.0006627364964622e-05,0.9999539159329365,0.9999539159329365
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,random,5,0.6510671035241441,Drop,0.6511280205284332,-6.091700428911828e-05,0.9999064438906504,0.9999064438906504
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,random,6,0.6510633594773826,Drop,0.6511280205284332,-6.466105105062958e-05,0.9999006937975145,0.9999006937975145
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,random,7,0.6510263752237404,Drop,0.6511280205284332,-0.00010164530469281008,0.9998438935178825,0.9998438935178825
