dataset_key,dataset_name,objective_key,variant,action,candidate_mode,initial_value,greedy_final_value,random_final_value,greedy_steps_completed,random_steps_completed,initial_normalized_value,greedy_final_normalized_value,random_final_normalized_value
arena55k,Chatbot Arena 55k,kendall_tau,drop,drop,,0.6511280205284332,0.648083497345938,0.65098924124002,25,25,1.0,0.9953242325832876,0.9997868632833515
arena55k,Chatbot Arena 55k,kendall_tau,flip,flip,,0.6511280205284332,0.6440694463205912,0.6509387788482288,25,25,1.0,0.9891594678998554,0.999709363329118
arena55k,Chatbot Arena 55k,kendall_tau,add_pairs,add,all_pairs,0.6511280205284332,0.6477492281667516,0.6521146750730937,25,25,1.0,0.9948108632171297,1.0015153003918642
arena55k,Chatbot Arena 55k,kendall_tau,add_outcomes,add,all_outcomes,0.6511280205284332,0.642276081073181,0.6507140929815511,25,25,1.0,0.9864052242014277,0.9993642916080525
arena55k,Chatbot Arena 55k,kendall_tau,add_weighted,add,weighted,0.6511280205284332,0.643233528602676,0.650784320738732,25,25,1.0,0.9878756685676799,0.9994721471371755
arena55k,Chatbot Arena 55k,trace_uncertainty,drop,drop,,0.17289123572442683,0.1729227931040772,0.17298234609723462,25,25,,,
arena55k,Chatbot Arena 55k,trace_uncertainty,flip,flip,,0.17289123572442683,0.17228013288860988,0.17285212868502325,25,25,,,
arena55k,Chatbot Arena 55k,trace_uncertainty,add_pairs,add,all_pairs,0.17289123572442683,0.16889888306898726,0.17271042008134513,25,25,,,
arena55k,Chatbot Arena 55k,trace_uncertainty,add_outcomes,add,all_outcomes,0.17289123572442683,0.16866698894826052,0.17255896503077445,25,25,,,
arena55k,Chatbot Arena 55k,trace_uncertainty,add_weighted,add,weighted,0.17289123572442683,0.16908728286492247,0.1726020790607724,25,25,,,
