dataset_key,dataset_name,objective_key,variant,action,candidate_mode,initial_value,greedy_final_value,random_final_value,greedy_steps_completed,random_steps_completed,initial_normalized_value,greedy_final_normalized_value,random_final_normalized_value
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,0.7195357528522849,0.34147060134811225,0.6974085046334567,25,25,1.0,0.47457072146102725,0.9692478822197308
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,flip,flip,,0.7195357528522849,0.06863946884657095,0.56970390258749,25,25,1.0,0.09539410456600632,0.7917659412046559
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,add_pairs,add,all_pairs,0.7195357528522849,0.7254478594602501,0.7686079020391287,25,25,1.0,1.0082165571127346,1.06819973711149
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,add_outcomes,add,all_outcomes,0.7195357528522849,0.42001411257079296,0.6295455335419827,25,25,1.0,0.5837293156119493,0.8749329425903087
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,add_weighted,add,weighted,0.7195357528522849,0.42790534876910197,0.6857451010871062,25,25,1.0,0.5946964373526379,0.9530382588617308
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),trace_uncertainty,drop,drop,,0.4583405908271846,0.46510516230078136,0.4993963244959816,25,25,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),trace_uncertainty,flip,flip,,0.4583405908271846,0.40221099453406517,0.43323014664807374,25,25,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),trace_uncertainty,add_pairs,add,all_pairs,0.4583405908271846,0.41916365364115254,0.42898475201774267,25,25,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),trace_uncertainty,add_outcomes,add,all_outcomes,0.4583405908271846,0.37115063641849616,0.4141289181091296,25,25,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),trace_uncertainty,add_weighted,add,weighted,0.4583405908271846,0.3854893599929329,0.39871811246303607,25,25,,,
