dataset_key,dataset_name,variant,action,candidate_mode,target_player_a,target_player_b,selected_order,model_a,model_b,winner,match_id,match_copy,outcome,influence,influence_abs,fitted_probability,residual,leverage,objective_value,row_uid,candidate_probability,_candidate_x,raw_influence
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,0,CHA,OKC,1.0,97644,reverse,1.0,-0.0012587516968739457,0.0012587516968739457,0.262701296838924,0.737298703161076,0.000594645335571066,0.05948948534572618,207536,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,1,CHA,OKC,1.0,93532,forward,1.0,-0.0012587516968739457,0.0012587516968739457,0.262701296838924,0.737298703161076,0.000594645335571066,0.05948948534572618,93532,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,2,CHA,OKC,1.0,93533,reverse,1.0,-0.0012587516968739457,0.0012587516968739457,0.262701296838924,0.737298703161076,0.000594645335571066,0.05948948534572618,203425,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,3,CHA,OKC,1.0,97645,forward,1.0,-0.0012587516968739457,0.0012587516968739457,0.262701296838924,0.737298703161076,0.000594645335571066,0.05948948534572618,97645,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,4,OKC,CHA,0.0,93532,reverse,0.0,-0.0012587516968739455,0.0012587516968739455,0.7372987031610759,-0.7372987031610759,0.0005946453355710661,0.05948948534572618,203424,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,5,OKC,CHA,0.0,97644,forward,0.0,-0.0012587516968739455,0.0012587516968739455,0.7372987031610759,-0.7372987031610759,0.0005946453355710661,0.05948948534572618,97644,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,6,OKC,CHA,0.0,93533,forward,0.0,-0.0012587516968739455,0.0012587516968739455,0.7372987031610759,-0.7372987031610759,0.0005946453355710661,0.05948948534572618,93533,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,7,OKC,CHA,0.0,97645,reverse,0.0,-0.0012587516968739455,0.0012587516968739455,0.7372987031610759,-0.7372987031610759,0.0005946453355710661,0.05948948534572618,207537,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,8,MIN,OKC,1.0,94043,forward,1.0,-0.001208443947427157,0.001208443947427157,0.2942072481370047,0.7057927518629953,0.0004582423165831248,0.05948948534572618,94043,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,9,MIN,OKC,1.0,93462,forward,1.0,-0.001208443947427157,0.001208443947427157,0.2942072481370047,0.7057927518629953,0.0004582423165831248,0.05948948534572618,93462,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,10,MIN,OKC,1.0,105526,reverse,1.0,-0.001208443947427157,0.001208443947427157,0.2942072481370047,0.7057927518629953,0.0004582423165831248,0.05948948534572618,215418,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,11,MIN,OKC,1.0,93463,reverse,1.0,-0.001208443947427157,0.001208443947427157,0.2942072481370047,0.7057927518629953,0.0004582423165831248,0.05948948534572618,203355,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,12,MIN,OKC,1.0,105527,forward,1.0,-0.001208443947427157,0.001208443947427157,0.2942072481370047,0.7057927518629953,0.0004582423165831248,0.05948948534572618,105527,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,13,MIN,OKC,1.0,105040,forward,1.0,-0.001208443947427157,0.001208443947427157,0.2942072481370047,0.7057927518629953,0.0004582423165831248,0.05948948534572618,105040,,,
