dataset_key,dataset_name,target_player,direction,k,method,policy,trial,success,actions_used,rows_added,exposures_seen,initial_rank,final_rank,final_metric_value
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,influence_pair,pairwise_influence,0,True,77,77,77,1,4,0.01647090774159031
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,rigging,omni_bt_diff,0,True,99,99,99,1,4,-0.38323560141366203
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,influence_pair,pairwise_influence,1,True,111,111,111,1,4,0.02860844479006499
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,rigging,omni_bt_diff,1,True,120,120,120,1,4,-0.28289737437719825
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,influence_pair,pairwise_influence,2,True,88,88,88,1,4,0.02703740394635787
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,rigging,omni_bt_diff,2,True,82,82,82,1,4,-0.44624400258109964
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,influence_pair,pairwise_influence,3,False,120,120,120,1,2,-0.052247799361283716
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,rigging,omni_bt_diff,3,False,120,120,120,1,3,-0.01667683730909694
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,influence_pair,pairwise_influence,4,True,118,118,118,1,4,0.017369351056655238
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,rigging,omni_bt_diff,4,False,120,120,120,1,3,-0.03125050397836421
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Carlos Alcaraz,demote,3,influence_pair,pairwise_influence,0,True,52,52,52,2,5,0.03877537728631775
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Carlos Alcaraz,demote,3,rigging,omni_bt_diff,0,True,54,54,54,2,4,-0.14834574259598898
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Carlos Alcaraz,demote,3,influence_pair,pairwise_influence,1,True,47,47,47,2,4,0.008357188835204088
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Carlos Alcaraz,demote,3,rigging,omni_bt_diff,1,True,49,49,49,2,4,-0.337377323433361
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Carlos Alcaraz,demote,3,influence_pair,pairwise_influence,2,True,63,63,63,2,4,0.0038329056445409737
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Carlos Alcaraz,demote,3,rigging,omni_bt_diff,2,True,71,71,71,2,4,-0.2663090692149507
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Carlos Alcaraz,demote,3,influence_pair,pairwise_influence,3,True,41,41,41,2,4,0.010160098713620003
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Carlos Alcaraz,demote,3,rigging,omni_bt_diff,3,True,47,47,47,2,4,-0.31467869621857736
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Carlos Alcaraz,demote,3,influence_pair,pairwise_influence,4,True,53,53,53,2,4,0.0014945664514356416
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Carlos Alcaraz,demote,3,rigging,omni_bt_diff,4,True,75,75,75,2,4,-0.031177866171205215
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,influence_pair,pairwise_influence,0,True,14,14,14,3,4,0.011277632104231605
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,rigging,omni_bt_diff,0,True,14,14,14,3,4,-0.17079559934802535
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,influence_pair,pairwise_influence,1,True,8,8,8,3,4,0.03568944560102438
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,rigging,omni_bt_diff,1,True,8,8,8,3,4,-0.19448494663346438
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,influence_pair,pairwise_influence,2,True,10,10,10,3,4,0.0059434352009583025
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,rigging,omni_bt_diff,2,True,10,10,10,3,4,-0.3487523495963436
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,influence_pair,pairwise_influence,3,True,7,7,7,3,4,0.0052323028873412225
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,rigging,omni_bt_diff,3,True,7,7,7,3,4,-0.3202360023547993
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,influence_pair,pairwise_influence,4,True,8,8,8,3,4,0.0181944021131224
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,rigging,omni_bt_diff,4,True,8,8,8,3,4,-0.1303504457161917
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,influence_pair,pairwise_influence,0,True,37,37,37,4,7,0.007739244377304
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,rigging,omni_bt_diff,0,True,36,36,36,4,7,-0.29703709916454524
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,influence_pair,pairwise_influence,1,True,29,29,29,4,7,0.002519595552015863
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,rigging,omni_bt_diff,1,True,29,29,29,4,7,-0.3473287186959626
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,influence_pair,pairwise_influence,2,True,29,29,29,4,7,0.005404820999015403
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,rigging,omni_bt_diff,2,True,34,34,34,4,7,-0.2784704079337028
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,influence_pair,pairwise_influence,3,True,25,25,25,4,7,0.025368155862800057
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,rigging,omni_bt_diff,3,True,26,26,26,4,7,-0.3427948099071001
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,influence_pair,pairwise_influence,4,True,28,28,28,4,7,0.009986213974631397
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,rigging,omni_bt_diff,4,True,28,28,28,4,7,-0.23337956660009218
