dataset_key,dataset_name,direction,target_player,initial_rank,k,n_exposed_pairs_total,n_jointly_predicted_pairs,same_decision_rate_when_both_active,n_same_decision_when_both_active,n_different_decision_when_both_active
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Novak Djokovic,1,3,547,508,0.8484251968503937,431,77
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Carlos Alcaraz,2,3,296,256,0.83984375,215,41
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Daniil Medvedev,3,3,47,47,1.0,47,0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Jannik Sinner,4,6,154,147,0.8707482993197279,128,19
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,6,39,28,0.8928571428571429,25,3
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,7,102,79,0.7215189873417721,57,22
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,6,18,18,1.0,18,0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,7,127,98,0.7755102040816326,76,22
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Taylor Fritz,7,7,86,84,0.9285714285714286,78,6
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Jannik Sinner,4,3,47,47,1.0,47,0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Holger Rune,5,3,127,122,0.8852459016393442,108,14
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Alexander Zverev,6,3,293,252,0.7896825396825397,199,53
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Taylor Fritz,7,6,18,18,1.0,18,0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,6,130,115,0.7913043478260869,91,24
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,7,77,75,0.9466666666666667,71,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,6,102,86,0.8837209302325582,76,10
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,7,85,74,0.7297297297297297,54,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Hubert Hurkacz,10,7,119,102,0.7647058823529411,78,24
