dataset_key,dataset_name,target_player,direction,k,method,policy,trial,success,actions_used,rows_added,exposures_seen,initial_rank,final_rank,final_metric_value
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,7,influence_pair,pairwise_influence,0,True,13,13,13,5,8,0.034239916307795104
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,7,rigging,omni_bt_diff,0,True,18,18,18,5,8,-0.05162115528486666
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,7,influence_pair,pairwise_influence,1,True,14,14,14,5,8,0.05404345936223742
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,7,rigging,omni_bt_diff,1,True,15,15,15,5,8,-0.03146493555182994
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,7,influence_pair,pairwise_influence,2,True,28,28,28,5,8,0.032568393212594415
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,7,rigging,omni_bt_diff,2,True,15,15,15,5,8,-0.08363402449724577
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,7,influence_pair,pairwise_influence,3,True,27,27,27,5,8,0.0002442526084611707
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,7,rigging,omni_bt_diff,3,True,31,31,31,5,8,-0.2675550603076917
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,7,influence_pair,pairwise_influence,4,True,10,10,10,5,9,0.010201925669061973
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,7,rigging,omni_bt_diff,4,True,10,10,10,5,8,-0.06437759734886428
