dataset_key,dataset_name,target_player,direction,k,method,policy,trial,success,actions_used,rows_added,exposures_seen,initial_rank,final_rank,final_metric_value
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,promote,3,influence_pair,pairwise_influence,0,True,60,60,60,6,3,0.010090195963145754
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,promote,3,rigging,omni_bt_diff,0,True,67,67,67,6,3,-0.6815199834694179
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,promote,3,influence_pair,pairwise_influence,1,True,54,54,54,6,3,0.022234109755807308
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,promote,3,rigging,omni_bt_diff,1,True,53,53,53,6,3,-0.5911192247189783
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,promote,3,influence_pair,pairwise_influence,2,True,49,49,49,6,3,0.020961285508462324
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,promote,3,rigging,omni_bt_diff,2,True,73,73,73,6,3,-0.42608928400332385
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,promote,3,influence_pair,pairwise_influence,3,True,38,38,38,6,3,0.011850645860834619
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,promote,3,rigging,omni_bt_diff,3,True,43,43,43,6,3,-0.5709119440783927
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,promote,3,influence_pair,pairwise_influence,4,True,52,52,52,6,3,0.00467106438493492
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,promote,3,rigging,omni_bt_diff,4,True,56,56,56,6,3,-0.6301804800314457
