dataset_key,dataset_name,target_player,direction,k,method,policy,trial,success,actions_used,rows_added,exposures_seen,initial_rank,final_rank,final_metric_value
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,influence_pair,pairwise_influence,0,True,77,77,77,1,4,0.01647090774159031
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,rigging,omni_bt_diff,0,True,99,99,99,1,4,-0.38323560141366203
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,influence_pair,pairwise_influence,1,True,111,111,111,1,4,0.02860844479006499
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,rigging,omni_bt_diff,1,True,120,120,120,1,4,-0.28289737437719825
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,influence_pair,pairwise_influence,2,True,88,88,88,1,4,0.02703740394635787
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,rigging,omni_bt_diff,2,True,82,82,82,1,4,-0.44624400258109964
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,influence_pair,pairwise_influence,3,False,120,120,120,1,2,-0.052247799361283716
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,rigging,omni_bt_diff,3,False,120,120,120,1,3,-0.01667683730909694
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,influence_pair,pairwise_influence,4,True,118,118,118,1,4,0.017369351056655238
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Novak Djokovic,demote,3,rigging,omni_bt_diff,4,False,120,120,120,1,3,-0.03125050397836421
