dataset_key,dataset_name,target_player,direction,k,method,policy,trial,success,actions_used,rows_added,exposures_seen,initial_rank,final_rank,final_metric_value
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,influence_pair,pairwise_influence,0,True,14,14,14,3,4,0.011277632104231605
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,rigging,omni_bt_diff,0,True,14,14,14,3,4,-0.17079559934802535
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,influence_pair,pairwise_influence,1,True,8,8,8,3,4,0.03568944560102438
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,rigging,omni_bt_diff,1,True,8,8,8,3,4,-0.19448494663346438
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,influence_pair,pairwise_influence,2,True,10,10,10,3,4,0.0059434352009583025
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,rigging,omni_bt_diff,2,True,10,10,10,3,4,-0.3487523495963436
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,influence_pair,pairwise_influence,3,True,7,7,7,3,4,0.0052323028873412225
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,rigging,omni_bt_diff,3,True,7,7,7,3,4,-0.3202360023547993
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,influence_pair,pairwise_influence,4,True,8,8,8,3,4,0.0181944021131224
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Daniil Medvedev,demote,3,rigging,omni_bt_diff,4,True,8,8,8,3,4,-0.1303504457161917
