dataset_key,dataset_name,target_player,direction,k,trial,exposure_index,model_a,model_b,both_active,influence_decision,rigging_decision,same_decision,influence_rows_added,rigging_rows_added,influence_success_after_step,rigging_success_after_step,influence_rank_after_step,rigging_rank_after_step,initial_rank
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,1,Andrey Rublev,Alexander Zverev,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,2,Novak Djokovic,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,3,Holger Rune,Andrey Rublev,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,4,Carlos Alcaraz,Hubert Hurkacz,True,model_b,model_a,False,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,5,Holger Rune,Taylor Fritz,True,model_b,model_a,False,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,6,Novak Djokovic,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,7,Novak Djokovic,Carlos Alcaraz,True,model_b,model_a,False,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,8,Stefanos Tsitsipas,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,9,Hubert Hurkacz,Alexander Zverev,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,10,Jannik Sinner,Novak Djokovic,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,11,Stefanos Tsitsipas,Andrey Rublev,True,model_a,model_b,False,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,12,Andrey Rublev,Daniil Medvedev,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,13,Holger Rune,Andrey Rublev,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,14,Andrey Rublev,Daniil Medvedev,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,15,Stefanos Tsitsipas,Carlos Alcaraz,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,16,Hubert Hurkacz,Daniil Medvedev,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,17,Jannik Sinner,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,18,Holger Rune,Daniil Medvedev,True,model_a,model_a,True,1,1,False,False,4,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,19,Hubert Hurkacz,Daniil Medvedev,True,model_a,model_a,True,1,1,False,False,3,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,20,Hubert Hurkacz,Daniil Medvedev,True,model_a,model_b,False,1,1,False,False,3,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,21,Daniil Medvedev,Taylor Fritz,True,model_b,model_a,False,1,1,False,False,4,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,22,Alexander Zverev,Andrey Rublev,True,model_a,model_a,True,1,1,False,False,4,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,23,Novak Djokovic,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,4,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,24,Carlos Alcaraz,Alexander Zverev,True,model_b,model_b,True,1,1,False,False,4,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,25,Taylor Fritz,Novak Djokovic,True,model_a,model_a,True,1,1,False,False,4,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,26,Daniil Medvedev,Stefanos Tsitsipas,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,27,Jannik Sinner,Carlos Alcaraz,True,model_b,model_b,True,1,1,False,False,4,6,4
