dataset_key,dataset_name,target_player,direction,k,trial,exposure_index,model_a,model_b,both_active,influence_decision,rigging_decision,same_decision,influence_rows_added,rigging_rows_added,influence_success_after_step,rigging_success_after_step,influence_rank_after_step,rigging_rank_after_step,initial_rank
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,0,1,Andrey Rublev,Alexander Zverev,True,model_b,model_b,True,1,1,False,False,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,0,2,Novak Djokovic,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,0,3,Holger Rune,Andrey Rublev,True,model_b,model_b,True,1,1,True,True,7,7,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,1,1,Hubert Hurkacz,Holger Rune,True,model_a,model_a,True,1,1,False,False,6,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,1,2,Stefanos Tsitsipas,Holger Rune,True,model_a,model_a,True,1,1,True,True,7,7,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,2,1,Alexander Zverev,Taylor Fritz,True,model_b,model_a,False,1,1,False,False,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,2,2,Novak Djokovic,Andrey Rublev,True,model_b,model_b,True,1,1,False,False,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,2,3,Carlos Alcaraz,Stefanos Tsitsipas,True,model_b,model_b,True,1,1,False,False,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,2,4,Novak Djokovic,Alexander Zverev,True,model_b,model_b,True,1,1,False,False,5,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,2,5,Andrey Rublev,Hubert Hurkacz,True,model_a,model_a,True,1,1,False,False,5,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,2,6,Stefanos Tsitsipas,Jannik Sinner,True,model_a,model_a,True,1,1,False,False,5,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,2,7,Andrey Rublev,Jannik Sinner,True,model_a,model_a,True,1,1,False,False,5,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,2,8,Andrey Rublev,Holger Rune,True,model_a,model_a,True,1,1,True,False,7,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,2,9,Andrey Rublev,Daniil Medvedev,False,already_done,model_a,False,0,1,True,False,7,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,2,10,Stefanos Tsitsipas,Daniil Medvedev,False,already_done,model_a,False,0,1,True,False,7,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,2,11,Hubert Hurkacz,Taylor Fritz,False,already_done,model_b,False,0,1,True,False,7,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,2,12,Carlos Alcaraz,Daniil Medvedev,False,already_done,model_b,False,0,1,True,False,7,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,2,13,Holger Rune,Jannik Sinner,False,already_done,model_b,False,0,1,True,True,7,7,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,1,Novak Djokovic,Alexander Zverev,True,model_b,model_b,True,1,1,False,False,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,2,Taylor Fritz,Hubert Hurkacz,True,model_a,model_b,False,1,1,False,False,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,3,Novak Djokovic,Jannik Sinner,True,model_b,model_b,True,1,1,False,False,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,4,Jannik Sinner,Stefanos Tsitsipas,True,model_b,model_b,True,1,1,False,False,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,5,Carlos Alcaraz,Stefanos Tsitsipas,True,model_b,model_b,True,1,1,False,False,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,6,Daniil Medvedev,Hubert Hurkacz,True,model_b,model_a,False,1,1,False,False,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,7,Jannik Sinner,Hubert Hurkacz,True,model_b,model_b,True,1,1,False,False,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,8,Carlos Alcaraz,Holger Rune,True,model_a,model_a,True,1,1,False,False,6,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,9,Alexander Zverev,Andrey Rublev,True,model_a,model_a,True,1,1,False,False,6,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,10,Andrey Rublev,Alexander Zverev,True,model_b,model_b,True,1,1,False,False,6,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,11,Novak Djokovic,Holger Rune,True,model_a,model_a,True,1,1,True,False,7,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,12,Alexander Zverev,Daniil Medvedev,False,already_done,model_a,False,0,1,True,False,7,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,13,Taylor Fritz,Hubert Hurkacz,False,already_done,model_a,False,0,1,True,False,7,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,14,Jannik Sinner,Carlos Alcaraz,False,already_done,model_a,False,0,1,True,False,7,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,15,Novak Djokovic,Carlos Alcaraz,False,already_done,model_a,False,0,1,True,False,7,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,16,Daniil Medvedev,Novak Djokovic,False,already_done,model_a,False,0,1,True,False,7,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,3,17,Andrey Rublev,Holger Rune,False,already_done,model_a,False,0,1,True,True,7,7,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,4,1,Holger Rune,Hubert Hurkacz,True,model_b,model_b,True,1,1,False,False,6,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,4,2,Holger Rune,Novak Djokovic,True,model_b,model_b,True,1,1,False,False,6,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,4,3,Andrey Rublev,Daniil Medvedev,True,model_a,model_a,True,1,1,False,False,6,6,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,4,4,Taylor Fritz,Stefanos Tsitsipas,True,model_a,model_a,True,1,1,True,True,7,7,5
